Year,Value,Units
2015,0.562069,"Dollar américain, millions, prix constants de 2023"
2016,1.807802,"Dollar américain, millions, prix constants de 2023"
2017,0.03098,"Dollar américain, millions, prix constants de 2023"
2018,0.641803,"Dollar américain, millions, prix constants de 2023"
2019,1.937241,"Dollar américain, millions, prix constants de 2023"
2020,3.964335,"Dollar américain, millions, prix constants de 2023"
2021,5.818148,"Dollar américain, millions, prix constants de 2023"
2022,5.987949,"Dollar américain, millions, prix constants de 2023"
2023,34.848917,"Dollar américain, millions, prix constants de 2023"
