Year,Value,Series
2015,22.91,Nombre de succursales de banques commerciales par 100 000 adultes
2016,22.34,Nombre de succursales de banques commerciales par 100 000 adultes
2017,20.83,Nombre de succursales de banques commerciales par 100 000 adultes
2018,20.18,Nombre de succursales de banques commerciales par 100 000 adultes
2019,19.75,Nombre de succursales de banques commerciales par 100 000 adultes
2020,20.18,Nombre de succursales de banques commerciales par 100 000 adultes
2021,20.69,Nombre de succursales de banques commerciales par 100 000 adultes
2022,19.77,Nombre de succursales de banques commerciales par 100 000 adultes
2023,19.02,Nombre de succursales de banques commerciales par 100 000 adultes
2015,222.13,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes
2016,224.76,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes
2017,229.25,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes
2018,220.49,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes
2019,214.33,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes
2020,210.34,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes
2021,212.43,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes
2022,206.02,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes
2023,188.53,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes
