Year,Value,Units,Series,GeoCode
2000,98.17,Pourcentage (%),Accès aux services d’eau potable de base,
2001,98.18,Pourcentage (%),Accès aux services d’eau potable de base,
2002,98.18,Pourcentage (%),Accès aux services d’eau potable de base,
2003,98.18,Pourcentage (%),Accès aux services d’eau potable de base,
2004,98.18,Pourcentage (%),Accès aux services d’eau potable de base,
2005,98.24,Pourcentage (%),Accès aux services d’eau potable de base,
2006,98.3,Pourcentage (%),Accès aux services d’eau potable de base,
2007,98.36,Pourcentage (%),Accès aux services d’eau potable de base,
2008,98.42,Pourcentage (%),Accès aux services d’eau potable de base,
2009,98.48,Pourcentage (%),Accès aux services d’eau potable de base,
2010,98.54,Pourcentage (%),Accès aux services d’eau potable de base,
2011,98.6,Pourcentage (%),Accès aux services d’eau potable de base,
2012,98.65,Pourcentage (%),Accès aux services d’eau potable de base,
2013,98.71,Pourcentage (%),Accès aux services d’eau potable de base,
2014,98.76,Pourcentage (%),Accès aux services d’eau potable de base,
2015,98.82,Pourcentage (%),Accès aux services d’eau potable de base,
2016,98.87,Pourcentage (%),Accès aux services d’eau potable de base,
2017,98.93,Pourcentage (%),Accès aux services d’eau potable de base,
2018,98.98,Pourcentage (%),Accès aux services d’eau potable de base,
2019,99.04,Pourcentage (%),Accès aux services d’eau potable de base,
2020,99.04,Pourcentage (%),Accès aux services d’eau potable de base,
2021,99.04,Pourcentage (%),Accès aux services d’eau potable de base,
2022,99.04,Pourcentage (%),Accès aux services d’eau potable de base,
2000,77.4,Pourcentage (%),Accès aux services d’assainissement de base,
2001,77.4,Pourcentage (%),Accès aux services d’assainissement de base,
2002,77.4,Pourcentage (%),Accès aux services d’assainissement de base,
2003,77.8,Pourcentage (%),Accès aux services d’assainissement de base,
2004,78.3,Pourcentage (%),Accès aux services d’assainissement de base,
2005,78.7,Pourcentage (%),Accès aux services d’assainissement de base,
2006,79.2,Pourcentage (%),Accès aux services d’assainissement de base,
2007,79.6,Pourcentage (%),Accès aux services d’assainissement de base,
2008,79.9,Pourcentage (%),Accès aux services d’assainissement de base,
2009,80.3,Pourcentage (%),Accès aux services d’assainissement de base,
2010,80.7,Pourcentage (%),Accès aux services d’assainissement de base,
2011,81.1,Pourcentage (%),Accès aux services d’assainissement de base,
2012,81.4,Pourcentage (%),Accès aux services d’assainissement de base,
2013,81.8,Pourcentage (%),Accès aux services d’assainissement de base,
2014,82.2,Pourcentage (%),Accès aux services d’assainissement de base,
2015,82.6,Pourcentage (%),Accès aux services d’assainissement de base,
2016,82.9,Pourcentage (%),Accès aux services d’assainissement de base,
2017,83.3,Pourcentage (%),Accès aux services d’assainissement de base,
2018,83.7,Pourcentage (%),Accès aux services d’assainissement de base,
2019,84.1,Pourcentage (%),Accès aux services d’assainissement de base,
2020,84.0,Pourcentage (%),Accès aux services d’assainissement de base,
2021,83.9,Pourcentage (%),Accès aux services d’assainissement de base,
2022,83.9,Pourcentage (%),Accès aux services d’assainissement de base,
2015,100.0,Pourcentage (%),Accès à des carburants et technologies propres,
2016,100.0,Pourcentage (%),Accès à des carburants et technologies propres,
2017,100.0,Pourcentage (%),Accès à des carburants et technologies propres,
2018,100.0,Pourcentage (%),Accès à des carburants et technologies propres,
2019,100.0,Pourcentage (%),Accès à des carburants et technologies propres,
2020,100.0,Pourcentage (%),Accès à des carburants et technologies propres,
2021,100.0,Pourcentage (%),Accès à des carburants et technologies propres,
2022,100.0,Pourcentage (%),Accès à des carburants et technologies propres,
2002,24081371.0,Tonnes,Accès aux services de base de la collecte des déchets,
2004,25226766.0,Tonnes,Accès aux services de base de la collecte des déchets,
2006,26417011.0,Tonnes,Accès aux services de base de la collecte des déchets,
2008,25926476.0,Tonnes,Accès aux services de base de la collecte des déchets,
2010,24952415.0,Tonnes,Accès aux services de base de la collecte des déchets,
2012,24681474.0,Tonnes,Accès aux services de base de la collecte des déchets,
2014,24766650.0,Tonnes,Accès aux services de base de la collecte des déchets,
2016,24940747.0,Tonnes,Accès aux services de base de la collecte des déchets,
2018,25733021.0,Tonnes,Accès aux services de base de la collecte des déchets,
2020,26107720.0,Tonnes,Accès aux services de base de la collecte des déchets,
