Year,Value,Series
1999,80,Violence physique
2004,75,Violence physique
2009,80,Violence physique
2014,48,Violence physique
2019,46,Violence physique
1999,21,Violence sexuelle
2004,21,Violence sexuelle
2009,24,Violence sexuelle
2014,22,Violence sexuelle
2019,30,Violence sexuelle
