Year,Value,Units
2015,4541.92,"Dollar américain, millions, prix constants de 2022"
2016,12605.09,"Dollar américain, millions, prix constants de 2022"
2017,5220.1,"Dollar américain, millions, prix constants de 2022"
2018,10481.99,"Dollar américain, millions, prix constants de 2022"
2019,5493.9,"Dollar américain, millions, prix constants de 2022"
2020,3274.96,"Dollar américain, millions, prix constants de 2022"
2021,10331.26,"Dollar américain, millions, prix constants de 2022"
2022,27670.78,"Dollar américain, millions, prix constants de 2022"
