Year,Value,Series
2016,74.8,Inventaire des données ouvertes (ODIN)
2017,74.8,Inventaire des données ouvertes (ODIN)
2018,78.8,Inventaire des données ouvertes (ODIN)
2020,76.0,Inventaire des données ouvertes (ODIN)
2022,77.2,Inventaire des données ouvertes (ODIN)
2024,78.3,Inventaire des données ouvertes (ODIN)
2023,93.4616666666667,Indicateurs de performance statistique (IPS)
2022,91.8216666666667,Indicateurs de performance statistique (IPS)
2021,93.4208333333333,Indicateurs de performance statistique (IPS)
2020,87.4366666666667,Indicateurs de performance statistique (IPS)
2019,87.4658333333333,Indicateurs de performance statistique (IPS)
2018,86.5708333333333,Indicateurs de performance statistique (IPS)
2017,86.44875,Indicateurs de performance statistique (IPS)
2016,86.2795833333333,Indicateurs de performance statistique (IPS)
