Year,Value,Series
2015,851,Réclamations de décès
2016,904,Réclamations de décès
2017,951,Réclamations de décès
2018,1027,Réclamations de décès
2019,925,Réclamations de décès
2020,924,Réclamations de décès
2021,1081,Réclamations de décès
2022,993,Réclamations de décès
2015,232629,Réclamations de pertes de temps
2016,240682,Réclamations de pertes de temps
2017,251625,Réclamations de pertes de temps
2018,264438,Réclamations de pertes de temps
2019,271806,Réclamations de pertes de temps
2020,253397,Réclamations de pertes de temps
2021,277217,Réclamations de pertes de temps
2022,348747,Réclamations de pertes de temps
