Year,Value,Series
2015,30.27,Investissements directs étrangers (IDE) entrants
2016,31.83,Investissements directs étrangers (IDE) entrants
2017,34.38,Investissements directs étrangers (IDE) entrants
2018,35.95,Investissements directs étrangers (IDE) entrants
2019,42.62,Investissements directs étrangers (IDE) entrants
2020,43.2,Investissements directs étrangers (IDE) entrants
2021,46.39,Investissements directs étrangers (IDE) entrants
2022,45.43,Investissements directs étrangers (IDE) entrants
2023,47.53,Investissements directs étrangers (IDE) entrants
2015,0.27,Aide publique au développement (APD)
2016,0.26,Aide publique au développement (APD)
2017,0.27,Aide publique au développement (APD)
2018,0.28,Aide publique au développement (APD)
2019,0.27,Aide publique au développement (APD)
2020,0.31,Aide publique au développement (APD)
2021,0.32,Aide publique au développement (APD)
2022,0.37,Aide publique au développement (APD)
2023,0.38,Aide publique au développement (APD)
