Year,Value,Units,Series
2016,297.12,CAD (Millions),Valeur totale des projets d’investissement soutenus
2017,439.44,CAD (Millions),Valeur totale des projets d’investissement soutenus
2018,636.11,CAD (Millions),Valeur totale des projets d’investissement soutenus
2019,581.1,CAD (Millions),Valeur totale des projets d’investissement soutenus
2020,776.9,CAD (Millions),Valeur totale des projets d’investissement soutenus
2021,1097.43,CAD (Millions),Valeur totale des projets d’investissement soutenus
2016,173.0,Nombre,Nombre de projets
2017,342.0,Nombre,Nombre de projets
2018,254.0,Nombre,Nombre de projets
2019,239.0,Nombre,Nombre de projets
2020,244.0,Nombre,Nombre de projets
2021,248.0,Nombre,Nombre de projets
