Year,Value,Series
2012,99.04145,Proportion d'établissements scolaires ayant accès à Internet à des fins pédagogiques
2015,98.07066,Proportion d'établissements scolaires ayant accès à Internet à des fins pédagogiques
2018,98.97206,Proportion d'établissements scolaires ayant accès à Internet à des fins pédagogiques
2022,98.68681,Proportion d'établissements scolaires ayant accès à Internet à des fins pédagogiques
