Year,Value,GeoCode,Progress
2015,-0.11,,57590.92
2016,-0.1,,57534.31
2017,1.81,,58575.36
2018,1.28,,59325.67
2019,0.43,,59580.56
2020,-6.06,,55968.56
2021,5.37,,58971.42
2022,2.79,,60614.53
2023,-0.84,,60102.62
2024,-0.95,,59529.12
