Year,Value
2014/2015,35.5
2015/2016,38.15
2016/2017,39.54
2017/2018,39.06
2018/2019,39.79
2019/2020,41.78
2020/2021,40.87
2021/2022,44.52
2022/2023,46.95
2023/2024,76.68
