Year,Causes of death,Age at time of death,Sex,Value
2017,Diabetes mellitus,90 years and over,Both sexes,344.8
2017,Diseases of heart,90 years and over,Both sexes,4723.4
2017,Essential hypertension and hypertensive renal disease,90 years and over,Both sexes,188.9
2017,Cerebrovascular diseases,90 years and over,Both sexes,1396.8
2017,Atherosclerosis,90 years and over,Both sexes,80.6
2017,Aortic aneurysm and dissection,90 years and over,Both sexes,83.9
2017,Chronic lower respiratory diseases,90 years and over,Both sexes,791.2
2017,Pneumoconioses and chemical effects,90 years and over,Both sexes,5.0
2017,Pneumonitis due to solids and liquids,90 years and over,Both sexes,182.2
2017,Malignant neoplasms,90 years and over,Males,3474.6
2017,Diabetes mellitus,90 years and over,Males,415.8
2017,Diseases of heart,90 years and over,Males,5417.5
2017,Essential hypertension and hypertensive renal disease,90 years and over,Males,164.3
2017,Cerebrovascular diseases,90 years and over,Males,1341.3
2017,Atherosclerosis,90 years and over,Males,81.6
2017,Aortic aneurysm and dissection,90 years and over,Males,141.6
2017,Chronic lower respiratory diseases,90 years and over,Males,1103.4
2017,Pneumoconioses and chemical effects,90 years and over,Males,17.0
2017,Pneumonitis due to solids and liquids,90 years and over,Males,297.9
2017,Malignant neoplasms,90 years and over,Females,1910.2
2017,Diabetes mellitus,90 years and over,Females,315.2
2017,Diseases of heart,90 years and over,Females,4434.3
2017,Essential hypertension and hypertensive renal disease,90 years and over,Females,199.1
2017,Cerebrovascular diseases,90 years and over,Females,1419.9
2017,Atherosclerosis,90 years and over,Females,80.2
2017,Aortic aneurysm and dissection,90 years and over,Females,59.9
2017,Chronic lower respiratory diseases,90 years and over,Females,661.1
2017,Pneumoconioses and chemical effects,90 years and over,Females,0.0
2017,Pneumonitis due to solids and liquids,90 years and over,Females,134.0
2018,Malignant neoplasms,All ages,Both sexes,215.3
2018,Diabetes mellitus,All ages,Both sexes,18.5
2018,Diseases of heart,All ages,Both sexes,146.4
2018,Essential hypertension and hypertensive renal disease,All ages,Both sexes,3.9
2018,Cerebrovascular diseases,All ages,Both sexes,36.6
2018,Atherosclerosis,All ages,Both sexes,1.4
2018,Aortic aneurysm and dissection,All ages,Both sexes,4.3
2018,Chronic lower respiratory diseases,All ages,Both sexes,35.3
2018,Pneumoconioses and chemical effects,All ages,Both sexes,0.3
2018,Pneumonitis due to solids and liquids,All ages,Both sexes,4.4
2018,Malignant neoplasms,All ages,Males,229.4
2018,Diabetes mellitus,All ages,Males,20.6
2018,Diseases of heart,All ages,Males,159.8
2018,Essential hypertension and hypertensive renal disease,All ages,Males,3.0
2018,Cerebrovascular diseases,All ages,Males,31.4
2018,Atherosclerosis,All ages,Males,1.2
2018,Aortic aneurysm and dissection,All ages,Males,5.2
2018,Chronic lower respiratory diseases,All ages,Males,35.2
2018,Pneumoconioses and chemical effects,All ages,Males,0.6
2018,Pneumonitis due to solids and liquids,All ages,Males,5.1
2018,Malignant neoplasms,All ages,Females,201.3
2018,Diabetes mellitus,All ages,Females,16.5
2018,Diseases of heart,All ages,Females,133.1
2018,Essential hypertension and hypertensive renal disease,All ages,Females,4.8
2018,Cerebrovascular diseases,All ages,Females,41.6
2018,Atherosclerosis,All ages,Females,1.6
2018,Aortic aneurysm and dissection,All ages,Females,3.4
2018,Chronic lower respiratory diseases,All ages,Females,35.4
2018,Pneumoconioses and chemical effects,All ages,Females,0.0
2018,Pneumonitis due to solids and liquids,All ages,Females,3.6
2018,Malignant neoplasms,1 to 14 years,Both sexes,2.0
2018,Diabetes mellitus,1 to 14 years,Both sexes,0.0
2018,Diseases of heart,1 to 14 years,Both sexes,0.3
2018,Essential hypertension and hypertensive renal disease,1 to 14 years,Both sexes,0.1
2018,Cerebrovascular diseases,1 to 14 years,Both sexes,0.1
2018,Atherosclerosis,1 to 14 years,Both sexes,0.0
2018,Aortic aneurysm and dissection,1 to 14 years,Both sexes,0.0
2018,Chronic lower respiratory diseases,1 to 14 years,Both sexes,0.1
2018,Pneumoconioses and chemical effects,1 to 14 years,Both sexes,0.0
2018,Pneumonitis due to solids and liquids,1 to 14 years,Both sexes,0.1
2018,Malignant neoplasms,1 to 14 years,Males,2.4
2018,Diabetes mellitus,1 to 14 years,Males,0.0
2018,Diseases of heart,1 to 14 years,Males,0.3
2018,Essential hypertension and hypertensive renal disease,1 to 14 years,Males,0.0
2018,Cerebrovascular diseases,1 to 14 years,Males,0.2
2018,Atherosclerosis,1 to 14 years,Males,0.0
2018,Aortic aneurysm and dissection,1 to 14 years,Males,0.0
2018,Chronic lower respiratory diseases,1 to 14 years,Males,0.2
2018,Pneumoconioses and chemical effects,1 to 14 years,Males,0.0
2018,Pneumonitis due to solids and liquids,1 to 14 years,Males,0.1
2018,Malignant neoplasms,1 to 14 years,Females,1.7
2018,Diabetes mellitus,1 to 14 years,Females,0.0
2018,Diseases of heart,1 to 14 years,Females,0.4
2018,Essential hypertension and hypertensive renal disease,1 to 14 years,Females,0.1
2018,Cerebrovascular diseases,1 to 14 years,Females,0.0
2018,Atherosclerosis,1 to 14 years,Females,0.0
2018,Aortic aneurysm and dissection,1 to 14 years,Females,0.0
2018,Chronic lower respiratory diseases,1 to 14 years,Females,0.1
2018,Pneumoconioses and chemical effects,1 to 14 years,Females,0.0
2018,Pneumonitis due to solids and liquids,1 to 14 years,Females,0.0
2018,Malignant neoplasms,1 to 4 years,Both sexes,2.3
2018,Diabetes mellitus,1 to 4 years,Both sexes,0.0
2018,Diseases of heart,1 to 4 years,Both sexes,0.4
2018,Essential hypertension and hypertensive renal disease,1 to 4 years,Both sexes,0.1
2018,Cerebrovascular diseases,1 to 4 years,Both sexes,0.0
2018,Atherosclerosis,1 to 4 years,Both sexes,0.0
2018,Aortic aneurysm and dissection,1 to 4 years,Both sexes,0.0
2018,Chronic lower respiratory diseases,1 to 4 years,Both sexes,0.3
2018,Pneumoconioses and chemical effects,1 to 4 years,Both sexes,0.0
2018,Pneumonitis due to solids and liquids,1 to 4 years,Both sexes,0.1
2018,Malignant neoplasms,1 to 4 years,Males,2.0
2018,Diabetes mellitus,1 to 4 years,Males,0.0
2018,Diseases of heart,1 to 4 years,Males,0.4
2018,Essential hypertension and hypertensive renal disease,1 to 4 years,Males,0.0
2018,Cerebrovascular diseases,1 to 4 years,Males,0.0
2018,Atherosclerosis,1 to 4 years,Males,0.0
2018,Aortic aneurysm and dissection,1 to 4 years,Males,0.0
2018,Chronic lower respiratory diseases,1 to 4 years,Males,0.4
2018,Pneumoconioses and chemical effects,1 to 4 years,Males,0.0
2018,Pneumonitis due to solids and liquids,1 to 4 years,Males,0.1
2018,Malignant neoplasms,1 to 4 years,Females,2.6
2018,Diabetes mellitus,1 to 4 years,Females,0.0
2018,Diseases of heart,1 to 4 years,Females,0.5
2018,Essential hypertension and hypertensive renal disease,1 to 4 years,Females,0.1
2018,Cerebrovascular diseases,1 to 4 years,Females,0.0
2018,Atherosclerosis,1 to 4 years,Females,0.0
2018,Aortic aneurysm and dissection,1 to 4 years,Females,0.0
2018,Chronic lower respiratory diseases,1 to 4 years,Females,0.1
2018,Pneumoconioses and chemical effects,1 to 4 years,Females,0.0
2018,Pneumonitis due to solids and liquids,1 to 4 years,Females,0.0
2018,Malignant neoplasms,5 to 9 years,Both sexes,2.3
2018,Diabetes mellitus,5 to 9 years,Both sexes,0.0
2018,Diseases of heart,5 to 9 years,Both sexes,0.1
2018,Essential hypertension and hypertensive renal disease,5 to 9 years,Both sexes,0.0
2018,Cerebrovascular diseases,5 to 9 years,Both sexes,0.1
2018,Atherosclerosis,5 to 9 years,Both sexes,0.0
2018,Aortic aneurysm and dissection,5 to 9 years,Both sexes,0.0
2018,Chronic lower respiratory diseases,5 to 9 years,Both sexes,0.1
2018,Pneumoconioses and chemical effects,5 to 9 years,Both sexes,0.0
2018,Pneumonitis due to solids and liquids,5 to 9 years,Both sexes,0.0
2018,Malignant neoplasms,5 to 9 years,Males,3.0
2018,Diabetes mellitus,5 to 9 years,Males,0.0
2018,Diseases of heart,5 to 9 years,Males,0.0
2018,Essential hypertension and hypertensive renal disease,5 to 9 years,Males,0.0
2018,Cerebrovascular diseases,5 to 9 years,Males,0.2
2018,Atherosclerosis,5 to 9 years,Males,0.0
2018,Aortic aneurysm and dissection,5 to 9 years,Males,0.0
2018,Chronic lower respiratory diseases,5 to 9 years,Males,0.3
2018,Pneumoconioses and chemical effects,5 to 9 years,Males,0.0
2018,Pneumonitis due to solids and liquids,5 to 9 years,Males,0.0
2018,Malignant neoplasms,5 to 9 years,Females,1.5
2018,Diabetes mellitus,5 to 9 years,Females,0.0
2018,Diseases of heart,5 to 9 years,Females,0.2
2018,Essential hypertension and hypertensive renal disease,5 to 9 years,Females,0.0
2018,Cerebrovascular diseases,5 to 9 years,Females,0.0
2018,Atherosclerosis,5 to 9 years,Females,0.0
2018,Aortic aneurysm and dissection,5 to 9 years,Females,0.0
2018,Chronic lower respiratory diseases,5 to 9 years,Females,0.0
2018,Pneumoconioses and chemical effects,5 to 9 years,Females,0.0
2018,Pneumonitis due to solids and liquids,5 to 9 years,Females,0.0
2018,Malignant neoplasms,10 to 14 years,Both sexes,1.6
2018,Diabetes mellitus,10 to 14 years,Both sexes,0.0
2018,Diseases of heart,10 to 14 years,Both sexes,0.3
2018,Essential hypertension and hypertensive renal disease,10 to 14 years,Both sexes,0.0
2018,Cerebrovascular diseases,10 to 14 years,Both sexes,0.1
2018,Atherosclerosis,10 to 14 years,Both sexes,0.0
2018,Aortic aneurysm and dissection,10 to 14 years,Both sexes,0.0
2018,Chronic lower respiratory diseases,10 to 14 years,Both sexes,0.0
2018,Pneumoconioses and chemical effects,10 to 14 years,Both sexes,0.0
2018,Pneumonitis due to solids and liquids,10 to 14 years,Both sexes,0.0
2018,Malignant neoplasms,10 to 14 years,Males,2.0
2018,Diabetes mellitus,10 to 14 years,Males,0.0
2018,Diseases of heart,10 to 14 years,Males,0.2
2018,Essential hypertension and hypertensive renal disease,10 to 14 years,Males,0.0
2018,Cerebrovascular diseases,10 to 14 years,Males,0.3
2018,Atherosclerosis,10 to 14 years,Males,0.0
2018,Aortic aneurysm and dissection,10 to 14 years,Males,0.0
2018,Chronic lower respiratory diseases,10 to 14 years,Males,0.1
2018,Pneumoconioses and chemical effects,10 to 14 years,Males,0.0
2018,Pneumonitis due to solids and liquids,10 to 14 years,Males,0.1
2018,Malignant neoplasms,10 to 14 years,Females,1.2
2018,Diabetes mellitus,10 to 14 years,Females,0.0
2018,Diseases of heart,10 to 14 years,Females,0.4
2018,Essential hypertension and hypertensive renal disease,10 to 14 years,Females,0.0
2018,Cerebrovascular diseases,10 to 14 years,Females,0.0
2018,Atherosclerosis,10 to 14 years,Females,0.0
2018,Aortic aneurysm and dissection,10 to 14 years,Females,0.0
2018,Chronic lower respiratory diseases,10 to 14 years,Females,0.0
2018,Pneumoconioses and chemical effects,10 to 14 years,Females,0.0
2018,Pneumonitis due to solids and liquids,10 to 14 years,Females,0.0
2018,Malignant neoplasms,15 to 24,Both sexes,2.8
2018,Diabetes mellitus,15 to 24,Both sexes,0.4
2018,Diseases of heart,15 to 24,Both sexes,1.1
2018,Essential hypertension and hypertensive renal disease,15 to 24,Both sexes,0.0
2018,Cerebrovascular diseases,15 to 24,Both sexes,0.3
2018,Atherosclerosis,15 to 24,Both sexes,0.0
2018,Aortic aneurysm and dissection,15 to 24,Both sexes,0.1
2018,Chronic lower respiratory diseases,15 to 24,Both sexes,0.1
2018,Pneumoconioses and chemical effects,15 to 24,Both sexes,0.0
2018,Pneumonitis due to solids and liquids,15 to 24,Both sexes,0.1
2018,Malignant neoplasms,15 to 24,Males,3.1
2018,Diabetes mellitus,15 to 24,Males,0.2
2018,Diseases of heart,15 to 24,Males,1.4
2018,Essential hypertension and hypertensive renal disease,15 to 24,Males,0.0
2018,Cerebrovascular diseases,15 to 24,Males,0.4
2018,Atherosclerosis,15 to 24,Males,0.0
2018,Aortic aneurysm and dissection,15 to 24,Males,0.2
2018,Chronic lower respiratory diseases,15 to 24,Males,0.2
2018,Pneumoconioses and chemical effects,15 to 24,Males,0.0
2018,Pneumonitis due to solids and liquids,15 to 24,Males,0.1
2018,Malignant neoplasms,15 to 24,Females,2.3
2018,Diabetes mellitus,15 to 24,Females,0.5
2018,Diseases of heart,15 to 24,Females,0.8
2018,Essential hypertension and hypertensive renal disease,15 to 24,Females,0.0
2018,Cerebrovascular diseases,15 to 24,Females,0.2
2018,Atherosclerosis,15 to 24,Females,0.0
2018,Aortic aneurysm and dissection,15 to 24,Females,0.0
2018,Chronic lower respiratory diseases,15 to 24,Females,0.1
2018,Pneumoconioses and chemical effects,15 to 24,Females,0.0
2018,Pneumonitis due to solids and liquids,15 to 24,Females,0.1
