Year,Series,Units,Value
2017-2019,Accessions of plant genetic resources secured in conservation facilities,Number,127505
2019-2021,Accessions of plant genetic resources secured in conservation facilities,Number,115000
2017-2019,Local breeds stored in genebank,Number,11
2019-2021,Local breeds stored in genebank,Number,14
