Year,Proficiency level,Skill,Geography,Gender,Age group,GeoCode,Value
2012,3 or above,Literacy,Newfoundland and Labrador,Total,25 to 34 years,10,57.5
2012,2 or below,Numeracy,Newfoundland and Labrador,Total,25 to 34 years,10,51.9
2012,3 or above,Numeracy,Newfoundland and Labrador,Total,25 to 34 years,10,48.1
2012,2 or below,Literacy,Newfoundland and Labrador,Total,35 to 44 years,10,48.1
2012,3 or above,Literacy,Newfoundland and Labrador,Total,35 to 44 years,10,51.9
2012,2 or below,Numeracy,Newfoundland and Labrador,Total,35 to 44 years,10,56.7
2012,3 or above,Numeracy,Newfoundland and Labrador,Total,35 to 44 years,10,43.3
2012,2 or below,Literacy,Newfoundland and Labrador,Total,45 to 54 years,10,61.4
2012,3 or above,Literacy,Newfoundland and Labrador,Total,45 to 54 years,10,38.6
2012,2 or below,Numeracy,Newfoundland and Labrador,Total,45 to 54 years,10,71.4
2012,3 or above,Numeracy,Newfoundland and Labrador,Total,45 to 54 years,10,28.6
2012,2 or below,Literacy,Newfoundland and Labrador,Total,55 to 65 years,10,73.4
2012,3 or above,Literacy,Newfoundland and Labrador,Total,55 to 65 years,10,26.6
2012,2 or below,Numeracy,Newfoundland and Labrador,Total,55 to 65 years,10,82.1
2012,3 or above,Numeracy,Newfoundland and Labrador,Total,55 to 65 years,10,17.9
2012,2 or below,Literacy,Newfoundland and Labrador,Men+,Total,10,57.3
2012,3 or above,Literacy,Newfoundland and Labrador,Men+,Total,10,42.7
2012,2 or below,Numeracy,Newfoundland and Labrador,Men+,Total,10,62.2
2012,3 or above,Numeracy,Newfoundland and Labrador,Men+,Total,10,37.8
2012,2 or below,Literacy,Newfoundland and Labrador,Men+,16 to 24 years,10,50.8
2012,3 or above,Literacy,Newfoundland and Labrador,Men+,16 to 24 years,10,49.2
2012,2 or below,Numeracy,Newfoundland and Labrador,Men+,16 to 24 years,10,53.3
2012,3 or above,Numeracy,Newfoundland and Labrador,Men+,16 to 24 years,10,46.7
2012,2 or below,Literacy,Newfoundland and Labrador,Men+,25 to 34 years,10,40.6
2012,3 or above,Literacy,Newfoundland and Labrador,Men+,25 to 34 years,10,59.4
2012,2 or below,Numeracy,Newfoundland and Labrador,Men+,25 to 34 years,10,46.1
2012,3 or above,Numeracy,Newfoundland and Labrador,Men+,25 to 34 years,10,53.9
2012,2 or below,Literacy,Newfoundland and Labrador,Men+,35 to 44 years,10,51.4
2012,3 or above,Literacy,Newfoundland and Labrador,Men+,35 to 44 years,10,48.6
2012,2 or below,Numeracy,Newfoundland and Labrador,Men+,35 to 44 years,10,54.5
2012,3 or above,Numeracy,Newfoundland and Labrador,Men+,35 to 44 years,10,45.5
2012,2 or below,Literacy,Newfoundland and Labrador,Men+,45 to 54 years,10,61.4
2012,3 or above,Literacy,Newfoundland and Labrador,Men+,45 to 54 years,10,38.6
2012,2 or below,Numeracy,Newfoundland and Labrador,Men+,45 to 54 years,10,68.9
2012,3 or above,Numeracy,Newfoundland and Labrador,Men+,45 to 54 years,10,31.1
2012,2 or below,Literacy,Newfoundland and Labrador,Men+,55 to 65 years,10,72.4
2012,3 or above,Literacy,Newfoundland and Labrador,Men+,55 to 65 years,10,27.6
2012,2 or below,Numeracy,Newfoundland and Labrador,Men+,55 to 65 years,10,77.4
2012,3 or above,Numeracy,Newfoundland and Labrador,Men+,55 to 65 years,10,22.6
2012,2 or below,Literacy,Newfoundland and Labrador,Women+,Total,10,56.4
2012,3 or above,Literacy,Newfoundland and Labrador,Women+,Total,10,43.6
2012,2 or below,Numeracy,Newfoundland and Labrador,Women+,Total,10,68.7
2012,3 or above,Numeracy,Newfoundland and Labrador,Women+,Total,10,31.3
2012,2 or below,Literacy,Newfoundland and Labrador,Women+,16 to 24 years,10,46.1
2012,3 or above,Literacy,Newfoundland and Labrador,Women+,16 to 24 years,10,53.9
2012,2 or below,Numeracy,Newfoundland and Labrador,Women+,16 to 24 years,10,56.0
2012,3 or above,Numeracy,Newfoundland and Labrador,Women+,16 to 24 years,10,44.0
2012,2 or below,Literacy,Newfoundland and Labrador,Women+,25 to 34 years,10,44.3
2012,3 or above,Literacy,Newfoundland and Labrador,Women+,25 to 34 years,10,55.7
2012,2 or below,Numeracy,Newfoundland and Labrador,Women+,25 to 34 years,10,57.5
2012,3 or above,Numeracy,Newfoundland and Labrador,Women+,25 to 34 years,10,42.5
2012,2 or below,Literacy,Newfoundland and Labrador,Women+,35 to 44 years,10,45.1
2012,3 or above,Literacy,Newfoundland and Labrador,Women+,35 to 44 years,10,54.9
2012,2 or below,Numeracy,Newfoundland and Labrador,Women+,35 to 44 years,10,58.6
2012,3 or above,Numeracy,Newfoundland and Labrador,Women+,35 to 44 years,10,41.4
2012,2 or below,Literacy,Newfoundland and Labrador,Women+,45 to 54 years,10,61.3
2012,3 or above,Literacy,Newfoundland and Labrador,Women+,45 to 54 years,10,38.7
2012,2 or below,Numeracy,Newfoundland and Labrador,Women+,45 to 54 years,10,73.7
2012,3 or above,Numeracy,Newfoundland and Labrador,Women+,45 to 54 years,10,26.3
2012,2 or below,Literacy,Newfoundland and Labrador,Women+,55 to 65 years,10,74.4
2012,3 or above,Literacy,Newfoundland and Labrador,Women+,55 to 65 years,10,25.6
2012,2 or below,Numeracy,Newfoundland and Labrador,Women+,55 to 65 years,10,86.7
2012,3 or above,Numeracy,Newfoundland and Labrador,Women+,55 to 65 years,10,13.3
2012,2 or below,Literacy,Prince Edward Island,Total,Total,11,45.3
2012,3 or above,Literacy,Prince Edward Island,Total,Total,11,54.7
2012,2 or below,Numeracy,Prince Edward Island,Total,Total,11,55.8
2012,3 or above,Numeracy,Prince Edward Island,Total,Total,11,44.2
2012,2 or below,Literacy,Prince Edward Island,Total,16 to 24 years,11,44.1
2012,3 or above,Literacy,Prince Edward Island,Total,16 to 24 years,11,55.9
2012,2 or below,Numeracy,Prince Edward Island,Total,16 to 24 years,11,54.3
2012,3 or above,Numeracy,Prince Edward Island,Total,16 to 24 years,11,45.7
2012,2 or below,Literacy,Prince Edward Island,Total,25 to 34 years,11,32.3
2012,3 or above,Literacy,Prince Edward Island,Total,25 to 34 years,11,67.7
2012,2 or below,Numeracy,Prince Edward Island,Total,25 to 34 years,11,45.5
2012,3 or above,Numeracy,Prince Edward Island,Total,25 to 34 years,11,54.5
2012,2 or below,Literacy,Prince Edward Island,Total,35 to 44 years,11,37.6
2012,3 or above,Literacy,Prince Edward Island,Total,35 to 44 years,11,62.4
2012,2 or below,Numeracy,Prince Edward Island,Total,35 to 44 years,11,50.3
2012,3 or above,Numeracy,Prince Edward Island,Total,35 to 44 years,11,49.7
2012,2 or below,Literacy,Prince Edward Island,Total,45 to 54 years,11,51.2
