Year,Units,Measure,Value
2015,"US dollar, Millions, 2023 constant prices",Official Development Assistance,123.103738
2016,"US dollar, Millions, 2023 constant prices",Official Development Assistance,117.674513
2017,"US dollar, Millions, 2023 constant prices",Official Development Assistance,260.661463
2018,"US dollar, Millions, 2023 constant prices",Official Development Assistance,355.928776
2018,"US dollar, Millions, 2023 constant prices",Other Official Flows (non Export Credit),13.861459
2019,"US dollar, Millions, 2023 constant prices",Official Development Assistance,187.894289
2019,"US dollar, Millions, 2023 constant prices",Other Official Flows (non Export Credit),37.967334
2020,"US dollar, Millions, 2023 constant prices",Official Development Assistance,319.439695
2020,"US dollar, Millions, 2023 constant prices",Other Official Flows (non Export Credit),34.538579
2021,"US dollar, Millions, 2023 constant prices",Official Development Assistance,445.245895
2021,"US dollar, Millions, 2023 constant prices",Other Official Flows (non Export Credit),81.738493
2022,"US dollar, Millions, 2023 constant prices",Official Development Assistance,383.813987
2022,"US dollar, Millions, 2023 constant prices",Other Official Flows (non Export Credit),134.174317
2023,"US dollar, Millions, 2023 constant prices",Official Development Assistance,389.448619
2015,"US dollar, Millions, 2023 constant prices",,123.103738
2016,"US dollar, Millions, 2023 constant prices",,117.674513
2017,"US dollar, Millions, 2023 constant prices",,260.661463
2018,"US dollar, Millions, 2023 constant prices",,369.790235
2019,"US dollar, Millions, 2023 constant prices",,225.861623
2020,"US dollar, Millions, 2023 constant prices",,353.978274
2021,"US dollar, Millions, 2023 constant prices",,526.984388
2022,"US dollar, Millions, 2023 constant prices",,517.988304
2023,"US dollar, Millions, 2023 constant prices",,389.448619
