Year,Geography,GeoCode,Value
2015,,,1.7
2015,Newfoundland and Labrador,10,1.2
2015,Prince Edward Island,11,1.3
2015,Nova Scotia,12,1.5
2015,New Brunswick,13,0.9
2015,Quebec,24,2.3
2015,Ontario,35,1.9
2015,Manitoba,46,1.2
2015,Saskatchewan,47,1.0
2015,Alberta,48,1.1
2015,British Columbia,59,1.4
2015,"Total, Organisation for Economic Co-operation and Development (OECD)",,2.3
2016,,,1.7
2016,Newfoundland and Labrador,10,1.2
2016,Prince Edward Island,11,1.3
2016,Nova Scotia,12,1.5
2016,New Brunswick,13,1.1
2016,Quebec,24,2.2
2016,Ontario,35,2.0
2016,Manitoba,46,1.2
2016,Saskatchewan,47,0.9
2016,Alberta,48,1.1
2016,British Columbia,59,1.6
2016,"Total, Organisation for Economic Co-operation and Development (OECD)",,2.3
2017,,,1.7
2017,Newfoundland and Labrador,10,1.2
2017,Prince Edward Island,11,1.3
2017,Nova Scotia,12,1.5
2017,New Brunswick,13,0.9
2017,Quebec,24,2.3
2017,Ontario,35,1.9
2017,Manitoba,46,1.2
2017,Saskatchewan,47,0.8
2017,Alberta,48,1.0
2017,British Columbia,59,1.5
2017,"Total, Organisation for Economic Co-operation and Development (OECD)",,2.4
2018,,,1.7
2018,Newfoundland and Labrador,10,1.5
2018,Prince Edward Island,11,1.2
2018,Nova Scotia,12,1.5
2018,New Brunswick,13,1.0
2018,Quebec,24,2.3
2018,Ontario,35,2.0
2018,Manitoba,46,1.1
2018,Saskatchewan,47,0.9
2018,Alberta,48,1.1
2018,British Columbia,59,1.6
2018,"Total, Organisation for Economic Co-operation and Development (OECD)",,2.4
2019,,,1.8
2019,Newfoundland and Labrador,10,1.6
2019,Prince Edward Island,11,1.1
2019,Nova Scotia,12,1.6
2019,New Brunswick,13,1.0
2019,Quebec,24,2.2
2019,Ontario,35,2.0
2019,Manitoba,46,1.2
2019,Saskatchewan,47,0.9
2019,Alberta,48,1.1
2019,British Columbia,59,1.6
2019,"Total, Organisation for Economic Co-operation and Development (OECD)",,2.5
2020,,,1.9
2020,Newfoundland and Labrador,10,1.7
2020,Prince Edward Island,11,1.1
2020,Nova Scotia,12,1.5
2020,New Brunswick,13,0.9
2020,Quebec,24,2.4
2020,Ontario,35,2.3
2020,Manitoba,46,1.2
2020,Saskatchewan,47,1.0
2020,Alberta,48,1.2
2020,British Columbia,59,1.8
2020,"Total, Organisation for Economic Co-operation and Development (OECD)",,2.7
2021,,,1.9
2021,Newfoundland and Labrador,10,1.4
2021,Prince Edward Island,11,1.0
2021,Nova Scotia,12,1.6
2021,New Brunswick,13,1.0
2021,Quebec,24,2.3
2021,Ontario,35,2.2
2021,Manitoba,46,1.2
2021,Saskatchewan,47,0.9
2021,Alberta,48,1.1
2021,British Columbia,59,1.7
2021,Territories,,0.7
2021,"Total, Organisation for Economic Co-operation and Development (OECD)",,2.7
2022,,,1.8
2022,Newfoundland and Labrador,10,1.1
2022,Prince Edward Island,11,1.1
2022,Nova Scotia,12,1.7
2022,New Brunswick,13,1.0
2022,Quebec,24,2.3
2022,Ontario,35,2.2
2022,Manitoba,46,1.1
2022,Saskatchewan,47,0.8
2022,Alberta,48,1.0
2022,British Columbia,59,1.7
2022,Territories,,1.0
2022,"Total, Organisation for Economic Co-operation and Development (OECD)",,2.7
2023,,,1.8
