Year,Activity related to digital skills,Age group,Highest level of education,Value
2018,"Created presentations, or documents with text and pictures, tables or charts",Internet users aged 65 years and over,"College, trade school or some university",11.1
2018,"Created presentations, or documents with text and pictures, tables or charts",Internet users aged 65 years and over,Bachelor's degree or higher,26.2
2018,Used spreadsheet software basic functions,"Total, Internet users aged 15 years and over","Total, highest certificate, diploma or degree completed",53.0
2018,Used spreadsheet software basic functions,"Total, Internet users aged 15 years and over",High school or less,38.6
2018,Used spreadsheet software basic functions,"Total, Internet users aged 15 years and over","College, trade school or some university",49.5
2018,Used spreadsheet software basic functions,"Total, Internet users aged 15 years and over",Bachelor's degree or higher,69.9
2018,Used spreadsheet software basic functions,Internet users aged 15 to 24 years,"Total, highest certificate, diploma or degree completed",62.2
2018,Used spreadsheet software basic functions,Internet users aged 15 to 24 years,High school or less,59.1
2018,Used spreadsheet software basic functions,Internet users aged 15 to 24 years,"College, trade school or some university",57.5
2018,Used spreadsheet software basic functions,Internet users aged 15 to 24 years,Bachelor's degree or higher,85.2
2018,Used spreadsheet software basic functions,Internet users aged 25 to 44 years,"Total, highest certificate, diploma or degree completed",65.7
2018,Used spreadsheet software basic functions,Internet users aged 25 to 44 years,High school or less,42.2
2018,Used spreadsheet software basic functions,Internet users aged 25 to 44 years,"College, trade school or some university",61.4
2018,Used spreadsheet software basic functions,Internet users aged 25 to 44 years,Bachelor's degree or higher,79.3
2018,Used spreadsheet software basic functions,Internet users aged 45 to 64 years,"Total, highest certificate, diploma or degree completed",48.5
2018,Used spreadsheet software basic functions,Internet users aged 45 to 64 years,High school or less,26.7
2018,Used spreadsheet software basic functions,Internet users aged 45 to 64 years,"College, trade school or some university",46.8
2018,Used spreadsheet software basic functions,Internet users aged 45 to 64 years,Bachelor's degree or higher,67.2
2018,Used spreadsheet software basic functions,Internet users aged 65 years and over,"Total, highest certificate, diploma or degree completed",26.2
2018,Used spreadsheet software basic functions,Internet users aged 65 years and over,High school or less,16.5
2018,Used spreadsheet software basic functions,Internet users aged 65 years and over,"College, trade school or some university",25.2
2018,Used spreadsheet software basic functions,Internet users aged 65 years and over,Bachelor's degree or higher,39.3
2018,Used spreadsheet software advanced functions to organize and analyze data,"Total, Internet users aged 15 years and over","Total, highest certificate, diploma or degree completed",21.5
2018,Used spreadsheet software advanced functions to organize and analyze data,"Total, Internet users aged 15 years and over",High school or less,13.3
2018,Used spreadsheet software advanced functions to organize and analyze data,"Total, Internet users aged 15 years and over","College, trade school or some university",18.2
2018,Used spreadsheet software advanced functions to organize and analyze data,"Total, Internet users aged 15 years and over",Bachelor's degree or higher,32.1
2018,Used spreadsheet software advanced functions to organize and analyze data,Internet users aged 15 to 24 years,"Total, highest certificate, diploma or degree completed",26.1
2018,Used spreadsheet software advanced functions to organize and analyze data,Internet users aged 15 to 24 years,High school or less,23.0
2018,Used spreadsheet software advanced functions to organize and analyze data,Internet users aged 15 to 24 years,"College, trade school or some university",26.7
2018,Used spreadsheet software advanced functions to organize and analyze data,Internet users aged 15 to 24 years,Bachelor's degree or higher,41.9
2018,Used spreadsheet software advanced functions to organize and analyze data,Internet users aged 25 to 44 years,"Total, highest certificate, diploma or degree completed",29.7
2018,Used spreadsheet software advanced functions to organize and analyze data,Internet users aged 25 to 44 years,High school or less,15.1
2018,Used spreadsheet software advanced functions to organize and analyze data,Internet users aged 25 to 44 years,"College, trade school or some university",23.5
2018,Used spreadsheet software advanced functions to organize and analyze data,Internet users aged 25 to 44 years,Bachelor's degree or higher,40.8
2018,Used spreadsheet software advanced functions to organize and analyze data,Internet users aged 45 to 64 years,"Total, highest certificate, diploma or degree completed",18.3
2018,Used spreadsheet software advanced functions to organize and analyze data,Internet users aged 45 to 64 years,High school or less,8.1
2018,Used spreadsheet software advanced functions to organize and analyze data,Internet users aged 45 to 64 years,"College, trade school or some university",16.9
2018,Used spreadsheet software advanced functions to organize and analyze data,Internet users aged 45 to 64 years,Bachelor's degree or higher,27.8
2018,Used spreadsheet software advanced functions to organize and analyze data,Internet users aged 65 years and over,"Total, highest certificate, diploma or degree completed",5.8
2018,Used spreadsheet software advanced functions to organize and analyze data,Internet users aged 65 years and over,High school or less,2.3
2018,Used spreadsheet software advanced functions to organize and analyze data,Internet users aged 65 years and over,"College, trade school or some university",5.5
2018,Used spreadsheet software advanced functions to organize and analyze data,Internet users aged 65 years and over,Bachelor's degree or higher,10.2
2018,"Used software to edit photos, video or audio files","Total, Internet users aged 15 years and over","Total, highest certificate, diploma or degree completed",39.7
2018,"Used software to edit photos, video or audio files","Total, Internet users aged 15 years and over",High school or less,33.7
2018,"Used software to edit photos, video or audio files","Total, Internet users aged 15 years and over","College, trade school or some university",36.6
2018,"Used software to edit photos, video or audio files","Total, Internet users aged 15 years and over",Bachelor's degree or higher,48.1
2018,"Used software to edit photos, video or audio files",Internet users aged 15 to 24 years,"Total, highest certificate, diploma or degree completed",52.0
2018,"Used software to edit photos, video or audio files",Internet users aged 15 to 24 years,High school or less,54.3
2018,"Used software to edit photos, video or audio files",Internet users aged 15 to 24 years,"College, trade school or some university",44.3
2018,"Used software to edit photos, video or audio files",Internet users aged 15 to 24 years,Bachelor's degree or higher,49.3
2018,"Used software to edit photos, video or audio files",Internet users aged 25 to 44 years,"Total, highest certificate, diploma or degree completed",49.6
2018,"Used software to edit photos, video or audio files",Internet users aged 25 to 44 years,High school or less,41.4
2018,"Used software to edit photos, video or audio files",Internet users aged 25 to 44 years,"College, trade school or some university",46.5
2018,"Used software to edit photos, video or audio files",Internet users aged 25 to 44 years,Bachelor's degree or higher,55.6
2018,"Used software to edit photos, video or audio files",Internet users aged 45 to 64 years,"Total, highest certificate, diploma or degree completed",32.7
2018,"Used software to edit photos, video or audio files",Internet users aged 45 to 64 years,High school or less,19.3
2018,"Used software to edit photos, video or audio files",Internet users aged 45 to 64 years,"College, trade school or some university",32.0
2018,"Used software to edit photos, video or audio files",Internet users aged 45 to 64 years,Bachelor's degree or higher,43.9
2018,"Used software to edit photos, video or audio files",Internet users aged 65 years and over,"Total, highest certificate, diploma or degree completed",21.0
2018,"Used software to edit photos, video or audio files",Internet users aged 65 years and over,High school or less,10.6
2018,"Used software to edit photos, video or audio files",Internet users aged 65 years and over,"College, trade school or some university",21.4
2018,"Used software to edit photos, video or audio files",Internet users aged 65 years and over,Bachelor's degree or higher,33.6
2018,Written code in a programming language,"Total, Internet users aged 15 years and over","Total, highest certificate, diploma or degree completed",10.3
2018,Written code in a programming language,"Total, Internet users aged 15 years and over",High school or less,9.8
2018,Written code in a programming language,"Total, Internet users aged 15 years and over","College, trade school or some university",7.2
2018,Written code in a programming language,"Total, Internet users aged 15 years and over",Bachelor's degree or higher,14.0
2018,Written code in a programming language,Internet users aged 15 to 24 years,"Total, highest certificate, diploma or degree completed",22.1
2018,Written code in a programming language,Internet users aged 15 to 24 years,High school or less,21.2
2018,Written code in a programming language,Internet users aged 15 to 24 years,"College, trade school or some university",18.4
2018,Written code in a programming language,Internet users aged 15 to 24 years,Bachelor's degree or higher,35.5
2018,Written code in a programming language,Internet users aged 25 to 44 years,"Total, highest certificate, diploma or degree completed",13.7
2018,Written code in a programming language,Internet users aged 25 to 44 years,High school or less,9.4
2018,Written code in a programming language,Internet users aged 25 to 44 years,"College, trade school or some university",9.4
2018,Written code in a programming language,Internet users aged 25 to 44 years,Bachelor's degree or higher,19.0
2018,Written code in a programming language,Internet users aged 45 to 64 years,"Total, highest certificate, diploma or degree completed",5.8
2018,Written code in a programming language,Internet users aged 45 to 64 years,High school or less,3.1
2018,Written code in a programming language,Internet users aged 45 to 64 years,"College, trade school or some university",5.1
2018,Written code in a programming language,Internet users aged 45 to 64 years,Bachelor's degree or higher,8.8
2018,Written code in a programming language,Internet users aged 65 years and over,"Total, highest certificate, diploma or degree completed",1.4
2018,Written code in a programming language,Internet users aged 65 years and over,High school or less,
2018,Written code in a programming language,Internet users aged 65 years and over,"College, trade school or some university",
2018,Written code in a programming language,Internet users aged 65 years and over,Bachelor's degree or higher,
2018,Uploaded files or photos to an online data storage space,"Total, Internet users aged 15 years and over","Total, highest certificate, diploma or degree completed",49.1
2018,Uploaded files or photos to an online data storage space,"Total, Internet users aged 15 years and over",High school or less,40.0
2018,Uploaded files or photos to an online data storage space,"Total, Internet users aged 15 years and over","College, trade school or some university",44.3
2018,Uploaded files or photos to an online data storage space,"Total, Internet users aged 15 years and over",Bachelor's degree or higher,62.2
2018,Uploaded files or photos to an online data storage space,Internet users aged 15 to 24 years,"Total, highest certificate, diploma or degree completed",65.0
