Year,Series,Units,Value
2000,Material footprint,Tonnes (million),1196.74
2001,Material footprint,Tonnes (million),1101.55
2002,Material footprint,Tonnes (million),1097.2
2003,Material footprint,Tonnes (million),1203.02
2004,Material footprint,Tonnes (million),1315.71
2005,Material footprint,Tonnes (million),1107.7
2006,Material footprint,Tonnes (million),1149.26
2007,Material footprint,Tonnes (million),1115.39
2008,Material footprint,Tonnes (million),1081.33
2009,Material footprint,Tonnes (million),1028.52
2010,Material footprint,Tonnes (million),1178.79
2011,Material footprint,Tonnes (million),1271.44
2012,Material footprint,Tonnes (million),1216.29
2013,Material footprint,Tonnes (million),1235.32
2014,Material footprint,Tonnes (million),1206.28
2015,Material footprint,Tonnes (million),1240.12
2016,Material footprint,Tonnes (million),1290.24
2017,Material footprint,Tonnes (million),1340.02
2018,Material footprint,Tonnes (million),1328.66
2019,Material footprint,Tonnes (million),1311.23
2000,Material footprint per capita,Tonnes per capita,39.0
2001,Material footprint per capita,Tonnes per capita,35.51
2002,Material footprint per capita,Tonnes per capita,34.99
2003,Material footprint per capita,Tonnes per capita,38.02
2004,Material footprint per capita,Tonnes per capita,41.19
2005,Material footprint per capita,Tonnes per capita,34.36
2006,Material footprint per capita,Tonnes per capita,35.28
2007,Material footprint per capita,Tonnes per capita,33.91
2008,Material footprint per capita,Tonnes per capita,32.52
2009,Material footprint per capita,Tonnes per capita,30.58
2010,Material footprint per capita,Tonnes per capita,34.66
2011,Material footprint per capita,Tonnes per capita,37.03
2012,Material footprint per capita,Tonnes per capita,35.04
2013,Material footprint per capita,Tonnes per capita,35.21
2014,Material footprint per capita,Tonnes per capita,34.04
2015,Material footprint per capita,Tonnes per capita,34.73
2016,Material footprint per capita,Tonnes per capita,35.73
2017,Material footprint per capita,Tonnes per capita,36.67
2018,Material footprint per capita,Tonnes per capita,35.84
2019,Material footprint per capita,Tonnes per capita,34.86
2000,Material footprint per GDP,Tonnes per dollar,0.00078
2001,Material footprint per GDP,Tonnes per dollar,0.0007
2002,Material footprint per GDP,Tonnes per dollar,0.00068
2003,Material footprint per GDP,Tonnes per dollar,0.00073
2004,Material footprint per GDP,Tonnes per dollar,0.00078
2005,Material footprint per GDP,Tonnes per dollar,0.00063
2006,Material footprint per GDP,Tonnes per dollar,0.00064
2007,Material footprint per GDP,Tonnes per dollar,0.00061
2008,Material footprint per GDP,Tonnes per dollar,0.00059
2009,Material footprint per GDP,Tonnes per dollar,0.00057
2010,Material footprint per GDP,Tonnes per dollar,0.00064
2011,Material footprint per GDP,Tonnes per dollar,0.00067
2012,Material footprint per GDP,Tonnes per dollar,0.00063
2013,Material footprint per GDP,Tonnes per dollar,0.00062
2014,Material footprint per GDP,Tonnes per dollar,0.00059
2015,Material footprint per GDP,Tonnes per dollar,0.0006
2016,Material footprint per GDP,Tonnes per dollar,0.00062
2017,Material footprint per GDP,Tonnes per dollar,0.00063
2018,Material footprint per GDP,Tonnes per dollar,0.0006
2019,Material footprint per GDP,Tonnes per dollar,0.00059
