Year,Series,Units,Value
2000,Domestic material consumption,Tonnes (million),1473.01
2001,Domestic material consumption,Tonnes (million),1423.17
2002,Domestic material consumption,Tonnes (million),1469.28
2003,Domestic material consumption,Tonnes (million),1460.45
2004,Domestic material consumption,Tonnes (million),1556.07
2005,Domestic material consumption,Tonnes (million),1525.85
2006,Domestic material consumption,Tonnes (million),1652.65
2007,Domestic material consumption,Tonnes (million),1752.49
2008,Domestic material consumption,Tonnes (million),1698.86
2009,Domestic material consumption,Tonnes (million),1711.42
2010,Domestic material consumption,Tonnes (million),1798.92
2011,Domestic material consumption,Tonnes (million),1913.08
2012,Domestic material consumption,Tonnes (million),1933.67
2013,Domestic material consumption,Tonnes (million),2035.2
2014,Domestic material consumption,Tonnes (million),2012.24
2015,Domestic material consumption,Tonnes (million),2040.18
2016,Domestic material consumption,Tonnes (million),2009.55
2017,Domestic material consumption,Tonnes (million),2112.05
2018,Domestic material consumption,Tonnes (million),2074.66
2019,Domestic material consumption,Tonnes (million),2135.63
2000,Domestic material consumption per capita,Tonnes per capita,48.0
2001,Domestic material consumption per capita,Tonnes per capita,45.88
2002,Domestic material consumption per capita,Tonnes per capita,46.85
2003,Domestic material consumption per capita,Tonnes per capita,46.15
2004,Domestic material consumption per capita,Tonnes per capita,48.72
2005,Domestic material consumption per capita,Tonnes per capita,47.32
2006,Domestic material consumption per capita,Tonnes per capita,50.74
2007,Domestic material consumption per capita,Tonnes per capita,53.29
2008,Domestic material consumption per capita,Tonnes per capita,51.1
2009,Domestic material consumption per capita,Tonnes per capita,50.89
2010,Domestic material consumption per capita,Tonnes per capita,52.9
2011,Domestic material consumption per capita,Tonnes per capita,55.71
2012,Domestic material consumption per capita,Tonnes per capita,55.7
2013,Domestic material consumption per capita,Tonnes per capita,58.01
2014,Domestic material consumption per capita,Tonnes per capita,56.79
2015,Domestic material consumption per capita,Tonnes per capita,57.14
2016,Domestic material consumption per capita,Tonnes per capita,55.65
2017,Domestic material consumption per capita,Tonnes per capita,57.79
2018,Domestic material consumption per capita,Tonnes per capita,55.96
2019,Domestic material consumption per capita,Tonnes per capita,56.77
2000,Domestic material consumption per GDP,Tonnes per dollar,0.00096
2001,Domestic material consumption per GDP,Tonnes per dollar,0.00091
2002,Domestic material consumption per GDP,Tonnes per dollar,0.00091
2003,Domestic material consumption per GDP,Tonnes per dollar,0.00089
2004,Domestic material consumption per GDP,Tonnes per dollar,0.00092
2005,Domestic material consumption per GDP,Tonnes per dollar,0.00087
2006,Domestic material consumption per GDP,Tonnes per dollar,0.00092
2007,Domestic material consumption per GDP,Tonnes per dollar,0.00096
2008,Domestic material consumption per GDP,Tonnes per dollar,0.00092
2009,Domestic material consumption per GDP,Tonnes per dollar,0.00095
2010,Domestic material consumption per GDP,Tonnes per dollar,0.00097
2011,Domestic material consumption per GDP,Tonnes per dollar,0.001
2012,Domestic material consumption per GDP,Tonnes per dollar,0.001
2013,Domestic material consumption per GDP,Tonnes per dollar,0.00102
2014,Domestic material consumption per GDP,Tonnes per dollar,0.00098
2015,Domestic material consumption per GDP,Tonnes per dollar,0.00099
2016,Domestic material consumption per GDP,Tonnes per dollar,0.00097
2017,Domestic material consumption per GDP,Tonnes per dollar,0.00099
2018,Domestic material consumption per GDP,Tonnes per dollar,0.00094
2019,Domestic material consumption per GDP,Tonnes per dollar,0.00095
