Year,Type of institution attended,Geography,Age group,GeoCode,Value
2017/2018,University,Ontario,15 to 19 years,35,16
2017/2018,Total participation rate,Ontario,20 to 24 years,35,42
2017/2018,Elementary/High School,Ontario,20 to 24 years,35,1
2017/2018,College,Ontario,20 to 24 years,35,12
2017/2018,University,Ontario,20 to 24 years,35,29
2017/2018,Total participation rate,Ontario,25 to 29 years,35,11
2017/2018,College,Ontario,25 to 29 years,35,5
2017/2018,University,Ontario,25 to 29 years,35,7
2017/2018,Total participation rate,Manitoba,15 to 19 years,46,78
2017/2018,Elementary/High School,Manitoba,15 to 19 years,46,61
2017/2018,College,Manitoba,15 to 19 years,46,3
2017/2018,University,Manitoba,15 to 19 years,46,13
2017/2018,Total participation rate,Manitoba,20 to 24 years,46,36
2017/2018,Elementary/High School,Manitoba,20 to 24 years,46,1
2017/2018,College,Manitoba,20 to 24 years,46,6
2017/2018,University,Manitoba,20 to 24 years,46,29
2017/2018,Total participation rate,Manitoba,25 to 29 years,46,11
2017/2018,College,Manitoba,25 to 29 years,46,3
2017/2018,University,Manitoba,25 to 29 years,46,7
2017/2018,Total participation rate,Saskatchewan,15 to 19 years,47,80
2017/2018,Elementary/High School,Saskatchewan,15 to 19 years,47,64
2017/2018,College,Saskatchewan,15 to 19 years,47,4
2017/2018,University,Saskatchewan,15 to 19 years,47,12
2017/2018,Total participation rate,Saskatchewan,20 to 24 years,47,32
2017/2018,Elementary/High School,Saskatchewan,20 to 24 years,47,1
2017/2018,College,Saskatchewan,20 to 24 years,47,5
2017/2018,University,Saskatchewan,20 to 24 years,47,26
2017/2018,Total participation rate,Saskatchewan,25 to 29 years,47,9
2017/2018,College,Saskatchewan,25 to 29 years,47,2
2017/2018,University,Saskatchewan,25 to 29 years,47,7
2017/2018,Total participation rate,Alberta,15 to 19 years,48,78
2017/2018,Elementary/High School,Alberta,15 to 19 years,48,63
2017/2018,College,Alberta,15 to 19 years,48,4
2017/2018,University,Alberta,15 to 19 years,48,12
2017/2018,Total participation rate,Alberta,20 to 24 years,48,34
2017/2018,Elementary/High School,Alberta,20 to 24 years,48,1
2017/2018,College,Alberta,20 to 24 years,48,7
2017/2018,University,Alberta,20 to 24 years,48,26
2017/2018,Total participation rate,Alberta,25 to 29 years,48,9
2017/2018,College,Alberta,25 to 29 years,48,3
2017/2018,University,Alberta,25 to 29 years,48,6
2017/2018,Total participation rate,British Columbia,15 to 19 years,59,80
2017/2018,Elementary/High School,British Columbia,15 to 19 years,59,59
2017/2018,College,British Columbia,15 to 19 years,59,6
2017/2018,University,British Columbia,15 to 19 years,59,15
2017/2018,Total participation rate,British Columbia,20 to 24 years,59,38
2017/2018,Elementary/High School,British Columbia,20 to 24 years,59,1
2017/2018,College,British Columbia,20 to 24 years,59,11
2017/2018,University,British Columbia,20 to 24 years,59,26
2017/2018,Total participation rate,British Columbia,25 to 29 years,59,12
2017/2018,College,British Columbia,25 to 29 years,59,4
2017/2018,University,British Columbia,25 to 29 years,59,8
2017/2018,Total participation rate,Yukon,15 to 19 years,60,75
2017/2018,Elementary/High School,Yukon,15 to 19 years,60,58
2017/2018,College,Yukon,15 to 19 years,60,10
2017/2018,Total participation rate,Yukon,20 to 24 years,60,22
2017/2018,University,Yukon,20 to 24 years,60,12
2017/2018,Total participation rate,Northwest Territories,15 to 19 years,61,80
2017/2018,Elementary/High School,Northwest Territories,15 to 19 years,61,67
2017/2018,University,Northwest Territories,15 to 19 years,61,8
2017/2018,Total participation rate,Northwest Territories,20 to 24 years,61,21
2017/2018,University,Northwest Territories,20 to 24 years,61,10
2017/2018,Total participation rate,Nunavut,15 to 19 years,62,66
2017/2018,Elementary/High School,Nunavut,15 to 19 years,62,62
2017/2018,Total participation rate,Nunavut,20 to 24 years,62,8
2018/2019,Total participation rate,Canada,15 to 19 years,,84
2018/2019,Elementary/High School,Canada,15 to 19 years,,58
2018/2019,College,Canada,15 to 19 years,,12
2018/2019,University,Canada,15 to 19 years,,13
2018/2019,Total participation rate,Canada,20 to 24 years,,42
2018/2019,Elementary/High School,Canada,20 to 24 years,,1
2018/2019,College,Canada,20 to 24 years,,12
2018/2019,University,Canada,20 to 24 years,,29
2018/2019,Total participation rate,Canada,25 to 29 years,,12
2018/2019,Elementary/High School,Canada,25 to 29 years,,0
2018/2019,College,Canada,25 to 29 years,,4
2018/2019,University,Canada,25 to 29 years,,7
2018/2019,Total participation rate,Newfoundland and Labrador,15 to 19 years,10,83
2018/2019,Elementary/High School,Newfoundland and Labrador,15 to 19 years,10,57
2018/2019,College,Newfoundland and Labrador,15 to 19 years,10,9
2018/2019,University,Newfoundland and Labrador,15 to 19 years,10,16
2018/2019,Total participation rate,Newfoundland and Labrador,20 to 24 years,10,45
2018/2019,College,Newfoundland and Labrador,20 to 24 years,10,10
2018/2019,University,Newfoundland and Labrador,20 to 24 years,10,34
2018/2019,Total participation rate,Newfoundland and Labrador,25 to 29 years,10,15
2018/2019,College,Newfoundland and Labrador,25 to 29 years,10,5
2018/2019,University,Newfoundland and Labrador,25 to 29 years,10,10
2018/2019,Total participation rate,Prince Edward Island,15 to 19 years,11,85
2018/2019,Elementary/High School,Prince Edward Island,15 to 19 years,11,65
2018/2019,College,Prince Edward Island,15 to 19 years,11,6
2018/2019,University,Prince Edward Island,15 to 19 years,11,14
2018/2019,Total participation rate,Prince Edward Island,20 to 24 years,11,33
2018/2019,College,Prince Edward Island,20 to 24 years,11,7
2018/2019,University,Prince Edward Island,20 to 24 years,11,26
2018/2019,Total participation rate,Prince Edward Island,25 to 29 years,11,11
2018/2019,College,Prince Edward Island,25 to 29 years,11,4
2018/2019,University,Prince Edward Island,25 to 29 years,11,7
2018/2019,Total participation rate,Nova Scotia,15 to 19 years,12,86
2018/2019,Elementary/High School,Nova Scotia,15 to 19 years,12,66
2018/2019,College,Nova Scotia,15 to 19 years,12,6
2018/2019,University,Nova Scotia,15 to 19 years,12,14
2018/2019,Total participation rate,Nova Scotia,20 to 24 years,12,36
2018/2019,Elementary/High School,Nova Scotia,20 to 24 years,12,1
2018/2019,College,Nova Scotia,20 to 24 years,12,10
2018/2019,University,Nova Scotia,20 to 24 years,12,26
2018/2019,Total participation rate,Nova Scotia,25 to 29 years,12,12
2018/2019,College,Nova Scotia,25 to 29 years,12,4
2018/2019,University,Nova Scotia,25 to 29 years,12,8
2018/2019,Total participation rate,New Brunswick,15 to 19 years,13,80
2018/2019,Elementary/High School,New Brunswick,15 to 19 years,13,60
2018/2019,College,New Brunswick,15 to 19 years,13,4
2018/2019,University,New Brunswick,15 to 19 years,13,16
2018/2019,Total participation rate,New Brunswick,20 to 24 years,13,30
2018/2019,College,New Brunswick,20 to 24 years,13,8
2018/2019,University,New Brunswick,20 to 24 years,13,22
2018/2019,Total participation rate,New Brunswick,25 to 29 years,13,10
2018/2019,College,New Brunswick,25 to 29 years,13,4
2018/2019,University,New Brunswick,25 to 29 years,13,6
2018/2019,Total participation rate,Quebec,15 to 19 years,24,83
2018/2019,Elementary/High School,Quebec,15 to 19 years,24,48
2018/2019,College,Quebec,15 to 19 years,24,31
2018/2019,University,Quebec,15 to 19 years,24,3
2018/2019,Total participation rate,Quebec,20 to 24 years,24,48
2018/2019,Elementary/High School,Quebec,20 to 24 years,24,2
2018/2019,College,Quebec,20 to 24 years,24,13
2018/2019,University,Quebec,20 to 24 years,24,33
2018/2019,Total participation rate,Quebec,25 to 29 years,24,15
2018/2019,Elementary/High School,Quebec,25 to 29 years,24,1
2018/2019,College,Quebec,25 to 29 years,24,4
2018/2019,University,Quebec,25 to 29 years,24,10
2018/2019,Total participation rate,Ontario,15 to 19 years,35,86
2018/2019,Elementary/High School,Ontario,15 to 19 years,35,61
2018/2019,College,Ontario,15 to 19 years,35,8
2018/2019,University,Ontario,15 to 19 years,35,17
2018/2019,Total participation rate,Ontario,20 to 24 years,35,44
2018/2019,Elementary/High School,Ontario,20 to 24 years,35,1
2018/2019,College,Ontario,20 to 24 years,35,13
2018/2019,University,Ontario,20 to 24 years,35,30
2018/2019,Total participation rate,Ontario,25 to 29 years,35,11
2018/2019,Elementary/High School,Ontario,25 to 29 years,35,0
2018/2019,College,Ontario,25 to 29 years,35,5
2018/2019,University,Ontario,25 to 29 years,35,6
2018/2019,Total participation rate,Manitoba,15 to 19 years,46,78
2018/2019,Elementary/High School,Manitoba,15 to 19 years,46,60
2018/2019,College,Manitoba,15 to 19 years,46,4
2018/2019,University,Manitoba,15 to 19 years,46,14
2018/2019,Total participation rate,Manitoba,20 to 24 years,46,35
2018/2019,Elementary/High School,Manitoba,20 to 24 years,46,1
2018/2019,College,Manitoba,20 to 24 years,46,8
2018/2019,University,Manitoba,20 to 24 years,46,26
2018/2019,Total participation rate,Manitoba,25 to 29 years,46,10
2018/2019,College,Manitoba,25 to 29 years,46,3
2018/2019,University,Manitoba,25 to 29 years,46,7
2018/2019,Total participation rate,Saskatchewan,15 to 19 years,47,82
2018/2019,Elementary/High School,Saskatchewan,15 to 19 years,47,64
2018/2019,College,Saskatchewan,15 to 19 years,47,3
2018/2019,University,Saskatchewan,15 to 19 years,47,16
2018/2019,Total participation rate,Saskatchewan,20 to 24 years,47,35
2018/2019,Elementary/High School,Saskatchewan,20 to 24 years,47,2
2018/2019,College,Saskatchewan,20 to 24 years,47,6
2018/2019,University,Saskatchewan,20 to 24 years,47,28
2018/2019,Total participation rate,Saskatchewan,25 to 29 years,47,9
2018/2019,College,Saskatchewan,25 to 29 years,47,2
2018/2019,University,Saskatchewan,25 to 29 years,47,7
2018/2019,Total participation rate,Alberta,15 to 19 years,48,79
2018/2019,Elementary/High School,Alberta,15 to 19 years,48,62
2018/2019,College,Alberta,15 to 19 years,48,4
2018/2019,University,Alberta,15 to 19 years,48,12
2018/2019,Total participation rate,Alberta,20 to 24 years,48,32
2018/2019,Elementary/High School,Alberta,20 to 24 years,48,1
2018/2019,College,Alberta,20 to 24 years,48,9
2018/2019,University,Alberta,20 to 24 years,48,22
2018/2019,Total participation rate,Alberta,25 to 29 years,48,9
2018/2019,College,Alberta,25 to 29 years,48,3
2018/2019,University,Alberta,25 to 29 years,48,6
2018/2019,Total participation rate,British Columbia,15 to 19 years,59,83
2018/2019,Elementary/High School,British Columbia,15 to 19 years,59,60
2018/2019,College,British Columbia,15 to 19 years,59,8
2018/2019,University,British Columbia,15 to 19 years,59,15
2018/2019,Total participation rate,British Columbia,20 to 24 years,59,40
2018/2019,Elementary/High School,British Columbia,20 to 24 years,59,0
2018/2019,College,British Columbia,20 to 24 years,59,11
2018/2019,University,British Columbia,20 to 24 years,59,28
2018/2019,Total participation rate,British Columbia,25 to 29 years,59,12
2018/2019,College,British Columbia,25 to 29 years,59,4
2018/2019,University,British Columbia,25 to 29 years,59,7
2018/2019,Total participation rate,Yukon,15 to 19 years,60,84
2018/2019,Elementary/High School,Yukon,15 to 19 years,60,69
2018/2019,University,Yukon,15 to 19 years,60,8
2018/2019,Total participation rate,Yukon,20 to 24 years,60,27
2018/2019,University,Yukon,20 to 24 years,60,21
2018/2019,Total participation rate,Northwest Territories,15 to 19 years,61,87
2018/2019,Elementary/High School,Northwest Territories,15 to 19 years,61,74
2018/2019,University,Northwest Territories,15 to 19 years,61,7
2018/2019,Total participation rate,Northwest Territories,20 to 24 years,61,21
2018/2019,University,Northwest Territories,20 to 24 years,61,9
2018/2019,Total participation rate,Nunavut,15 to 19 years,62,70
2018/2019,Elementary/High School,Nunavut,15 to 19 years,62,67
2018/2019,Total participation rate,Nunavut,20 to 24 years,62,14
2018/2019,College,Nunavut,20 to 24 years,62,9
2018/2019,Total participation rate,Nunavut,25 to 29 years,62,8
2019/2020,Total participation rate,Canada,15 to 19 years,,81
2019/2020,Elementary/High School,Canada,15 to 19 years,,56
2019/2020,College,Canada,15 to 19 years,,11
2019/2020,University,Canada,15 to 19 years,,14
2019/2020,Total participation rate,Canada,20 to 24 years,,41
2019/2020,Elementary/High School,Canada,20 to 24 years,,1
2019/2020,College,Canada,20 to 24 years,,11
2019/2020,University,Canada,20 to 24 years,,29
2019/2020,Total participation rate,Canada,25 to 29 years,,12
2019/2020,Elementary/High School,Canada,25 to 29 years,,0
2019/2020,College,Canada,25 to 29 years,,4
2019/2020,University,Canada,25 to 29 years,,8
2019/2020,Total participation rate,Newfoundland and Labrador,15 to 19 years,10,78
2019/2020,Elementary/High School,Newfoundland and Labrador,15 to 19 years,10,55
2019/2020,College,Newfoundland and Labrador,15 to 19 years,10,6
2019/2020,University,Newfoundland and Labrador,15 to 19 years,10,18
2019/2020,Total participation rate,Newfoundland and Labrador,20 to 24 years,10,34
2019/2020,College,Newfoundland and Labrador,20 to 24 years,10,10
2019/2020,University,Newfoundland and Labrador,20 to 24 years,10,24
2019/2020,Total participation rate,Newfoundland and Labrador,25 to 29 years,10,10
2019/2020,College,Newfoundland and Labrador,25 to 29 years,10,3
2019/2020,University,Newfoundland and Labrador,25 to 29 years,10,8
2019/2020,Total participation rate,Prince Edward Island,15 to 19 years,11,83
2019/2020,Elementary/High School,Prince Edward Island,15 to 19 years,11,61
2019/2020,College,Prince Edward Island,15 to 19 years,11,7
2019/2020,University,Prince Edward Island,15 to 19 years,11,15
2019/2020,Total participation rate,Prince Edward Island,20 to 24 years,11,31
2019/2020,College,Prince Edward Island,20 to 24 years,11,8
2019/2020,University,Prince Edward Island,20 to 24 years,11,23
2019/2020,Total participation rate,Prince Edward Island,25 to 29 years,11,9
2019/2020,College,Prince Edward Island,25 to 29 years,11,3
2019/2020,University,Prince Edward Island,25 to 29 years,11,6
2019/2020,Total participation rate,Nova Scotia,15 to 19 years,12,83
2019/2020,Elementary/High School,Nova Scotia,15 to 19 years,12,63
2019/2020,College,Nova Scotia,15 to 19 years,12,5
2019/2020,University,Nova Scotia,15 to 19 years,12,15
2019/2020,Total participation rate,Nova Scotia,20 to 24 years,12,34
2019/2020,Elementary/High School,Nova Scotia,20 to 24 years,12,1
2019/2020,College,Nova Scotia,20 to 24 years,12,8
2019/2020,University,Nova Scotia,20 to 24 years,12,25
2019/2020,Total participation rate,Nova Scotia,25 to 29 years,12,12
2019/2020,College,Nova Scotia,25 to 29 years,12,3
2019/2020,University,Nova Scotia,25 to 29 years,12,9
2019/2020,Total participation rate,New Brunswick,15 to 19 years,13,76
2019/2020,Elementary/High School,New Brunswick,15 to 19 years,13,57
2019/2020,College,New Brunswick,15 to 19 years,13,6
2019/2020,University,New Brunswick,15 to 19 years,13,13
2019/2020,Total participation rate,New Brunswick,20 to 24 years,13,30
2019/2020,College,New Brunswick,20 to 24 years,13,10
2019/2020,University,New Brunswick,20 to 24 years,13,20
2019/2020,Total participation rate,New Brunswick,25 to 29 years,13,6
2019/2020,College,New Brunswick,25 to 29 years,13,2
2019/2020,University,New Brunswick,25 to 29 years,13,4
2019/2020,Total participation rate,Quebec,15 to 19 years,24,80
2019/2020,Elementary/High School,Quebec,15 to 19 years,24,46
2019/2020,College,Quebec,15 to 19 years,24,30
2019/2020,University,Quebec,15 to 19 years,24,4
2019/2020,Total participation rate,Quebec,20 to 24 years,24,46
2019/2020,Elementary/High School,Quebec,20 to 24 years,24,2
2019/2020,College,Quebec,20 to 24 years,24,12
2019/2020,University,Quebec,20 to 24 years,24,32
2019/2020,Total participation rate,Quebec,25 to 29 years,24,14
2019/2020,Elementary/High School,Quebec,25 to 29 years,24,1
2019/2020,College,Quebec,25 to 29 years,24,3
2019/2020,University,Quebec,25 to 29 years,24,10
2019/2020,Total participation rate,Ontario,15 to 19 years,35,85
2019/2020,Elementary/High School,Ontario,15 to 19 years,35,59
2019/2020,College,Ontario,15 to 19 years,35,8
2019/2020,University,Ontario,15 to 19 years,35,18
2019/2020,Total participation rate,Ontario,20 to 24 years,35,42
2019/2020,Elementary/High School,Ontario,20 to 24 years,35,1
2019/2020,College,Ontario,20 to 24 years,35,12
2019/2020,University,Ontario,20 to 24 years,35,29
2019/2020,Total participation rate,Ontario,25 to 29 years,35,11
2019/2020,Elementary/High School,Ontario,25 to 29 years,35,0
2019/2020,College,Ontario,25 to 29 years,35,5
2019/2020,University,Ontario,25 to 29 years,35,6
2019/2020,Total participation rate,Manitoba,15 to 19 years,46,76
2019/2020,Elementary/High School,Manitoba,15 to 19 years,46,58
2019/2020,College,Manitoba,15 to 19 years,46,3
2019/2020,University,Manitoba,15 to 19 years,46,15
2019/2020,Total participation rate,Manitoba,20 to 24 years,46,34
2019/2020,Elementary/High School,Manitoba,20 to 24 years,46,1
2019/2020,College,Manitoba,20 to 24 years,46,7
2019/2020,University,Manitoba,20 to 24 years,46,26
2019/2020,Total participation rate,Manitoba,25 to 29 years,46,12
2019/2020,College,Manitoba,25 to 29 years,46,3
2019/2020,University,Manitoba,25 to 29 years,46,8
2019/2020,Total participation rate,Saskatchewan,15 to 19 years,47,77
2019/2020,Elementary/High School,Saskatchewan,15 to 19 years,47,61
2019/2020,College,Saskatchewan,15 to 19 years,47,2
2019/2020,University,Saskatchewan,15 to 19 years,47,14
2019/2020,Total participation rate,Saskatchewan,20 to 24 years,47,31
2019/2020,Elementary/High School,Saskatchewan,20 to 24 years,47,1
2019/2020,College,Saskatchewan,20 to 24 years,47,6
2019/2020,University,Saskatchewan,20 to 24 years,47,24
2019/2020,Total participation rate,Saskatchewan,25 to 29 years,47,12
2019/2020,College,Saskatchewan,25 to 29 years,47,3
2019/2020,University,Saskatchewan,25 to 29 years,47,9
2019/2020,Total participation rate,Alberta,15 to 19 years,48,78
2019/2020,Elementary/High School,Alberta,15 to 19 years,48,62
2019/2020,College,Alberta,15 to 19 years,48,4
2019/2020,University,Alberta,15 to 19 years,48,12
2019/2020,Total participation rate,Alberta,20 to 24 years,48,36
2019/2020,College,Alberta,20 to 24 years,48,7
2019/2020,University,Alberta,20 to 24 years,48,29
2019/2020,Total participation rate,Alberta,25 to 29 years,48,9
2019/2020,College,Alberta,25 to 29 years,48,3
2019/2020,University,Alberta,25 to 29 years,48,7
2019/2020,Total participation rate,British Columbia,15 to 19 years,59,74
2019/2020,Elementary/High School,British Columbia,15 to 19 years,59,55
2019/2020,College,British Columbia,15 to 19 years,59,5
2019/2020,University,British Columbia,15 to 19 years,59,14
2019/2020,Total participation rate,British Columbia,20 to 24 years,59,43
2019/2020,College,British Columbia,20 to 24 years,59,12
2019/2020,University,British Columbia,20 to 24 years,59,31
2019/2020,Total participation rate,British Columbia,25 to 29 years,59,13
2019/2020,College,British Columbia,25 to 29 years,59,5
2019/2020,University,British Columbia,25 to 29 years,59,9
2019/2020,Total participation rate,Yukon,15 to 19 years,60,71
2019/2020,Elementary/High School,Yukon,15 to 19 years,60,60
2019/2020,Total participation rate,Yukon,20 to 24 years,60,25
2019/2020,College,Yukon,20 to 24 years,60,13
2019/2020,Total participation rate,Northwest Territories,15 to 19 years,61,76
2019/2020,Elementary/High School,Northwest Territories,15 to 19 years,61,68
2019/2020,Total participation rate,Northwest Territories,20 to 24 years,61,29
2019/2020,University,Northwest Territories,20 to 24 years,61,17
2019/2020,Total participation rate,Nunavut,15 to 19 years,62,64
2019/2020,Elementary/High School,Nunavut,15 to 19 years,62,62
2019/2020,Total participation rate,Nunavut,20 to 24 years,62,15
2020/2021,Total participation rate,Canada,15 to 19 years,,84
2020/2021,Elementary/High School,Canada,15 to 19 years,,58
2020/2021,College,Canada,15 to 19 years,,12
2020/2021,University,Canada,15 to 19 years,,14
2020/2021,Total participation rate,Canada,20 to 24 years,,43
2020/2021,Elementary/High School,Canada,20 to 24 years,,1
2020/2021,College,Canada,20 to 24 years,,10
2020/2021,University,Canada,20 to 24 years,,32
2020/2021,Total participation rate,Canada,25 to 29 years,,12
2020/2021,Elementary/High School,Canada,25 to 29 years,,0
2020/2021,College,Canada,25 to 29 years,,4
2020/2021,University,Canada,25 to 29 years,,8
2020/2021,Total participation rate,Newfoundland and Labrador,15 to 19 years,10,79
2020/2021,Elementary/High School,Newfoundland and Labrador,15 to 19 years,10,59
2020/2021,College,Newfoundland and Labrador,15 to 19 years,10,4
2020/2021,University,Newfoundland and Labrador,15 to 19 years,10,16
2020/2021,Total participation rate,Newfoundland and Labrador,20 to 24 years,10,40
2020/2021,College,Newfoundland and Labrador,20 to 24 years,10,10
2020/2021,University,Newfoundland and Labrador,20 to 24 years,10,30
2020/2021,Total participation rate,Newfoundland and Labrador,25 to 29 years,10,14
2020/2021,College,Newfoundland and Labrador,25 to 29 years,10,6
2020/2021,University,Newfoundland and Labrador,25 to 29 years,10,8
2020/2021,Total participation rate,Prince Edward Island,15 to 19 years,11,88
2020/2021,Elementary/High School,Prince Edward Island,15 to 19 years,11,61
2020/2021,College,Prince Edward Island,15 to 19 years,11,9
2020/2021,University,Prince Edward Island,15 to 19 years,11,18
2020/2021,Total participation rate,Prince Edward Island,20 to 24 years,11,35
2020/2021,College,Prince Edward Island,20 to 24 years,11,8
2020/2021,University,Prince Edward Island,20 to 24 years,11,27
2020/2021,Total participation rate,Prince Edward Island,25 to 29 years,11,11
2020/2021,College,Prince Edward Island,25 to 29 years,11,3
2020/2021,University,Prince Edward Island,25 to 29 years,11,8
2020/2021,Total participation rate,Nova Scotia,15 to 19 years,12,84
2020/2021,Elementary/High School,Nova Scotia,15 to 19 years,12,62
2020/2021,College,Nova Scotia,15 to 19 years,12,6
2020/2021,University,Nova Scotia,15 to 19 years,12,16
2020/2021,Total participation rate,Nova Scotia,20 to 24 years,12,35
2020/2021,College,Nova Scotia,20 to 24 years,12,8
2020/2021,University,Nova Scotia,20 to 24 years,12,27
2020/2021,Total participation rate,Nova Scotia,25 to 29 years,12,11
2020/2021,College,Nova Scotia,25 to 29 years,12,3
2020/2021,University,Nova Scotia,25 to 29 years,12,8
2020/2021,Total participation rate,New Brunswick,15 to 19 years,13,81
2020/2021,Elementary/High School,New Brunswick,15 to 19 years,13,62
2020/2021,College,New Brunswick,15 to 19 years,13,5
2020/2021,University,New Brunswick,15 to 19 years,13,14
2020/2021,Total participation rate,New Brunswick,20 to 24 years,13,31
2020/2021,College,New Brunswick,20 to 24 years,13,7
2020/2021,University,New Brunswick,20 to 24 years,13,23
2020/2021,Total participation rate,New Brunswick,25 to 29 years,13,7
2020/2021,College,New Brunswick,25 to 29 years,13,3
2020/2021,University,New Brunswick,25 to 29 years,13,3
2020/2021,Total participation rate,Quebec,15 to 19 years,24,85
2020/2021,Elementary/High School,Quebec,15 to 19 years,24,48
2020/2021,College,Quebec,15 to 19 years,24,34
2020/2021,University,Quebec,15 to 19 years,24,3
2020/2021,Total participation rate,Quebec,20 to 24 years,24,52
2020/2021,Elementary/High School,Quebec,20 to 24 years,24,3
2020/2021,College,Quebec,20 to 24 years,24,15
2020/2021,University,Quebec,20 to 24 years,24,34
2020/2021,Total participation rate,Quebec,25 to 29 years,24,16
2020/2021,Elementary/High School,Quebec,25 to 29 years,24,1
2020/2021,College,Quebec,25 to 29 years,24,3
2020/2021,University,Quebec,25 to 29 years,24,12
2020/2021,Total participation rate,Ontario,15 to 19 years,35,86
2020/2021,Elementary/High School,Ontario,15 to 19 years,35,61
2020/2021,College,Ontario,15 to 19 years,35,6
2020/2021,University,Ontario,15 to 19 years,35,19
2020/2021,Total participation rate,Ontario,20 to 24 years,35,44
2020/2021,Elementary/High School,Ontario,20 to 24 years,35,1
2020/2021,College,Ontario,20 to 24 years,35,11
2020/2021,University,Ontario,20 to 24 years,35,32
2020/2021,Total participation rate,Ontario,25 to 29 years,35,11
2020/2021,Elementary/High School,Ontario,25 to 29 years,35,0
2020/2021,College,Ontario,25 to 29 years,35,5
2020/2021,University,Ontario,25 to 29 years,35,6
2020/2021,Total participation rate,Manitoba,15 to 19 years,46,78
2020/2021,Elementary/High School,Manitoba,15 to 19 years,46,60
2020/2021,College,Manitoba,15 to 19 years,46,3
2020/2021,University,Manitoba,15 to 19 years,46,16
2020/2021,Total participation rate,Manitoba,20 to 24 years,46,39
2020/2021,College,Manitoba,20 to 24 years,46,7
2020/2021,University,Manitoba,20 to 24 years,46,32
2020/2021,Total participation rate,Manitoba,25 to 29 years,46,13
2020/2021,College,Manitoba,25 to 29 years,46,4
2020/2021,University,Manitoba,25 to 29 years,46,9
2020/2021,Total participation rate,Saskatchewan,15 to 19 years,47,79
2020/2021,Elementary/High School,Saskatchewan,15 to 19 years,47,62
2020/2021,College,Saskatchewan,15 to 19 years,47,3
2020/2021,University,Saskatchewan,15 to 19 years,47,15
2020/2021,Total participation rate,Saskatchewan,20 to 24 years,47,34
2020/2021,Elementary/High School,Saskatchewan,20 to 24 years,47,1
2020/2021,College,Saskatchewan,20 to 24 years,47,4
2020/2021,University,Saskatchewan,20 to 24 years,47,30
2020/2021,Total participation rate,Saskatchewan,25 to 29 years,47,10
2020/2021,College,Saskatchewan,25 to 29 years,47,3
2020/2021,University,Saskatchewan,25 to 29 years,47,7
2020/2021,Total participation rate,Alberta,15 to 19 years,48,81
2020/2021,Elementary/High School,Alberta,15 to 19 years,48,63
2020/2021,College,Alberta,15 to 19 years,48,6
2020/2021,University,Alberta,15 to 19 years,48,12
2020/2021,Total participation rate,Alberta,20 to 24 years,48,38
2020/2021,Elementary/High School,Alberta,20 to 24 years,48,1
2020/2021,College,Alberta,20 to 24 years,48,6
2020/2021,University,Alberta,20 to 24 years,48,31
2020/2021,Total participation rate,Alberta,25 to 29 years,48,11
2020/2021,College,Alberta,25 to 29 years,48,3
2020/2021,University,Alberta,25 to 29 years,48,8
2020/2021,Total participation rate,British Columbia,15 to 19 years,59,81
2020/2021,Elementary/High School,British Columbia,15 to 19 years,59,60
2020/2021,College,British Columbia,15 to 19 years,59,5
2020/2021,University,British Columbia,15 to 19 years,59,15
2020/2021,Total participation rate,British Columbia,20 to 24 years,59,42
2020/2021,Elementary/High School,British Columbia,20 to 24 years,59,1
2020/2021,College,British Columbia,20 to 24 years,59,10
2020/2021,University,British Columbia,20 to 24 years,59,31
2020/2021,Total participation rate,British Columbia,25 to 29 years,59,13
2020/2021,College,British Columbia,25 to 29 years,59,4
2020/2021,University,British Columbia,25 to 29 years,59,9
2020/2021,Total participation rate,Yukon,15 to 19 years,60,79
2020/2021,Elementary/High School,Yukon,15 to 19 years,60,72
2020/2021,Total participation rate,Yukon,20 to 24 years,60,35
2020/2021,University,Yukon,20 to 24 years,60,31
2020/2021,Total participation rate,Northwest Territories,15 to 19 years,61,83
2020/2021,Elementary/High School,Northwest Territories,15 to 19 years,61,78
2020/2021,Total participation rate,Northwest Territories,20 to 24 years,61,20
2020/2021,University,Northwest Territories,20 to 24 years,61,13
2020/2021,Total participation rate,Northwest Territories,25 to 29 years,61,8
2020/2021,Total participation rate,Nunavut,15 to 19 years,62,69
2020/2021,Elementary/High School,Nunavut,15 to 19 years,62,67
2020/2021,Total participation rate,Nunavut,20 to 24 years,62,13
2020/2021,Elementary/High School,Nunavut,20 to 24 years,62,7
2021/2022,Total participation rate,Canada,15 to 19 years,,84
2021/2022,Elementary/High School,Canada,15 to 19 years,,59
2021/2022,College,Canada,15 to 19 years,,11
2021/2022,University,Canada,15 to 19 years,,14
2021/2022,Total participation rate,Canada,20 to 24 years,,44
2021/2022,Elementary/High School,Canada,20 to 24 years,,1
2021/2022,College,Canada,20 to 24 years,,10
2021/2022,University,Canada,20 to 24 years,,33
2021/2022,Total participation rate,Canada,25 to 29 years,,12
2021/2022,Elementary/High School,Canada,25 to 29 years,,0
2021/2022,College,Canada,25 to 29 years,,4
2021/2022,University,Canada,25 to 29 years,,8
2021/2022,Total participation rate,Newfoundland and Labrador,15 to 19 years,10,85
2021/2022,Elementary/High School,Newfoundland and Labrador,15 to 19 years,10,59
2021/2022,College,Newfoundland and Labrador,15 to 19 years,10,9
2021/2022,University,Newfoundland and Labrador,15 to 19 years,10,17
2021/2022,Total participation rate,Newfoundland and Labrador,20 to 24 years,10,42
