Year,Units,Value
2015,"US dollar, Millions, 2023 constant prices",0.562069
2016,"US dollar, Millions, 2023 constant prices",1.807802
2017,"US dollar, Millions, 2023 constant prices",0.03098
2018,"US dollar, Millions, 2023 constant prices",0.641803
2019,"US dollar, Millions, 2023 constant prices",1.937241
2020,"US dollar, Millions, 2023 constant prices",3.964335
2021,"US dollar, Millions, 2023 constant prices",5.818148
2022,"US dollar, Millions, 2023 constant prices",5.987949
2023,"US dollar, Millions, 2023 constant prices",34.848917
