Year,Geography,Sex,GeoCode,Value
2018,Yukon,Males,60,48.8
2018,Yukon,Females,60,0.0
2018,Northwest Territories,Both sexes,61,29.2
2018,Northwest Territories,Males,61,43.6
2018,Northwest Territories,Females,61,13.9
2018,Nunavut,Both sexes,62,65.2
2018,Nunavut,Males,62,117.4
2018,Nunavut,Females,62,10.7
2019,Canada,Males,,18.7
2019,Canada,Females,,5.9
2019,Newfoundland and Labrador,Both sexes,10,11.4
2019,Newfoundland and Labrador,Males,10,16.8
2019,Newfoundland and Labrador,Females,10,6.0
2019,Prince Edward Island,Both sexes,11,12.2
2019,Prince Edward Island,Males,11,19.7
2019,Prince Edward Island,Females,11,5.0
2019,Nova Scotia,Both sexes,12,12.8
2019,Nova Scotia,Males,12,21.1
2019,Nova Scotia,Females,12,4.8
2019,New Brunswick,Both sexes,13,10.2
2019,New Brunswick,Males,13,15.1
2019,New Brunswick,Females,13,5.3
2019,Quebec,Both sexes,24,13.3
2019,Quebec,Males,24,20.6
2019,Quebec,Females,24,6.0
2019,Ontario,Both sexes,35,10.6
2019,Ontario,Males,35,16.1
2019,Ontario,Females,35,5.2
2019,Manitoba,Both sexes,46,15.8
2019,Manitoba,Males,46,22.9
2019,Manitoba,Females,46,8.5
2019,Saskatchewan,Both sexes,47,16.8
2019,Saskatchewan,Males,47,26.6
2019,Saskatchewan,Females,47,6.9
2019,Alberta,Both sexes,48,13.8
2019,Alberta,Males,48,20.8
2019,Alberta,Females,48,6.8
2019,British Columbia,Both sexes,59,11.5
2019,British Columbia,Males,59,17.4
2019,British Columbia,Females,59,5.6
2019,Yukon,Both sexes,60,17.0
2019,Yukon,Males,60,24.0
2019,Yukon,Females,60,9.8
2019,Northwest Territories,Both sexes,61,18.0
2019,Northwest Territories,Males,61,17.5
2019,Northwest Territories,Females,61,18.5
2019,Nunavut,Both sexes,62,90.1
2019,Nunavut,Males,62,126.3
2019,Nunavut,Females,62,52.5
2020,Canada,Males,,16.9
2020,Canada,Females,,5.7
2020,Newfoundland and Labrador,Both sexes,10,11.0
2020,Newfoundland and Labrador,Males,10,17.6
2020,Newfoundland and Labrador,Females,10,4.5
2020,Prince Edward Island,Both sexes,11,4.4
2020,Prince Edward Island,Males,11,6.4
2020,Prince Edward Island,Females,11,2.5
2020,Nova Scotia,Both sexes,12,10.9
2020,Nova Scotia,Males,12,18.1
2020,Nova Scotia,Females,12,4.0
2020,New Brunswick,Both sexes,13,11.9
2020,New Brunswick,Males,13,20.2
2020,New Brunswick,Females,13,3.8
2020,Quebec,Both sexes,24,12.3
