Year,Occupation,Type of work,Gender,Age group,Geography,GeoCode,Value
2015,"Sales and service occupations, except management",Both full- and part-time employees,Women+,15 years and over,Prince Edward Island,11,13.84
2015,"Sales and service occupations, except management",Both full- and part-time employees,Women+,15 to 24 years,Prince Edward Island,11,11.45
2015,"Sales and service occupations, except management",Both full- and part-time employees,Women+,25 to 54 years,Prince Edward Island,11,15.26
2015,"Sales and service occupations, except management",Both full- and part-time employees,Women+,55 years and over,Prince Edward Island,11,14.25
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Total - Gender,15 years and over,Prince Edward Island,11,20.69
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Prince Edward Island,11,14.77
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,22.05
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Total - Gender,55 years and over,Prince Edward Island,11,20.17
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Men+,15 years and over,Prince Edward Island,11,21.0
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Men+,25 to 54 years,Prince Edward Island,11,22.47
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Men+,55 years and over,Prince Edward Island,11,20.26
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Women+,15 years and over,Prince Edward Island,11,17.37
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Women+,25 to 54 years,Prince Edward Island,11,17.44
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Women+,55 years and over,Prince Edward Island,11,19.25
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Total - Gender,15 years and over,Prince Edward Island,11,15.58
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Prince Edward Island,11,13.2
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,16.47
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Total - Gender,55 years and over,Prince Edward Island,11,15.61
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Men+,15 years and over,Prince Edward Island,11,15.83
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Men+,25 to 54 years,Prince Edward Island,11,16.74
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Women+,15 years and over,Prince Edward Island,11,14.7
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Women+,25 to 54 years,Prince Edward Island,11,15.68
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Total - Gender,15 years and over,Prince Edward Island,11,16.83
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Prince Edward Island,11,12.86
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,17.3
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Total - Gender,55 years and over,Prince Edward Island,11,16.84
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Men+,15 years and over,Prince Edward Island,11,17.96
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Men+,25 to 54 years,Prince Edward Island,11,18.89
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Men+,55 years and over,Prince Edward Island,11,17.63
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Women+,15 years and over,Prince Edward Island,11,15.05
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Women+,25 to 54 years,Prince Edward Island,11,14.93
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Women+,55 years and over,Prince Edward Island,11,15.85
2015,"Total employees, all occupations",Full-time employees,Total - Gender,15 years and over,Prince Edward Island,11,22.43
2015,"Total employees, all occupations",Full-time employees,Total - Gender,15 to 24 years,Prince Edward Island,11,14.57
2015,"Total employees, all occupations",Full-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,23.75
2015,"Total employees, all occupations",Full-time employees,Total - Gender,55 years and over,Prince Edward Island,11,22.38
2015,"Total employees, all occupations",Full-time employees,Men+,15 years and over,Prince Edward Island,11,22.95
2015,"Total employees, all occupations",Full-time employees,Men+,15 to 24 years,Prince Edward Island,11,14.3
2015,"Total employees, all occupations",Full-time employees,Men+,25 to 54 years,Prince Edward Island,11,24.47
2015,"Total employees, all occupations",Full-time employees,Men+,55 years and over,Prince Edward Island,11,23.0
2015,"Total employees, all occupations",Full-time employees,Women+,15 years and over,Prince Edward Island,11,21.9
2015,"Total employees, all occupations",Full-time employees,Women+,15 to 24 years,Prince Edward Island,11,14.86
2015,"Total employees, all occupations",Full-time employees,Women+,25 to 54 years,Prince Edward Island,11,23.05
2015,"Total employees, all occupations",Full-time employees,Women+,55 years and over,Prince Edward Island,11,21.7
2015,Management occupations,Full-time employees,Total - Gender,15 years and over,Prince Edward Island,11,31.42
2015,Management occupations,Full-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,31.25
2015,Management occupations,Full-time employees,Total - Gender,55 years and over,Prince Edward Island,11,33.29
2015,Management occupations,Full-time employees,Men+,15 years and over,Prince Edward Island,11,33.29
2015,Management occupations,Full-time employees,Men+,25 to 54 years,Prince Edward Island,11,33.44
2015,Management occupations,Full-time employees,Men+,55 years and over,Prince Edward Island,11,33.94
2015,Management occupations,Full-time employees,Women+,15 years and over,Prince Edward Island,11,29.48
2015,Management occupations,Full-time employees,Women+,25 to 54 years,Prince Edward Island,11,28.97
2015,Management occupations,Full-time employees,Women+,55 years and over,Prince Edward Island,11,32.58
2015,"Business, finance and administration occupations, except management",Full-time employees,Total - Gender,15 years and over,Prince Edward Island,11,23.37
2015,"Business, finance and administration occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Prince Edward Island,11,16.87
2015,"Business, finance and administration occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,23.88
2015,"Business, finance and administration occupations, except management",Full-time employees,Total - Gender,55 years and over,Prince Edward Island,11,23.2
2015,"Business, finance and administration occupations, except management",Full-time employees,Men+,15 years and over,Prince Edward Island,11,25.38
2015,"Business, finance and administration occupations, except management",Full-time employees,Men+,25 to 54 years,Prince Edward Island,11,25.77
2015,"Business, finance and administration occupations, except management",Full-time employees,Men+,55 years and over,Prince Edward Island,11,26.17
2015,"Business, finance and administration occupations, except management",Full-time employees,Women+,15 years and over,Prince Edward Island,11,22.61
2015,"Business, finance and administration occupations, except management",Full-time employees,Women+,25 to 54 years,Prince Edward Island,11,23.26
2015,"Business, finance and administration occupations, except management",Full-time employees,Women+,55 years and over,Prince Edward Island,11,21.8
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Total - Gender,15 years and over,Prince Edward Island,11,28.48
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Prince Edward Island,11,15.78
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,29.21
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Total - Gender,55 years and over,Prince Edward Island,11,29.32
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Men+,15 years and over,Prince Edward Island,11,29.01
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Men+,25 to 54 years,Prince Edward Island,11,29.62
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Women+,15 years and over,Prince Edward Island,11,26.7
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Women+,25 to 54 years,Prince Edward Island,11,27.7
2015,"Health occupations, except management",Full-time employees,Total - Gender,15 years and over,Prince Edward Island,11,26.82
2015,"Health occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Prince Edward Island,11,23.71
2015,"Health occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,27.63
2015,"Health occupations, except management",Full-time employees,Total - Gender,55 years and over,Prince Edward Island,11,25.55
2015,"Health occupations, except management",Full-time employees,Men+,15 years and over,Prince Edward Island,11,29.73
2015,"Health occupations, except management",Full-time employees,Men+,25 to 54 years,Prince Edward Island,11,30.67
2015,"Health occupations, except management",Full-time employees,Women+,15 years and over,Prince Edward Island,11,26.31
2015,"Health occupations, except management",Full-time employees,Women+,25 to 54 years,Prince Edward Island,11,27.07
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Total - Gender,15 years and over,Prince Edward Island,11,30.14
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Total - Gender,15 to 24 years,Prince Edward Island,11,15.16
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,30.62
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Total - Gender,55 years and over,Prince Edward Island,11,32.37
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Men+,15 years and over,Prince Edward Island,11,35.16
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Men+,25 to 54 years,Prince Edward Island,11,34.95
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Women+,15 years and over,Prince Edward Island,11,28.3
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Women+,25 to 54 years,Prince Edward Island,11,28.9
2015,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Total - Gender,15 years and over,Prince Edward Island,11,21.01
2015,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,21.65
2015,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Men+,15 years and over,Prince Edward Island,11,22.66
2015,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Women+,15 years and over,Prince Edward Island,11,19.12
2015,"Sales and service occupations, except management",Full-time employees,Total - Gender,15 years and over,Prince Edward Island,11,15.81
2015,"Sales and service occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Prince Edward Island,11,11.81
2015,"Sales and service occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,16.69
2015,"Sales and service occupations, except management",Full-time employees,Total - Gender,55 years and over,Prince Edward Island,11,17.55
2015,"Sales and service occupations, except management",Full-time employees,Men+,15 years and over,Prince Edward Island,11,17.38
2015,"Sales and service occupations, except management",Full-time employees,Men+,15 to 24 years,Prince Edward Island,11,11.91
2015,"Sales and service occupations, except management",Full-time employees,Men+,25 to 54 years,Prince Edward Island,11,18.3
2015,"Sales and service occupations, except management",Full-time employees,Men+,55 years and over,Prince Edward Island,11,20.66
2015,"Sales and service occupations, except management",Full-time employees,Women+,15 years and over,Prince Edward Island,11,14.8
2015,"Sales and service occupations, except management",Full-time employees,Women+,15 to 24 years,Prince Edward Island,11,11.74
2015,"Sales and service occupations, except management",Full-time employees,Women+,25 to 54 years,Prince Edward Island,11,15.72
2015,"Sales and service occupations, except management",Full-time employees,Women+,55 years and over,Prince Edward Island,11,15.35
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Total - Gender,15 years and over,Prince Edward Island,11,20.97
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Prince Edward Island,11,15.29
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,22.21
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Total - Gender,55 years and over,Prince Edward Island,11,20.35
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Men+,15 years and over,Prince Edward Island,11,21.22
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Men+,25 to 54 years,Prince Edward Island,11,22.62
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Women+,15 years and over,Prince Edward Island,11,17.84
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Women+,25 to 54 years,Prince Edward Island,11,17.27
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Total - Gender,15 years and over,Prince Edward Island,11,15.93
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Prince Edward Island,11,13.71
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,16.61
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Total - Gender,55 years and over,Prince Edward Island,11,15.95
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Men+,15 years and over,Prince Edward Island,11,16.21
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Men+,25 to 54 years,Prince Edward Island,11,16.78
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Women+,15 years and over,Prince Edward Island,11,14.89
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Women+,25 to 54 years,Prince Edward Island,11,16.04
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Total - Gender,15 years and over,Prince Edward Island,11,17.14
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Total - Gender,15 to 24 years,Prince Edward Island,11,13.39
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,17.54
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Total - Gender,55 years and over,Prince Edward Island,11,17.09
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Men+,15 years and over,Prince Edward Island,11,18.17
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Men+,25 to 54 years,Prince Edward Island,11,18.95
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Men+,55 years and over,Prince Edward Island,11,17.65
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Women+,15 years and over,Prince Edward Island,11,15.39
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Women+,25 to 54 years,Prince Edward Island,11,15.22
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Women+,55 years and over,Prince Edward Island,11,16.33
2015,"Total employees, all occupations",Part-time employees,Total - Gender,15 years and over,Prince Edward Island,11,15.95
2015,"Total employees, all occupations",Part-time employees,Total - Gender,15 to 24 years,Prince Edward Island,11,11.75
2015,"Total employees, all occupations",Part-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,18.34
2015,"Total employees, all occupations",Part-time employees,Total - Gender,55 years and over,Prince Edward Island,11,20.13
2015,"Total employees, all occupations",Part-time employees,Men+,15 years and over,Prince Edward Island,11,15.22
2015,"Total employees, all occupations",Part-time employees,Men+,15 to 24 years,Prince Edward Island,11,11.18
2015,"Total employees, all occupations",Part-time employees,Men+,25 to 54 years,Prince Edward Island,11,16.67
2015,"Total employees, all occupations",Part-time employees,Men+,55 years and over,Prince Edward Island,11,23.86
2015,"Total employees, all occupations",Part-time employees,Women+,15 years and over,Prince Edward Island,11,16.31
2015,"Total employees, all occupations",Part-time employees,Women+,15 to 24 years,Prince Edward Island,11,12.16
2015,"Total employees, all occupations",Part-time employees,Women+,25 to 54 years,Prince Edward Island,11,18.88
2015,"Total employees, all occupations",Part-time employees,Women+,55 years and over,Prince Edward Island,11,18.52
2015,"Business, finance and administration occupations, except management",Part-time employees,Total - Gender,15 years and over,Prince Edward Island,11,20.16
2015,"Business, finance and administration occupations, except management",Part-time employees,Total - Gender,15 to 24 years,Prince Edward Island,11,14.89
2015,"Business, finance and administration occupations, except management",Part-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,19.31
2015,"Business, finance and administration occupations, except management",Part-time employees,Total - Gender,55 years and over,Prince Edward Island,11,26.35
2015,"Business, finance and administration occupations, except management",Part-time employees,Men+,15 years and over,Prince Edward Island,11,19.29
2015,"Business, finance and administration occupations, except management",Part-time employees,Women+,15 years and over,Prince Edward Island,11,20.4
2015,"Health occupations, except management",Part-time employees,Total - Gender,15 years and over,Prince Edward Island,11,26.91
2015,"Health occupations, except management",Part-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,27.81
2015,"Health occupations, except management",Part-time employees,Total - Gender,55 years and over,Prince Edward Island,11,30.97
2015,"Occupations in education, law and social, community and government services, except management",Part-time employees,Total - Gender,15 years and over,Prince Edward Island,11,23.37
2015,"Occupations in education, law and social, community and government services, except management",Part-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,22.37
2015,"Occupations in education, law and social, community and government services, except management",Part-time employees,Total - Gender,55 years and over,Prince Edward Island,11,29.56
2015,"Occupations in education, law and social, community and government services, except management",Part-time employees,Men+,15 years and over,Prince Edward Island,11,31.09
2015,"Occupations in education, law and social, community and government services, except management",Part-time employees,Women+,15 years and over,Prince Edward Island,11,20.49
2015,"Occupations in art, culture, recreation and sport, except management",Part-time employees,Total - Gender,15 years and over,Prince Edward Island,11,14.01
2015,"Sales and service occupations, except management",Part-time employees,Total - Gender,15 years and over,Prince Edward Island,11,12.0
2015,"Sales and service occupations, except management",Part-time employees,Total - Gender,15 to 24 years,Prince Edward Island,11,11.09
2015,"Sales and service occupations, except management",Part-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,13.57
2015,"Sales and service occupations, except management",Part-time employees,Total - Gender,55 years and over,Prince Edward Island,11,12.68
2015,"Sales and service occupations, except management",Part-time employees,Men+,15 years and over,Prince Edward Island,11,11.91
2015,"Sales and service occupations, except management",Part-time employees,Men+,15 to 24 years,Prince Edward Island,11,10.92
2015,"Sales and service occupations, except management",Part-time employees,Men+,25 to 54 years,Prince Edward Island,11,13.89
2015,"Sales and service occupations, except management",Part-time employees,Men+,55 years and over,Prince Edward Island,11,14.08
2015,"Sales and service occupations, except management",Part-time employees,Women+,15 years and over,Prince Edward Island,11,12.06
2015,"Sales and service occupations, except management",Part-time employees,Women+,15 to 24 years,Prince Edward Island,11,11.22
2015,"Sales and service occupations, except management",Part-time employees,Women+,25 to 54 years,Prince Edward Island,11,13.44
2015,"Sales and service occupations, except management",Part-time employees,Women+,55 years and over,Prince Edward Island,11,12.28
2015,"Trades, transport and equipment operators and related occupations, except management",Part-time employees,Total - Gender,15 years and over,Prince Edward Island,11,16.2
2015,"Trades, transport and equipment operators and related occupations, except management",Part-time employees,Total - Gender,25 to 54 years,Prince Edward Island,11,17.5
2015,"Trades, transport and equipment operators and related occupations, except management",Part-time employees,Total - Gender,55 years and over,Prince Edward Island,11,18.39
2015,"Natural resources, agriculture and related production occupations, except management",Part-time employees,Total - Gender,15 years and over,Prince Edward Island,11,12.19
2015,"Total employees, all occupations",Both full- and part-time employees,Total - Gender,15 years and over,Nova Scotia,12,22.41
2015,"Total employees, all occupations",Both full- and part-time employees,Total - Gender,15 to 24 years,Nova Scotia,12,13.81
2015,"Total employees, all occupations",Both full- and part-time employees,Total - Gender,25 to 54 years,Nova Scotia,12,24.2
2015,"Total employees, all occupations",Both full- and part-time employees,Total - Gender,55 years and over,Nova Scotia,12,23.44
2015,"Total employees, all occupations",Both full- and part-time employees,Men+,15 years and over,Nova Scotia,12,23.95
2015,"Total employees, all occupations",Both full- and part-time employees,Men+,15 to 24 years,Nova Scotia,12,14.28
2015,"Total employees, all occupations",Both full- and part-time employees,Men+,25 to 54 years,Nova Scotia,12,25.8
2015,"Total employees, all occupations",Both full- and part-time employees,Men+,55 years and over,Nova Scotia,12,25.78
2015,"Total employees, all occupations",Both full- and part-time employees,Women+,15 years and over,Nova Scotia,12,20.96
2015,"Total employees, all occupations",Both full- and part-time employees,Women+,15 to 24 years,Nova Scotia,12,13.36
2015,"Total employees, all occupations",Both full- and part-time employees,Women+,25 to 54 years,Nova Scotia,12,22.72
2015,"Total employees, all occupations",Both full- and part-time employees,Women+,55 years and over,Nova Scotia,12,21.17
2015,Management occupations,Both full- and part-time employees,Total - Gender,15 years and over,Nova Scotia,12,34.77
2015,Management occupations,Both full- and part-time employees,Total - Gender,15 to 24 years,Nova Scotia,12,19.81
2015,Management occupations,Both full- and part-time employees,Total - Gender,25 to 54 years,Nova Scotia,12,35.53
2015,Management occupations,Both full- and part-time employees,Total - Gender,55 years and over,Nova Scotia,12,33.85
2015,Management occupations,Both full- and part-time employees,Men+,15 years and over,Nova Scotia,12,36.34
2015,Management occupations,Both full- and part-time employees,Men+,25 to 54 years,Nova Scotia,12,37.94
2015,Management occupations,Both full- and part-time employees,Men+,55 years and over,Nova Scotia,12,33.0
2015,Management occupations,Both full- and part-time employees,Women+,15 years and over,Nova Scotia,12,32.59
2015,Management occupations,Both full- and part-time employees,Women+,25 to 54 years,Nova Scotia,12,32.54
2015,Management occupations,Both full- and part-time employees,Women+,55 years and over,Nova Scotia,12,35.68
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Total - Gender,15 years and over,Nova Scotia,12,21.93
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Nova Scotia,12,14.67
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Nova Scotia,12,22.86
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Total - Gender,55 years and over,Nova Scotia,12,22.05
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Men+,15 years and over,Nova Scotia,12,25.62
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Men+,15 to 24 years,Nova Scotia,12,15.26
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Men+,25 to 54 years,Nova Scotia,12,27.05
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Men+,55 years and over,Nova Scotia,12,27.32
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Women+,15 years and over,Nova Scotia,12,20.87
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Women+,15 to 24 years,Nova Scotia,12,14.4
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Women+,25 to 54 years,Nova Scotia,12,21.76
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Women+,55 years and over,Nova Scotia,12,20.47
2015,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Total - Gender,15 years and over,Nova Scotia,12,29.69
2015,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Nova Scotia,12,19.74
2015,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Nova Scotia,12,29.64
2015,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Total - Gender,55 years and over,Nova Scotia,12,37.62
2015,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Men+,15 years and over,Nova Scotia,12,30.3
2015,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Men+,25 to 54 years,Nova Scotia,12,29.9
2015,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Women+,15 years and over,Nova Scotia,12,27.8
2015,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Women+,25 to 54 years,Nova Scotia,12,28.95
2015,"Health occupations, except management",Both full- and part-time employees,Total - Gender,15 years and over,Nova Scotia,12,27.28
2015,"Health occupations, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Nova Scotia,12,21.34
2015,"Health occupations, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Nova Scotia,12,27.85
2015,"Health occupations, except management",Both full- and part-time employees,Total - Gender,55 years and over,Nova Scotia,12,27.73
2015,"Health occupations, except management",Both full- and part-time employees,Men+,15 years and over,Nova Scotia,12,28.37
2015,"Health occupations, except management",Both full- and part-time employees,Men+,25 to 54 years,Nova Scotia,12,28.46
2015,"Health occupations, except management",Both full- and part-time employees,Men+,55 years and over,Nova Scotia,12,29.64
2015,"Health occupations, except management",Both full- and part-time employees,Women+,15 years and over,Nova Scotia,12,27.08
2015,"Health occupations, except management",Both full- and part-time employees,Women+,25 to 54 years,Nova Scotia,12,27.73
2015,"Health occupations, except management",Both full- and part-time employees,Women+,55 years and over,Nova Scotia,12,27.48
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Total - Gender,15 years and over,Nova Scotia,12,28.32
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Nova Scotia,12,16.3
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Nova Scotia,12,28.57
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Total - Gender,55 years and over,Nova Scotia,12,31.94
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Men+,15 years and over,Nova Scotia,12,33.21
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Men+,15 to 24 years,Nova Scotia,12,16.64
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Men+,25 to 54 years,Nova Scotia,12,33.76
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Men+,55 years and over,Nova Scotia,12,36.69
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Women+,15 years and over,Nova Scotia,12,25.94
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Women+,15 to 24 years,Nova Scotia,12,16.15
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Women+,25 to 54 years,Nova Scotia,12,26.17
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Women+,55 years and over,Nova Scotia,12,29.07
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Total - Gender,15 years and over,Nova Scotia,12,20.42
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Nova Scotia,12,14.46
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Nova Scotia,12,22.84
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Total - Gender,55 years and over,Nova Scotia,12,26.77
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Men+,15 years and over,Nova Scotia,12,22.73
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Men+,15 to 24 years,Nova Scotia,12,18.47
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Men+,25 to 54 years,Nova Scotia,12,23.7
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Women+,15 years and over,Nova Scotia,12,18.94
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Women+,15 to 24 years,Nova Scotia,12,11.87
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Women+,25 to 54 years,Nova Scotia,12,22.21
2015,"Sales and service occupations, except management",Both full- and part-time employees,Total - Gender,15 years and over,Nova Scotia,12,14.96
2015,"Sales and service occupations, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Nova Scotia,12,11.7
2015,"Sales and service occupations, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Nova Scotia,12,16.6
2015,"Sales and service occupations, except management",Both full- and part-time employees,Total - Gender,55 years and over,Nova Scotia,12,15.66
2015,"Sales and service occupations, except management",Both full- and part-time employees,Men+,15 years and over,Nova Scotia,12,16.39
2015,"Sales and service occupations, except management",Both full- and part-time employees,Men+,15 to 24 years,Nova Scotia,12,11.52
2015,"Sales and service occupations, except management",Both full- and part-time employees,Men+,25 to 54 years,Nova Scotia,12,18.73
2015,"Sales and service occupations, except management",Both full- and part-time employees,Men+,55 years and over,Nova Scotia,12,17.87
2015,"Sales and service occupations, except management",Both full- and part-time employees,Women+,15 years and over,Nova Scotia,12,13.96
2015,"Sales and service occupations, except management",Both full- and part-time employees,Women+,15 to 24 years,Nova Scotia,12,11.83
2015,"Sales and service occupations, except management",Both full- and part-time employees,Women+,25 to 54 years,Nova Scotia,12,15.09
