Year,Occupation,Type of work,Gender,Age group,Geography,GeoCode,Value
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Total - Gender,55 years and over,Canada,,33.66
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Men+,15 years and over,Canada,,36.46
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Men+,15 to 24 years,Canada,,18.74
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Men+,25 to 54 years,Canada,,36.81
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Men+,55 years and over,Canada,,40.74
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Women+,15 years and over,Canada,,29.23
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Women+,15 to 24 years,Canada,,17.01
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Women+,25 to 54 years,Canada,,30.39
2015,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Women+,55 years and over,Canada,,29.63
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Total - Gender,15 years and over,Canada,,23.37
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Canada,,15.57
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Canada,,26.71
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Total - Gender,55 years and over,Canada,,30.3
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Men+,15 years and over,Canada,,24.38
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Men+,15 to 24 years,Canada,,16.58
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Men+,25 to 54 years,Canada,,27.06
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Men+,55 years and over,Canada,,32.83
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Women+,15 years and over,Canada,,22.47
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Women+,15 to 24 years,Canada,,14.73
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Women+,25 to 54 years,Canada,,26.4
2015,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Women+,55 years and over,Canada,,27.28
2015,"Sales and service occupations, except management",Both full- and part-time employees,Total - Gender,15 years and over,Canada,,16.97
2015,"Sales and service occupations, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Canada,,12.37
2015,"Sales and service occupations, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Canada,,19.25
2015,"Sales and service occupations, except management",Both full- and part-time employees,Total - Gender,55 years and over,Canada,,18.68
2015,"Sales and service occupations, except management",Both full- and part-time employees,Men+,15 years and over,Canada,,18.7
2015,"Sales and service occupations, except management",Both full- and part-time employees,Men+,15 to 24 years,Canada,,12.44
2015,"Sales and service occupations, except management",Both full- and part-time employees,Men+,25 to 54 years,Canada,,21.74
2015,"Sales and service occupations, except management",Both full- and part-time employees,Men+,55 years and over,Canada,,21.23
2015,"Sales and service occupations, except management",Both full- and part-time employees,Women+,15 years and over,Canada,,15.68
2015,"Sales and service occupations, except management",Both full- and part-time employees,Women+,15 to 24 years,Canada,,12.31
2015,"Sales and service occupations, except management",Both full- and part-time employees,Women+,25 to 54 years,Canada,,17.42
2015,"Sales and service occupations, except management",Both full- and part-time employees,Women+,55 years and over,Canada,,16.73
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Total - Gender,15 years and over,Canada,,25.3
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Canada,,18.45
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Canada,,26.74
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Total - Gender,55 years and over,Canada,,25.15
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Men+,15 years and over,Canada,,25.7
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Men+,15 to 24 years,Canada,,18.62
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Men+,25 to 54 years,Canada,,27.2
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Men+,55 years and over,Canada,,25.61
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Women+,15 years and over,Canada,,20.21
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Women+,15 to 24 years,Canada,,15.76
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Women+,25 to 54 years,Canada,,21.09
2015,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Women+,55 years and over,Canada,,19.66
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Total - Gender,15 years and over,Canada,,23.96
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Canada,,16.08
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Canada,,27.84
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Total - Gender,55 years and over,Canada,,23.55
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Men+,15 years and over,Canada,,25.57
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Men+,15 to 24 years,Canada,,16.83
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Men+,25 to 54 years,Canada,,29.43
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Men+,55 years and over,Canada,,25.6
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Women+,15 years and over,Canada,,16.41
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Women+,15 to 24 years,Canada,,13.38
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Women+,25 to 54 years,Canada,,18.89
2015,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Women+,55 years and over,Canada,,15.31
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Total - Gender,15 years and over,Canada,,21.72
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Canada,,16.52
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Canada,,22.35
