Year,Series,Units,Highest level of education,Age group,Sex,Location,COMMENT_OBS,Progress,Value
2016,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,Male,,,1.15772900615865,0.864
2021,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,Male,,,1.18241045260781,0.846
2016,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,Rural,,1.0,1.026
2021,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,Rural,,1.05485999584198,1.055
2016,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,Urban,,1.0,0.993
2021,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,Urban,,1.0,1.014
2016,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,Female,,,1.19717462718912,0.835
2021,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,Female,,,1.25453196360775,0.797
2016,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,,,1.15823996067047,1.158
2021,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,,,1.14199995994568,1.142
2016,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,,,,1.34044660258247,0.746
2021,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,,,,1.41185111604397,0.708
2016,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,Male,,,1.53353061697374,0.652
2021,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,Male,,,1.62316585925436,0.616
2016,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,Rural,,1.31527996063232,1.315
2021,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,Rural,,1.30999994277954,1.31
2016,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,Urban,,1.1229100227356,1.123
2021,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,Urban,,1.10724997520447,1.107
2016,Educational attainment rate,Adjusted location parity index,Completed Bachelor's or equivalent education or higher,,Female,,,1.7462673067101,0.573
2021,Educational attainment rate,Adjusted location parity index,Completed Bachelor's or equivalent education or higher,,Female,,,1.72007500689477,0.581
2015,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.05375387899224,1.054
2016,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.07341003417969,1.073
2017,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.06917726227148,1.069
2018,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.07349014049767,1.073
2019,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.07280941776411,1.073
2020,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.08336284846748,1.083
