Year,Distance-capacity public transit service area,Geography,Location,Gender,Demographic and socio-economic,GeoCode,Value
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia","Total, location",Women+,20 to 24 years,205,78.6
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia","Total, location",Women+,65 years and over,205,67.8
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,"Total, gender",Total - Age groups of the population - 100% data,205,81.3
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,"Total, gender",0 to 14 years,205,77.1
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,"Total, gender",15 to 64 years,205,81.8
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,"Total, gender",15 to 19 years,205,75.7
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,"Total, gender",20 to 24 years,205,88.0
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,"Total, gender",65 years and over,205,82.8
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Men+,Total - Age groups of the population - 100% data,205,81.0
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Men+,0 to 14 years,205,76.8
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Men+,15 to 64 years,205,81.8
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Men+,15 to 19 years,205,75.3
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Men+,20 to 24 years,205,87.7
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Men+,65 years and over,205,81.5
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Women+,Total - Age groups of the population - 100% data,205,81.6
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Women+,0 to 14 years,205,77.3
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Women+,15 to 64 years,205,81.9
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Women+,15 to 19 years,205,76.1
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Women+,20 to 24 years,205,88.3
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Women+,65 years and over,205,83.7
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,"Total, gender",Total - Age groups of the population - 100% data,205,8.3
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,"Total, gender",0 to 14 years,205,7.8
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,"Total, gender",15 to 64 years,205,8.3
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,"Total, gender",15 to 19 years,205,6.9
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,"Total, gender",20 to 24 years,205,9.5
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,"Total, gender",65 years and over,205,8.7
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Men+,Total - Age groups of the population - 100% data,205,8.3
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Men+,0 to 14 years,205,8.0
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Men+,15 to 64 years,205,8.4
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Men+,15 to 19 years,205,7.0
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Men+,20 to 24 years,205,8.9
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Men+,65 years and over,205,8.3
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Women+,Total - Age groups of the population - 100% data,205,8.3
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Women+,0 to 14 years,205,7.6
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Women+,15 to 64 years,205,8.2
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Women+,15 to 19 years,205,6.8
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Women+,20 to 24 years,205,10.0
2023,500 metres from low-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Women+,65 years and over,205,9.2
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location","Total, gender",Total - Age groups of the population - 100% data,205,1.7
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location","Total, gender",0 to 14 years,205,0.6
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location","Total, gender",15 to 64 years,205,2.0
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location","Total, gender",15 to 19 years,205,0.8
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location","Total, gender",20 to 24 years,205,2.9
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location","Total, gender",65 years and over,205,1.5
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location",Men+,Total - Age groups of the population - 100% data,205,1.7
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location",Men+,0 to 14 years,205,0.5
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location",Men+,15 to 64 years,205,2.1
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location",Men+,15 to 19 years,205,0.7
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location",Men+,20 to 24 years,205,2.7
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location",Men+,65 years and over,205,1.4
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location",Women+,Total - Age groups of the population - 100% data,205,1.7
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location",Women+,0 to 14 years,205,0.6
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location",Women+,15 to 64 years,205,1.9
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location",Women+,15 to 19 years,205,0.8
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location",Women+,20 to 24 years,205,3.2
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia","Total, location",Women+,65 years and over,205,1.4
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,"Total, gender",Total - Age groups of the population - 100% data,205,2.2
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,"Total, gender",0 to 14 years,205,0.7
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,"Total, gender",15 to 64 years,205,2.5
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,"Total, gender",15 to 19 years,205,1.0
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,"Total, gender",20 to 24 years,205,3.4
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,"Total, gender",65 years and over,205,1.9
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Men+,Total - Age groups of the population - 100% data,205,2.2
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Men+,0 to 14 years,205,0.7
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Men+,15 to 64 years,205,2.6
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Men+,15 to 19 years,205,1.0
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Men+,20 to 24 years,205,3.1
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Men+,65 years and over,205,2.0
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Women+,Total - Age groups of the population - 100% data,205,2.1
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Women+,0 to 14 years,205,0.8
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Women+,15 to 64 years,205,2.5
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Women+,15 to 19 years,205,1.0
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Women+,20 to 24 years,205,3.6
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Urban,Women+,65 years and over,205,1.8
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,"Total, gender",Total - Age groups of the population - 100% data,205,
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,"Total, gender",0 to 14 years,205,
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,"Total, gender",15 to 64 years,205,
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,"Total, gender",15 to 19 years,205,
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,"Total, gender",20 to 24 years,205,
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,"Total, gender",65 years and over,205,
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Men+,Total - Age groups of the population - 100% data,205,
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Men+,0 to 14 years,205,
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Men+,15 to 64 years,205,
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Men+,15 to 19 years,205,
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Men+,20 to 24 years,205,
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Men+,65 years and over,205,
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Women+,Total - Age groups of the population - 100% data,205,
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Women+,0 to 14 years,205,
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Women+,15 to 64 years,205,
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Women+,15 to 19 years,205,
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Women+,20 to 24 years,205,
2023,1000 metres from high-capacity public transit stops only,"Halifax, Nova Scotia",Rural,Women+,65 years and over,205,
2023,500 metres from all public transit stops,New Brunswick,"Total, location","Total, gender",Total - Age groups of the population - 100% data,13,51.1
2023,500 metres from all public transit stops,New Brunswick,"Total, location","Total, gender",0 to 14 years,13,47.8
2023,500 metres from all public transit stops,New Brunswick,"Total, location","Total, gender",15 to 64 years,13,51.4
2023,500 metres from all public transit stops,New Brunswick,"Total, location","Total, gender",15 to 19 years,13,48.1
2023,500 metres from all public transit stops,New Brunswick,"Total, location","Total, gender",20 to 24 years,13,62.4
2023,500 metres from all public transit stops,New Brunswick,"Total, location","Total, gender",65 years and over,13,52.6
2023,500 metres from all public transit stops,New Brunswick,"Total, location",Men+,Total - Age groups of the population - 100% data,13,50.3
2023,500 metres from all public transit stops,New Brunswick,"Total, location",Men+,0 to 14 years,13,47.7
2023,500 metres from all public transit stops,New Brunswick,"Total, location",Men+,15 to 64 years,13,51.2
2023,500 metres from all public transit stops,New Brunswick,"Total, location",Men+,15 to 19 years,13,48.0
2023,500 metres from all public transit stops,New Brunswick,"Total, location",Men+,20 to 24 years,13,61.8
2023,500 metres from all public transit stops,New Brunswick,"Total, location",Men+,65 years and over,13,49.3
2023,500 metres from all public transit stops,New Brunswick,"Total, location",Women+,Total - Age groups of the population - 100% data,13,51.8
2023,500 metres from all public transit stops,New Brunswick,"Total, location",Women+,0 to 14 years,13,47.9
2023,500 metres from all public transit stops,New Brunswick,"Total, location",Women+,15 to 64 years,13,51.6
2023,500 metres from all public transit stops,New Brunswick,"Total, location",Women+,15 to 19 years,13,48.0
2023,500 metres from all public transit stops,New Brunswick,"Total, location",Women+,20 to 24 years,13,62.9
2023,500 metres from all public transit stops,New Brunswick,"Total, location",Women+,65 years and over,13,55.3
2023,500 metres from all public transit stops,New Brunswick,Urban,"Total, gender",Total - Age groups of the population - 100% data,13,70.7
2023,500 metres from all public transit stops,New Brunswick,Urban,"Total, gender",0 to 14 years,13,66.9
2023,500 metres from all public transit stops,New Brunswick,Urban,"Total, gender",15 to 64 years,13,71.0
2023,500 metres from all public transit stops,New Brunswick,Urban,"Total, gender",15 to 19 years,13,65.4
2023,500 metres from all public transit stops,New Brunswick,Urban,"Total, gender",20 to 24 years,13,78.5
2023,500 metres from all public transit stops,New Brunswick,Urban,"Total, gender",65 years and over,13,72.7
2023,500 metres from all public transit stops,New Brunswick,Urban,Men+,Total - Age groups of the population - 100% data,13,70.6
2023,500 metres from all public transit stops,New Brunswick,Urban,Men+,0 to 14 years,13,66.9
2023,500 metres from all public transit stops,New Brunswick,Urban,Men+,15 to 64 years,13,71.4
2023,500 metres from all public transit stops,New Brunswick,Urban,Men+,15 to 19 years,13,65.9
2023,500 metres from all public transit stops,New Brunswick,Urban,Men+,20 to 24 years,13,78.3
2023,500 metres from all public transit stops,New Brunswick,Urban,Men+,65 years and over,13,71.0
2023,500 metres from all public transit stops,New Brunswick,Urban,Women+,Total - Age groups of the population - 100% data,13,70.9
2023,500 metres from all public transit stops,New Brunswick,Urban,Women+,0 to 14 years,13,66.9
2023,500 metres from all public transit stops,New Brunswick,Urban,Women+,15 to 64 years,13,70.7
2023,500 metres from all public transit stops,New Brunswick,Urban,Women+,15 to 19 years,13,64.9
2023,500 metres from all public transit stops,New Brunswick,Urban,Women+,20 to 24 years,13,78.6
2023,500 metres from all public transit stops,New Brunswick,Urban,Women+,65 years and over,13,74.0
2023,500 metres from all public transit stops,New Brunswick,Rural,"Total, gender",Total - Age groups of the population - 100% data,13,5.6
2023,500 metres from all public transit stops,New Brunswick,Rural,"Total, gender",0 to 14 years,13,5.3
2023,500 metres from all public transit stops,New Brunswick,Rural,"Total, gender",15 to 64 years,13,5.5
2023,500 metres from all public transit stops,New Brunswick,Rural,"Total, gender",15 to 19 years,13,5.4
2023,500 metres from all public transit stops,New Brunswick,Rural,"Total, gender",20 to 24 years,13,6.5
2023,500 metres from all public transit stops,New Brunswick,Rural,"Total, gender",65 years and over,13,6.3
2023,500 metres from all public transit stops,New Brunswick,Rural,Men+,Total - Age groups of the population - 100% data,13,5.5
2023,500 metres from all public transit stops,New Brunswick,Rural,Men+,0 to 14 years,13,5.2
2023,500 metres from all public transit stops,New Brunswick,Rural,Men+,15 to 64 years,13,5.4
2023,500 metres from all public transit stops,New Brunswick,Rural,Men+,15 to 19 years,13,5.2
2023,500 metres from all public transit stops,New Brunswick,Rural,Men+,20 to 24 years,13,6.8
2023,500 metres from all public transit stops,New Brunswick,Rural,Men+,65 years and over,13,5.9
2023,500 metres from all public transit stops,New Brunswick,Rural,Women+,Total - Age groups of the population - 100% data,13,5.8
2023,500 metres from all public transit stops,New Brunswick,Rural,Women+,0 to 14 years,13,5.2
2023,500 metres from all public transit stops,New Brunswick,Rural,Women+,15 to 64 years,13,5.7
2023,500 metres from all public transit stops,New Brunswick,Rural,Women+,15 to 19 years,13,5.7
2023,500 metres from all public transit stops,New Brunswick,Rural,Women+,20 to 24 years,13,6.2
2023,500 metres from all public transit stops,New Brunswick,Rural,Women+,65 years and over,13,6.8
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location","Total, gender",Total - Age groups of the population - 100% data,13,51.1
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location","Total, gender",0 to 14 years,13,47.8
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location","Total, gender",15 to 64 years,13,51.4
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location","Total, gender",15 to 19 years,13,48.1
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location","Total, gender",20 to 24 years,13,62.4
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location","Total, gender",65 years and over,13,52.6
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location",Men+,Total - Age groups of the population - 100% data,13,50.3
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location",Men+,0 to 14 years,13,47.7
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location",Men+,15 to 64 years,13,51.2
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location",Men+,15 to 19 years,13,48.0
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location",Men+,20 to 24 years,13,61.8
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location",Men+,65 years and over,13,49.3
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location",Women+,Total - Age groups of the population - 100% data,13,51.8
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location",Women+,0 to 14 years,13,47.9
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location",Women+,15 to 64 years,13,51.6
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location",Women+,15 to 19 years,13,48.0
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location",Women+,20 to 24 years,13,62.9
2023,500 metres from low-capacity public transit stops only,New Brunswick,"Total, location",Women+,65 years and over,13,55.3
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,"Total, gender",Total - Age groups of the population - 100% data,13,70.7
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,"Total, gender",0 to 14 years,13,66.9
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,"Total, gender",15 to 64 years,13,71.0
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,"Total, gender",15 to 19 years,13,65.4
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,"Total, gender",20 to 24 years,13,78.5
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,"Total, gender",65 years and over,13,72.7
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,Men+,Total - Age groups of the population - 100% data,13,70.6
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,Men+,0 to 14 years,13,66.9
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,Men+,15 to 64 years,13,71.4
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,Men+,15 to 19 years,13,65.9
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,Men+,20 to 24 years,13,78.3
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,Men+,65 years and over,13,71.0
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,Women+,Total - Age groups of the population - 100% data,13,70.9
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,Women+,0 to 14 years,13,66.9
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,Women+,15 to 64 years,13,70.7
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,Women+,15 to 19 years,13,64.9
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,Women+,20 to 24 years,13,78.6
2023,500 metres from low-capacity public transit stops only,New Brunswick,Urban,Women+,65 years and over,13,74.0
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,"Total, gender",Total - Age groups of the population - 100% data,13,5.6
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,"Total, gender",0 to 14 years,13,5.3
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,"Total, gender",15 to 64 years,13,5.5
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,"Total, gender",15 to 19 years,13,5.5
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,"Total, gender",20 to 24 years,13,6.5
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,"Total, gender",65 years and over,13,6.3
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,Men+,Total - Age groups of the population - 100% data,13,5.5
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,Men+,0 to 14 years,13,5.2
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,Men+,15 to 64 years,13,5.4
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,Men+,15 to 19 years,13,5.2
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,Men+,20 to 24 years,13,6.9
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,Men+,65 years and over,13,5.9
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,Women+,Total - Age groups of the population - 100% data,13,5.8
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,Women+,0 to 14 years,13,5.2
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,Women+,15 to 64 years,13,5.7
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,Women+,15 to 19 years,13,5.7
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,Women+,20 to 24 years,13,6.2
2023,500 metres from low-capacity public transit stops only,New Brunswick,Rural,Women+,65 years and over,13,6.8
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location","Total, gender",Total - Age groups of the population - 100% data,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location","Total, gender",0 to 14 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location","Total, gender",15 to 64 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location","Total, gender",15 to 19 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location","Total, gender",20 to 24 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location","Total, gender",65 years and over,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location",Men+,Total - Age groups of the population - 100% data,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location",Men+,0 to 14 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location",Men+,15 to 64 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location",Men+,15 to 19 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location",Men+,20 to 24 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location",Men+,65 years and over,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location",Women+,Total - Age groups of the population - 100% data,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location",Women+,0 to 14 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location",Women+,15 to 64 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location",Women+,15 to 19 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location",Women+,20 to 24 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,"Total, location",Women+,65 years and over,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,"Total, gender",Total - Age groups of the population - 100% data,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,"Total, gender",0 to 14 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,"Total, gender",15 to 64 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,"Total, gender",15 to 19 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,"Total, gender",20 to 24 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,"Total, gender",65 years and over,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,Men+,Total - Age groups of the population - 100% data,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,Men+,0 to 14 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,Men+,15 to 64 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,Men+,15 to 19 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,Men+,20 to 24 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,Men+,65 years and over,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,Women+,Total - Age groups of the population - 100% data,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,Women+,0 to 14 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,Women+,15 to 64 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,Women+,15 to 19 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,Women+,20 to 24 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Urban,Women+,65 years and over,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,"Total, gender",Total - Age groups of the population - 100% data,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,"Total, gender",0 to 14 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,"Total, gender",15 to 64 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,"Total, gender",15 to 19 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,"Total, gender",20 to 24 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,"Total, gender",65 years and over,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,Men+,Total - Age groups of the population - 100% data,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,Men+,0 to 14 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,Men+,15 to 64 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,Men+,15 to 19 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,Men+,20 to 24 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,Men+,65 years and over,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,Women+,Total - Age groups of the population - 100% data,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,Women+,0 to 14 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,Women+,15 to 64 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,Women+,15 to 19 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,Women+,20 to 24 years,13,0.0
2023,1000 metres from high-capacity public transit stops only,New Brunswick,Rural,Women+,65 years and over,13,0.0
2023,500 metres from all public transit stops,"Fredericton, New Brunswick","Total, location","Total, gender",Total - Age groups of the population - 100% data,320,48.5
2023,500 metres from all public transit stops,"Fredericton, New Brunswick","Total, location","Total, gender",0 to 14 years,320,43.3
2023,500 metres from all public transit stops,"Fredericton, New Brunswick","Total, location","Total, gender",15 to 64 years,320,49.0
2023,500 metres from all public transit stops,"Fredericton, New Brunswick","Total, location","Total, gender",15 to 19 years,320,46.6
2023,500 metres from all public transit stops,"Fredericton, New Brunswick","Total, location","Total, gender",20 to 24 years,320,65.9
2023,500 metres from all public transit stops,"Fredericton, New Brunswick","Total, location","Total, gender",65 years and over,320,51.0
2023,500 metres from all public transit stops,"Fredericton, New Brunswick","Total, location",Men+,Total - Age groups of the population - 100% data,320,47.5
2023,500 metres from all public transit stops,"Fredericton, New Brunswick","Total, location",Men+,0 to 14 years,320,43.2
