Year,Distance-capacity public transit service area,Geography,Location,Gender,Demographic and socio-economic,GeoCode,Value
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Men+,Total - Age groups of the population - 100% data,11124,74.8
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Men+,0 to 14 years,11124,72.9
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Men+,15 to 64 years,11124,75.7
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Men+,15 to 19 years,11124,73.1
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Men+,20 to 24 years,11124,78.6
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Men+,65 years and over,11124,72.9
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Women+,Total - Age groups of the population - 100% data,11124,75.6
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Women+,0 to 14 years,11124,73.0
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Women+,15 to 64 years,11124,76.0
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Women+,15 to 19 years,11124,73.3
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Women+,20 to 24 years,11124,79.5
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Women+,65 years and over,11124,76.6
2023,500 metres from low-capacity public transit stops only,Canada,Urban,"Total, gender",Total - Age groups of the population - 100% data,11124,81.8
2023,500 metres from low-capacity public transit stops only,Canada,Urban,"Total, gender",0 to 14 years,11124,79.3
2023,500 metres from low-capacity public transit stops only,Canada,Urban,"Total, gender",15 to 64 years,11124,82.2
2023,500 metres from low-capacity public transit stops only,Canada,Urban,"Total, gender",15 to 19 years,11124,79.5
2023,500 metres from low-capacity public transit stops only,Canada,Urban,"Total, gender",20 to 24 years,11124,84.1
2023,500 metres from low-capacity public transit stops only,Canada,Urban,"Total, gender",65 years and over,11124,82.4
2023,500 metres from low-capacity public transit stops only,Canada,Urban,Men+,Total - Age groups of the population - 100% data,11124,81.6
2023,500 metres from low-capacity public transit stops only,Canada,Urban,Men+,0 to 14 years,11124,79.3
2023,500 metres from low-capacity public transit stops only,Canada,Urban,Men+,15 to 64 years,11124,82.3
2023,500 metres from low-capacity public transit stops only,Canada,Urban,Men+,15 to 19 years,11124,79.5
2023,500 metres from low-capacity public transit stops only,Canada,Urban,Men+,20 to 24 years,11124,83.8
2023,500 metres from low-capacity public transit stops only,Canada,Urban,Men+,65 years and over,11124,81.3
2023,500 metres from low-capacity public transit stops only,Canada,Urban,Women+,Total - Age groups of the population - 100% data,11124,81.9
2023,500 metres from low-capacity public transit stops only,Canada,Urban,Women+,0 to 14 years,11124,79.3
2023,500 metres from low-capacity public transit stops only,Canada,Urban,Women+,15 to 64 years,11124,82.2
2023,500 metres from low-capacity public transit stops only,Canada,Urban,Women+,15 to 19 years,11124,79.6
2023,500 metres from low-capacity public transit stops only,Canada,Urban,Women+,20 to 24 years,11124,84.4
2023,500 metres from low-capacity public transit stops only,Canada,Urban,Women+,65 years and over,11124,83.2
2023,500 metres from low-capacity public transit stops only,Canada,Rural,"Total, gender",Total - Age groups of the population - 100% data,11124,10.4
2023,500 metres from low-capacity public transit stops only,Canada,Rural,"Total, gender",0 to 14 years,11124,10.0
2023,500 metres from low-capacity public transit stops only,Canada,Rural,"Total, gender",15 to 64 years,11124,10.3
2023,500 metres from low-capacity public transit stops only,Canada,Rural,"Total, gender",15 to 19 years,11124,9.9
2023,500 metres from low-capacity public transit stops only,Canada,Rural,"Total, gender",20 to 24 years,11124,10.7
2023,500 metres from low-capacity public transit stops only,Canada,Rural,"Total, gender",65 years and over,11124,11.2
2023,500 metres from low-capacity public transit stops only,Canada,Rural,Men+,Total - Age groups of the population - 100% data,11124,10.2
2023,500 metres from low-capacity public transit stops only,Canada,Rural,Men+,0 to 14 years,11124,10.0
2023,500 metres from low-capacity public transit stops only,Canada,Rural,Men+,15 to 64 years,11124,10.2
2023,500 metres from low-capacity public transit stops only,Canada,Rural,Men+,15 to 19 years,11124,9.8
2023,500 metres from low-capacity public transit stops only,Canada,Rural,Men+,20 to 24 years,11124,10.6
2023,500 metres from low-capacity public transit stops only,Canada,Rural,Men+,65 years and over,11124,10.5
2023,500 metres from low-capacity public transit stops only,Canada,Rural,Women+,Total - Age groups of the population - 100% data,11124,10.7
2023,500 metres from low-capacity public transit stops only,Canada,Rural,Women+,0 to 14 years,11124,10.0
2023,500 metres from low-capacity public transit stops only,Canada,Rural,Women+,15 to 64 years,11124,10.4
2023,500 metres from low-capacity public transit stops only,Canada,Rural,Women+,15 to 19 years,11124,10.1
2023,500 metres from low-capacity public transit stops only,Canada,Rural,Women+,20 to 24 years,11124,10.8
2023,500 metres from low-capacity public transit stops only,Canada,Rural,Women+,65 years and over,11124,11.9
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location","Total, gender",Total - Age groups of the population - 100% data,11124,6.0
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location","Total, gender",0 to 14 years,11124,4.4
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location","Total, gender",15 to 64 years,11124,6.6
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location","Total, gender",15 to 19 years,11124,4.2
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location","Total, gender",20 to 24 years,11124,7.5
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location","Total, gender",65 years and over,11124,5.2
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location",Men+,Total - Age groups of the population - 100% data,11124,6.0
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location",Men+,0 to 14 years,11124,4.4
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location",Men+,15 to 64 years,11124,6.7
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location",Men+,15 to 19 years,11124,4.1
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location",Men+,20 to 24 years,11124,7.3
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location",Men+,65 years and over,11124,5.1
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location",Women+,Total - Age groups of the population - 100% data,11124,5.9
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location",Women+,0 to 14 years,11124,4.4
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location",Women+,15 to 64 years,11124,6.4
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location",Women+,15 to 19 years,11124,4.3
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location",Women+,20 to 24 years,11124,7.8
2023,1000 metres from high-capacity public transit stops only,Canada,"Total, location",Women+,65 years and over,11124,5.3
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,"Total, gender",Total - Age groups of the population - 100% data,11124,6.6
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,"Total, gender",0 to 14 years,11124,4.9
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,"Total, gender",15 to 64 years,11124,7.2
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,"Total, gender",15 to 19 years,11124,4.6
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,"Total, gender",20 to 24 years,11124,8.1
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,"Total, gender",65 years and over,11124,5.8
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,Men+,Total - Age groups of the population - 100% data,11124,6.7
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,Men+,0 to 14 years,11124,4.9
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,Men+,15 to 64 years,11124,7.4
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,Men+,15 to 19 years,11124,4.6
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,Men+,20 to 24 years,11124,7.8
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,Men+,65 years and over,11124,5.7
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,Women+,Total - Age groups of the population - 100% data,11124,6.5
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,Women+,0 to 14 years,11124,4.9
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,Women+,15 to 64 years,11124,7.0
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,Women+,15 to 19 years,11124,4.7
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,Women+,20 to 24 years,11124,8.4
2023,1000 metres from high-capacity public transit stops only,Canada,Urban,Women+,65 years and over,11124,5.9
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,"Total, gender",Total - Age groups of the population - 100% data,11124,0.0
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,"Total, gender",0 to 14 years,11124,0.0
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,"Total, gender",15 to 64 years,11124,0.0
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,"Total, gender",15 to 19 years,11124,0.0
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,"Total, gender",20 to 24 years,11124,0.0
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,"Total, gender",65 years and over,11124,0.1
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,Men+,Total - Age groups of the population - 100% data,11124,0.0
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,Men+,0 to 14 years,11124,0.0
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,Men+,15 to 64 years,11124,0.0
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,Men+,15 to 19 years,11124,0.0
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,Men+,20 to 24 years,11124,0.0
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,Men+,65 years and over,11124,0.0
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,Women+,Total - Age groups of the population - 100% data,11124,0.0
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,Women+,0 to 14 years,11124,0.0
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,Women+,15 to 64 years,11124,0.0
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,Women+,15 to 19 years,11124,0.0
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,Women+,20 to 24 years,11124,0.0
2023,1000 metres from high-capacity public transit stops only,Canada,Rural,Women+,65 years and over,11124,0.1
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location","Total, gender",Total - Age groups of the population - 100% data,10,54.6
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location","Total, gender",0 to 14 years,10,46.7
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location","Total, gender",15 to 64 years,10,54.6
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location","Total, gender",15 to 19 years,10,48.8
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location","Total, gender",20 to 24 years,10,62.7
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location","Total, gender",65 years and over,10,60.6
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location",Men+,Total - Age groups of the population - 100% data,10,54.0
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location",Men+,0 to 14 years,10,46.7
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location",Men+,15 to 64 years,10,54.5
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location",Men+,15 to 19 years,10,49.0
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location",Men+,20 to 24 years,10,62.9
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location",Men+,65 years and over,10,58.5
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location",Women+,Total - Age groups of the population - 100% data,10,55.1
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location",Women+,0 to 14 years,10,46.7
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location",Women+,15 to 64 years,10,54.6
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location",Women+,15 to 19 years,10,48.7
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location",Women+,20 to 24 years,10,62.5
2023,500 metres from all public transit stops,Newfoundland and Labrador,"Total, location",Women+,65 years and over,10,62.3
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,"Total, gender",Total - Age groups of the population - 100% data,10,62.2
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,"Total, gender",0 to 14 years,10,54.1
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,"Total, gender",15 to 64 years,10,62.0
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,"Total, gender",15 to 19 years,10,56.2
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,"Total, gender",20 to 24 years,10,68.5
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,"Total, gender",65 years and over,10,68.8
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,Men+,Total - Age groups of the population - 100% data,10,61.8
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,Men+,0 to 14 years,10,54.1
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,Men+,15 to 64 years,10,62.1
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,Men+,15 to 19 years,10,56.5
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,Men+,20 to 24 years,10,69.2
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,Men+,65 years and over,10,67.3
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,Women+,Total - Age groups of the population - 100% data,10,62.5
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,Women+,0 to 14 years,10,54.0
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,Women+,15 to 64 years,10,61.9
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,Women+,15 to 19 years,10,55.8
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,Women+,20 to 24 years,10,67.8
2023,500 metres from all public transit stops,Newfoundland and Labrador,Urban,Women+,65 years and over,10,70.1
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,"Total, gender",Total - Age groups of the population - 100% data,10,6.7
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,"Total, gender",0 to 14 years,10,6.7
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,"Total, gender",15 to 64 years,10,7.1
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,"Total, gender",15 to 19 years,10,6.6
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,"Total, gender",20 to 24 years,10,12.3
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,"Total, gender",65 years and over,10,5.2
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,Men+,Total - Age groups of the population - 100% data,10,6.4
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,Men+,0 to 14 years,10,6.5
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,Men+,15 to 64 years,10,6.6
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,Men+,15 to 19 years,10,6.2
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,Men+,20 to 24 years,10,10.7
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,Men+,65 years and over,10,5.1
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,Women+,Total - Age groups of the population - 100% data,10,7.0
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,Women+,0 to 14 years,10,6.6
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,Women+,15 to 64 years,10,7.6
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,Women+,15 to 19 years,10,7.2
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,Women+,20 to 24 years,10,14.3
2023,500 metres from all public transit stops,Newfoundland and Labrador,Rural,Women+,65 years and over,10,5.3
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location","Total, gender",Total - Age groups of the population - 100% data,10,54.6
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location","Total, gender",0 to 14 years,10,46.7
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location","Total, gender",15 to 64 years,10,54.6
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location","Total, gender",15 to 19 years,10,48.8
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location","Total, gender",20 to 24 years,10,62.7
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location","Total, gender",65 years and over,10,60.6
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location",Men+,Total - Age groups of the population - 100% data,10,54.0
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location",Men+,0 to 14 years,10,46.7
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location",Men+,15 to 64 years,10,54.5
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location",Men+,15 to 19 years,10,49.0
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location",Men+,20 to 24 years,10,62.9
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location",Men+,65 years and over,10,58.5
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location",Women+,Total - Age groups of the population - 100% data,10,55.1
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location",Women+,0 to 14 years,10,46.7
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location",Women+,15 to 64 years,10,54.6
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location",Women+,15 to 19 years,10,48.7
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location",Women+,20 to 24 years,10,62.5
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,"Total, location",Women+,65 years and over,10,62.3
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,"Total, gender",Total - Age groups of the population - 100% data,10,62.2
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,"Total, gender",0 to 14 years,10,54.1
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,"Total, gender",15 to 64 years,10,62.0
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,"Total, gender",15 to 19 years,10,56.2
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,"Total, gender",20 to 24 years,10,68.5
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,"Total, gender",65 years and over,10,68.8
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,Men+,Total - Age groups of the population - 100% data,10,61.8
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,Men+,0 to 14 years,10,54.2
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,Men+,15 to 64 years,10,62.1
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,Men+,15 to 19 years,10,56.5
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,Men+,20 to 24 years,10,69.2
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,Men+,65 years and over,10,67.3
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,Women+,Total - Age groups of the population - 100% data,10,62.5
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,Women+,0 to 14 years,10,54.0
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,Women+,15 to 64 years,10,61.9
