Year,Groupe d'activité,Genre,Groupe d'âge,Géographie,GeoCode,Progress,Value
2015,Soins des enfants de moins de 18 ans,Femmes+,25 à 34 ans,Canada,,,5.0
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",35 à 44 ans,Canada,,1.63636363636364,4.2
2015,Soins des enfants de moins de 18 ans,Hommes+,35 à 44 ans,Canada,,,3.3
2015,Soins des enfants de moins de 18 ans,Femmes+,35 à 44 ans,Canada,,,5.4
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",45 à 54 ans,Canada,,1.625,1.3
2015,Soins des enfants de moins de 18 ans,Hommes+,45 à 54 ans,Canada,,,0.8
2015,Soins des enfants de moins de 18 ans,Femmes+,45 à 54 ans,Canada,,,1.3
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",55 à 64 ans,Canada,,,0.4
2015,Soins des enfants de moins de 18 ans,Hommes+,55 à 64 ans,Canada,,,
2015,Soins des enfants de moins de 18 ans,Femmes+,55 à 64 ans,Canada,,,0.4
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",65 ans et plus,Canada,,1.0,0.4
2015,Soins des enfants de moins de 18 ans,Hommes+,65 ans et plus,Canada,,,0.4
2015,Soins des enfants de moins de 18 ans,Femmes+,65 ans et plus,Canada,,,0.4
2015,Soins des adultes,"Total, toutes les personnes","Total, 15 ans et plus",Canada,,,
2015,Soins des adultes,Hommes+,"Total, 15 ans et plus",Canada,,,
2015,Soins des adultes,Femmes+,"Total, 15 ans et plus",Canada,,,
2015,Soins des adultes,"Total, toutes les personnes",15 à 24 ans,Canada,,,
2015,Soins des adultes,Hommes+,15 à 24 ans,Canada,,,
2015,Soins des adultes,Femmes+,15 à 24 ans,Canada,,,0.0
2015,Soins des adultes,"Total, toutes les personnes",25 à 54 ans,Canada,,,
2015,Soins des adultes,Hommes+,25 à 54 ans,Canada,,,
2015,Soins des adultes,Femmes+,25 à 54 ans,Canada,,,
2015,Soins des adultes,"Total, toutes les personnes",25 à 34 ans,Canada,,,
2015,Soins des adultes,Hommes+,25 à 34 ans,Canada,,,
2015,Soins des adultes,Femmes+,25 à 34 ans,Canada,,,
2015,Soins des adultes,"Total, toutes les personnes",35 à 44 ans,Canada,,,
2015,Soins des adultes,Hommes+,35 à 44 ans,Canada,,,
2015,Soins des adultes,Femmes+,35 à 44 ans,Canada,,,
2015,Soins des adultes,"Total, toutes les personnes",45 à 54 ans,Canada,,,
2015,Soins des adultes,Hommes+,45 à 54 ans,Canada,,,
2015,Soins des adultes,Femmes+,45 à 54 ans,Canada,,,
2015,Soins des adultes,"Total, toutes les personnes",55 à 64 ans,Canada,,,
2015,Soins des adultes,Hommes+,55 à 64 ans,Canada,,,
2015,Soins des adultes,Femmes+,55 à 64 ans,Canada,,,0.4
2015,Soins des adultes,"Total, toutes les personnes",65 ans et plus,Canada,,,
2015,Soins des adultes,Hommes+,65 ans et plus,Canada,,,
2015,Soins des adultes,Femmes+,65 ans et plus,Canada,,,
2015,Magasinage de biens ou de services,"Total, toutes les personnes","Total, 15 ans et plus",Canada,,1.47058823529412,2.1
2015,Magasinage de biens ou de services,Hommes+,"Total, 15 ans et plus",Canada,,,1.7
2015,Magasinage de biens ou de services,Femmes+,"Total, 15 ans et plus",Canada,,,2.5
2015,Magasinage de biens ou de services,"Total, toutes les personnes",15 à 24 ans,Canada,,2.125,1.3
2015,Magasinage de biens ou de services,Hommes+,15 à 24 ans,Canada,,,0.8
2015,Magasinage de biens ou de services,Femmes+,15 à 24 ans,Canada,,,1.7
2015,Magasinage de biens ou de services,"Total, toutes les personnes",25 à 54 ans,Canada,,1.61538461538462,1.7
2015,Magasinage de biens ou de services,Hommes+,25 à 54 ans,Canada,,,1.3
2015,Magasinage de biens ou de services,Femmes+,25 à 54 ans,Canada,,,2.1
2015,Magasinage de biens ou de services,"Total, toutes les personnes",25 à 34 ans,Canada,,1.61538461538462,1.7
2015,Magasinage de biens ou de services,Hommes+,25 à 34 ans,Canada,,,1.3
2015,Magasinage de biens ou de services,Femmes+,25 à 34 ans,Canada,,,2.1
2015,Magasinage de biens ou de services,"Total, toutes les personnes",35 à 44 ans,Canada,,1.23529411764706,1.7
2015,Magasinage de biens ou de services,Hommes+,35 à 44 ans,Canada,,,1.7
2015,Magasinage de biens ou de services,Femmes+,35 à 44 ans,Canada,,,2.1
2015,Magasinage de biens ou de services,"Total, toutes les personnes",45 à 54 ans,Canada,,1.47058823529412,2.1
2015,Magasinage de biens ou de services,Hommes+,45 à 54 ans,Canada,,,1.7
2015,Magasinage de biens ou de services,Femmes+,45 à 54 ans,Canada,,,2.5
2015,Magasinage de biens ou de services,"Total, toutes les personnes",55 à 64 ans,Canada,,1.38095238095238,2.5
2015,Magasinage de biens ou de services,Hommes+,55 à 64 ans,Canada,,,2.1
2015,Magasinage de biens ou de services,Femmes+,55 à 64 ans,Canada,,,2.9
2015,Magasinage de biens ou de services,"Total, toutes les personnes",65 ans et plus,Canada,,1.16,2.5
2015,Magasinage de biens ou de services,Hommes+,65 ans et plus,Canada,,,2.5
2015,Magasinage de biens ou de services,Femmes+,65 ans et plus,Canada,,,2.9
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes","Total, 15 ans et plus",Atlantique,1,1.36283185840708,13.3
