From,To
Indicateurs de discrimination,Géographie
Géographie,Genre
Genre,Groupe d'âge
Genre,Status d'immigrant
Genre,Minorité visible
Genre,Identité autochtone
Genre,Incapacité
Genre,LGBTQ2+
Genre,Plus haut niveau de scolarité
Genre,Activité principale
Genre,Région
