Year,Units,Value
2015,"US dollar, Millions, 2023 constant prices",7.481718
2016,"US dollar, Millions, 2023 constant prices",4.898662
2017,"US dollar, Millions, 2023 constant prices",6.780004
2018,"US dollar, Millions, 2023 constant prices",9.224624
2019,"US dollar, Millions, 2023 constant prices",6.45239
2020,"US dollar, Millions, 2023 constant prices",3.023236
2021,"US dollar, Millions, 2023 constant prices",5.38804
2022,"US dollar, Millions, 2023 constant prices",2.837132
2023,"US dollar, Millions, 2023 constant prices",3.175712
