Year,Age group,Sex,Value
2000,,,0.082
2001,,,0.081
2002,,,0.08
2003,,,0.079
2004,,,0.077
2005,,,0.076
2006,,,0.075
2007,,,0.073
2008,,,0.072
2009,,,0.068
2010,,,0.063
2011,,,0.057
2012,,,0.054
2013,,,0.051
2014,,,0.052
2015,,,0.052
2016,,,0.053
2017,,,0.053
2018,,,0.054
2019,,,0.049
2020,,,0.043
2021,,,0.045
2022,,,0.048
2000,15 to 24 years,Both sexes,0.056
2001,15 to 24 years,Both sexes,0.056
2002,15 to 24 years,Both sexes,0.055
2003,15 to 24 years,Both sexes,0.055
2004,15 to 24 years,Both sexes,0.055
2005,15 to 24 years,Both sexes,0.054
2006,15 to 24 years,Both sexes,0.053
2007,15 to 24 years,Both sexes,0.053
2008,15 to 24 years,Both sexes,0.052
2009,15 to 24 years,Both sexes,0.05
2010,15 to 24 years,Both sexes,0.047
2011,15 to 24 years,Both sexes,0.043
2012,15 to 24 years,Both sexes,0.042
2013,15 to 24 years,Both sexes,0.041
2014,15 to 24 years,Both sexes,0.042
2015,15 to 24 years,Both sexes,0.043
2016,15 to 24 years,Both sexes,0.043
2017,15 to 24 years,Both sexes,0.044
2018,15 to 24 years,Both sexes,0.045
2019,15 to 24 years,Both sexes,0.042
2020,15 to 24 years,Both sexes,0.037
2021,15 to 24 years,Both sexes,0.039
2022,15 to 24 years,Both sexes,0.042
2000,15 to 24 years,Female,0.038
2001,15 to 24 years,Female,0.038
2002,15 to 24 years,Female,0.038
2003,15 to 24 years,Female,0.038
2004,15 to 24 years,Female,0.038
2005,15 to 24 years,Female,0.038
2006,15 to 24 years,Female,0.037
2007,15 to 24 years,Female,0.037
2008,15 to 24 years,Female,0.037
2009,15 to 24 years,Female,0.036
2010,15 to 24 years,Female,0.034
2011,15 to 24 years,Female,0.031
2012,15 to 24 years,Female,0.031
2013,15 to 24 years,Female,0.031
2014,15 to 24 years,Female,0.032
2015,15 to 24 years,Female,0.033
2016,15 to 24 years,Female,0.035
2017,15 to 24 years,Female,0.036
2018,15 to 24 years,Female,0.04
2019,15 to 24 years,Female,0.038
2020,15 to 24 years,Female,0.034
2021,15 to 24 years,Female,0.037
2022,15 to 24 years,Female,0.04
2000,15 to 24 years,Male,0.073
2001,15 to 24 years,Male,0.072
2002,15 to 24 years,Male,0.072
2003,15 to 24 years,Male,0.071
2004,15 to 24 years,Male,0.07
2005,15 to 24 years,Male,0.069
2006,15 to 24 years,Male,0.068
2007,15 to 24 years,Male,0.067
2008,15 to 24 years,Male,0.066
2009,15 to 24 years,Male,0.064
2010,15 to 24 years,Male,0.059
2011,15 to 24 years,Male,0.054
2012,15 to 24 years,Male,0.052
2013,15 to 24 years,Male,0.05
2014,15 to 24 years,Male,0.051
2015,15 to 24 years,Male,0.051
2016,15 to 24 years,Male,0.051
2017,15 to 24 years,Male,0.052
2018,15 to 24 years,Male,0.05
2019,15 to 24 years,Male,0.046
2020,15 to 24 years,Male,0.039
2021,15 to 24 years,Male,0.041
2022,15 to 24 years,Male,0.043
2000,15 to 49 years,Both sexes,0.14
2001,15 to 49 years,Both sexes,0.14
2002,15 to 49 years,Both sexes,0.14
2003,15 to 49 years,Both sexes,0.14
2004,15 to 49 years,Both sexes,0.13
2005,15 to 49 years,Both sexes,0.13
2006,15 to 49 years,Both sexes,0.13
2007,15 to 49 years,Both sexes,0.13
2008,15 to 49 years,Both sexes,0.13
2009,15 to 49 years,Both sexes,0.12
2010,15 to 49 years,Both sexes,0.11
2011,15 to 49 years,Both sexes,0.1
2012,15 to 49 years,Both sexes,0.099
2013,15 to 49 years,Both sexes,0.095
2014,15 to 49 years,Both sexes,0.097
2015,15 to 49 years,Both sexes,0.099
2016,15 to 49 years,Both sexes,0.1
2017,15 to 49 years,Both sexes,0.1
2018,15 to 49 years,Both sexes,0.1
2019,15 to 49 years,Both sexes,0.095
2020,15 to 49 years,Both sexes,0.083
2021,15 to 49 years,Both sexes,0.089
2022,15 to 49 years,Both sexes,0.094
2000,15 to 49 years,Female,0.062
2001,15 to 49 years,Female,0.062
2002,15 to 49 years,Female,0.062
2003,15 to 49 years,Female,0.062
2004,15 to 49 years,Female,0.062
2005,15 to 49 years,Female,0.062
2006,15 to 49 years,Female,0.061
2007,15 to 49 years,Female,0.061
2008,15 to 49 years,Female,0.06
2009,15 to 49 years,Female,0.058
2010,15 to 49 years,Female,0.054
2011,15 to 49 years,Female,0.05
2012,15 to 49 years,Female,0.05
2013,15 to 49 years,Female,0.049
2014,15 to 49 years,Female,0.051
2015,15 to 49 years,Female,0.054
2016,15 to 49 years,Female,0.056
2017,15 to 49 years,Female,0.058
2018,15 to 49 years,Female,0.064
2019,15 to 49 years,Female,0.061
2020,15 to 49 years,Female,0.054
2021,15 to 49 years,Female,0.06
2022,15 to 49 years,Female,0.066
2000,15 to 49 years,Male,0.22
2001,15 to 49 years,Male,0.21
2002,15 to 49 years,Male,0.21
2003,15 to 49 years,Male,0.21
2004,15 to 49 years,Male,0.21
2005,15 to 49 years,Male,0.2
2006,15 to 49 years,Male,0.2
2007,15 to 49 years,Male,0.2
2008,15 to 49 years,Male,0.19
2009,15 to 49 years,Male,0.18
2010,15 to 49 years,Male,0.17
2011,15 to 49 years,Male,0.16
2012,15 to 49 years,Male,0.15
2013,15 to 49 years,Male,0.14
2014,15 to 49 years,Male,0.14
2015,15 to 49 years,Male,0.14
2016,15 to 49 years,Male,0.14
2017,15 to 49 years,Male,0.15
2018,15 to 49 years,Male,0.14
2019,15 to 49 years,Male,0.13
2020,15 to 49 years,Male,0.11
2021,15 to 49 years,Male,0.12
2022,15 to 49 years,Male,0.12
2000,50 years and over,Both sexes,0.025
2001,50 years and over,Both sexes,0.025
2002,50 years and over,Both sexes,0.025
2003,50 years and over,Both sexes,0.024
2004,50 years and over,Both sexes,0.024
2005,50 years and over,Both sexes,0.024
2006,50 years and over,Both sexes,0.023
2007,50 years and over,Both sexes,0.023
2008,50 years and over,Both sexes,0.023
2009,50 years and over,Both sexes,0.022
2010,50 years and over,Both sexes,0.02
2011,50 years and over,Both sexes,0.018
2012,50 years and over,Both sexes,0.017
2013,50 years and over,Both sexes,0.016
2014,50 years and over,Both sexes,0.016
2015,50 years and over,Both sexes,0.016
2016,50 years and over,Both sexes,0.016
2017,50 years and over,Both sexes,0.015
2018,50 years and over,Both sexes,0.015
2019,50 years and over,Both sexes,0.013
2020,50 years and over,Both sexes,0.011
2021,50 years and over,Both sexes,0.012
2022,50 years and over,Both sexes,0.012
2000,50 years and over,Female,0.0098
2001,50 years and over,Female,0.01
2002,50 years and over,Female,0.01
2003,50 years and over,Female,0.01
2004,50 years and over,Female,0.01
2005,50 years and over,Female,0.01
2006,50 years and over,Female,0.01
2007,50 years and over,Female,0.0099
2008,50 years and over,Female,0.0098
2009,50 years and over,Female,0.0094
2010,50 years and over,Female,0.0087
