Year,Industry,Geography,GeoCode,Value
2015,,,,9.49
2016,,,,9.28
2017,,,,9.26
2018,,,,9.32
2019,,,,9.3
2020,,,,9.33
2021,,,,9.22
2022,,,,8.9
2023,,,,8.7
2024,,,,8.59
2015,Non-durable goods,Canada,,3.86
2015,Food manufacturing,Canada,,1.42
2015,Animal food manufacturing,Canada,,0.06
2015,Grain and oilseed milling,Canada,,0.05
2015,Sugar and confectionery product manufacturing,Canada,,0.07
2015,Fruit and vegetable preserving and specialty food manufacturing,Canada,,0.11
2015,Dairy product manufacturing,Canada,,0.15
2015,Meat product manufacturing,Canada,,0.36
2015,Seafood product preparation and packaging,Canada,,0.15
2015,Bakeries and tortilla manufacturing,Canada,,0.28
2015,Other food manufacturing,Canada,,0.19
2015,Beverage and tobacco product manufacturing,Canada,,0.22
2015,Beverage manufacturing,Canada,,0.2
2015,Tobacco manufacturing,Canada,,0.02
2015,Textile mills,Canada,,0.05
2015,"Fibre, yarn and thread mills",Canada,,0.01
2015,Fabric mills,Canada,,0.03
2015,Textile and fabric finishing and fabric coating,Canada,,0.01
2015,Textile product mills,Canada,,0.06
2015,Textile furnishings mills,Canada,,0.02
2015,Other textile product mills,Canada,,0.04
2015,Apparel manufacturing,Canada,,0.13
2015,Apparel knitting mills,Canada,,0.01
2015,Cut and sew clothing manufacturing,Canada,,0.1
2015,Clothing accessories and other clothing manufacturing,Canada,,0.01
2015,Leather and allied product manufacturing,Canada,,0.02
2015,Leather and hide tanning and finishing,Canada,,0.0
2015,Footwear manufacturing,Canada,,0.01
2015,Other leather and allied product manufacturing,Canada,,0.01
2015,Paper manufacturing,Canada,,0.35
2015,"Pulp, paper and paperboard mills",Canada,,0.17
2015,Converted paper product manufacturing,Canada,,0.18
2015,Printing and related support activities,Canada,,0.31
2015,Petroleum and coal product manufacturing,Canada,,0.12
2015,Chemical manufacturing,Canada,,0.56
2015,Basic chemical manufacturing,Canada,,0.08
2015,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing",Canada,,0.04
2015,"Pesticide, fertilizer and other agricultural chemical manufacturing",Canada,,0.05
2015,Pharmaceutical and medicine manufacturing,Canada,,0.17
2015,"Paint, coating and adhesive manufacturing",Canada,,0.05
2015,"Soap, cleaning compound and toilet preparation manufacturing",Canada,,0.1
2015,Other chemical product manufacturing,Canada,,0.07
2015,Plastics and rubber products manufacturing,Canada,,0.62
2015,Plastic product manufacturing,Canada,,0.51
2015,Rubber product manufacturing,Canada,,0.11
2015,Durable goods,Canada,,5.63
2015,Wood product manufacturing,Canada,,0.59
2015,Sawmills and wood preservation,Canada,,0.23
2015,"Veneer, plywood and engineered wood product manufacturing",Canada,,0.11
2015,Other wood product manufacturing,Canada,,0.24
2015,Non-metallic mineral product manufacturing,Canada,,0.33
2015,Clay product and refractory manufacturing,Canada,,0.01
2015,Glass and glass product manufacturing,Canada,,0.05
2015,Cement and concrete product manufacturing,Canada,,0.2
2015,Lime and gypsum product manufacturing,Canada,,0.01
2015,Other non-metallic mineral product manufacturing,Canada,,0.06
2015,Primary metal manufacturing,Canada,,0.36
2015,Iron and steel mills and ferro-alloy manufacturing,Canada,,0.11
2015,Steel product manufacturing from purchased steel,Canada,,0.05
2015,Alumina and aluminum production and processing,Canada,,0.06
2015,Non-ferrous metal (except aluminum) production and processing,Canada,,0.09
2015,Foundries,Canada,,0.06
2015,Fabricated metal product manufacturing,Canada,,0.98
2015,Forging and stamping,Canada,,0.04
2015,Cutlery and hand tool manufacturing,Canada,,0.02
2015,Architectural and structural metals manufacturing,Canada,,0.38
2015,"Boiler, tank and shipping container manufacturing",Canada,,0.08
2015,Hardware manufacturing,Canada,,0.03
2015,Spring and wire product manufacturing,Canada,,0.03
2015,"Machine shops, turned product, and screw, nut and bolt manufacturing",Canada,,0.21
2015,"Coating, engraving, cold and heat treating and allied activities",Canada,,0.07
2015,Other fabricated metal product manufacturing,Canada,,0.12
2015,Machinery manufacturing,Canada,,0.84
2015,"Agricultural, construction and mining machinery manufacturing",Canada,,0.2
2015,Industrial machinery manufacturing,Canada,,0.09
2015,Commercial and service industry machinery manufacturing,Canada,,0.09
2015,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",Canada,,0.09
2015,Metalworking machinery manufacturing,Canada,,0.13
2015,"Engine, turbine and power transmission equipment manufacturing",Canada,,0.05
2015,Other general-purpose machinery manufacturing,Canada,,0.19
2015,Computer and electronic product manufacturing,Canada,,0.35
2015,Computer and peripheral equipment manufacturing,Canada,,0.03
2015,Communications equipment manufacturing,Canada,,0.09
2015,Audio and video equipment manufacturing,Canada,,0.01
2015,Semiconductor and other electronic component manufacturing,Canada,,0.08
2015,"Navigational, measuring, medical and control instruments manufacturing",Canada,,0.13
2015,Manufacturing and reproducing magnetic and optical media,Canada,,0.01
2015,"Electrical equipment, appliance and component manufacturing",Canada,,0.21
2015,Electric lighting equipment manufacturing,Canada,,0.03
2015,Household appliance manufacturing,Canada,,0.01
2015,Electrical equipment manufacturing,Canada,,0.1
2015,Other electrical equipment and component manufacturing,Canada,,0.07
2015,Transportation equipment manufacturing,Canada,,1.2
2015,Motor vehicle manufacturing,Canada,,0.27
2015,Motor vehicle body and trailer manufacturing,Canada,,0.08
2015,Motor vehicle parts manufacturing,Canada,,0.45
2015,Aerospace product and parts manufacturing,Canada,,0.28
2015,Railroad rolling stock manufacturing,Canada,,0.03
2015,Ship and boat building,Canada,,0.04
2015,Other transportation equipment manufacturing,Canada,,0.05
2015,Furniture and related product manufacturing,Canada,,0.4
2015,Household and institutional furniture and kitchen cabinet manufacturing,Canada,,0.25
2015,Office furniture (including fixtures) manufacturing,Canada,,0.12
2015,Other furniture-related product manufacturing,Canada,,0.03
2015,Miscellaneous manufacturing,Canada,,0.36
2015,Medical equipment and supplies manufacturing,Canada,,0.11
2015,Other miscellaneous manufacturing,Canada,,0.25
2015,Total manufacturing,Newfoundland and Labrador,10,5.86
2015,Non-durable goods,Newfoundland and Labrador,10,4.39
2015,Food manufacturing,Newfoundland and Labrador,10,3.44
2015,Seafood product preparation and packaging,Newfoundland and Labrador,10,2.89
2015,Bakeries and tortilla manufacturing,Newfoundland and Labrador,10,0.11
2015,Beverage and tobacco product manufacturing,Newfoundland and Labrador,10,0.18
2015,Textile product mills,Newfoundland and Labrador,10,0.02
2015,Printing and related support activities,Newfoundland and Labrador,10,0.09
2015,Durable goods,Newfoundland and Labrador,10,1.47
2015,Wood product manufacturing,Newfoundland and Labrador,10,0.17
2015,Cement and concrete product manufacturing,Newfoundland and Labrador,10,0.14
2015,Fabricated metal product manufacturing,Newfoundland and Labrador,10,0.41
2015,Architectural and structural metals manufacturing,Newfoundland and Labrador,10,0.15
2015,"Agricultural, construction and mining machinery manufacturing",Newfoundland and Labrador,10,0.07
2015,Transportation equipment manufacturing,Newfoundland and Labrador,10,0.25
2015,Ship and boat building,Newfoundland and Labrador,10,0.2
2015,Furniture and related product manufacturing,Newfoundland and Labrador,10,0.12
2015,Other miscellaneous manufacturing,Newfoundland and Labrador,10,0.06
2015,Total manufacturing,Prince Edward Island,11,7.67
2015,Non-durable goods,Prince Edward Island,11,5.03
2015,Food manufacturing,Prince Edward Island,11,3.59
2015,Fruit and vegetable preserving and specialty food manufacturing,Prince Edward Island,11,0.57
2015,Durable goods,Prince Edward Island,11,2.64
2015,Wood product manufacturing,Prince Edward Island,11,0.16
2015,Transportation equipment manufacturing,Prince Edward Island,11,0.95
2015,Total manufacturing,Nova Scotia,12,7.46
2015,Non-durable goods,Nova Scotia,12,4.56
2015,Food manufacturing,Nova Scotia,12,2.03
2015,Dairy product manufacturing,Nova Scotia,12,0.22
2015,Seafood product preparation and packaging,Nova Scotia,12,1.13
2015,Bakeries and tortilla manufacturing,Nova Scotia,12,0.24
2015,Beverage and tobacco product manufacturing,Nova Scotia,12,0.21
2015,Textile product mills,Nova Scotia,12,0.1
2015,Apparel manufacturing,Nova Scotia,12,0.12
2015,Paper manufacturing,Nova Scotia,12,0.26
2015,Printing and related support activities,Nova Scotia,12,0.17
2015,Chemical manufacturing,Nova Scotia,12,0.17
2015,"Paint, coating and adhesive manufacturing",Nova Scotia,12,0.02
2015,Other chemical product manufacturing,Nova Scotia,12,0.02
2015,Plastics and rubber products manufacturing,Nova Scotia,12,1.31
2015,Durable goods,Nova Scotia,12,2.89
2015,Wood product manufacturing,Nova Scotia,12,0.46
2015,Sawmills and wood preservation,Nova Scotia,12,0.23
2015,"Veneer, plywood and engineered wood product manufacturing",Nova Scotia,12,0.09
2015,Other wood product manufacturing,Nova Scotia,12,0.14
2015,Non-metallic mineral product manufacturing,Nova Scotia,12,0.17
2015,Cement and concrete product manufacturing,Nova Scotia,12,0.15
2015,Fabricated metal product manufacturing,Nova Scotia,12,0.51
2015,Architectural and structural metals manufacturing,Nova Scotia,12,0.26
2015,"Machine shops, turned product, and screw, nut and bolt manufacturing",Nova Scotia,12,0.11
2015,Other fabricated metal product manufacturing,Nova Scotia,12,0.06
2015,Machinery manufacturing,Nova Scotia,12,0.24
2015,Industrial machinery manufacturing,Nova Scotia,12,0.04
2015,Commercial and service industry machinery manufacturing,Nova Scotia,12,0.08
2015,Other general-purpose machinery manufacturing,Nova Scotia,12,0.03
2015,Computer and electronic product manufacturing,Nova Scotia,12,0.2
2015,"Navigational, measuring, medical and control instruments manufacturing",Nova Scotia,12,0.1
2015,Transportation equipment manufacturing,Nova Scotia,12,0.98
2015,Aerospace product and parts manufacturing,Nova Scotia,12,0.46
2015,Ship and boat building,Nova Scotia,12,0.46
2015,Furniture and related product manufacturing,Nova Scotia,12,0.1
2015,Miscellaneous manufacturing,Nova Scotia,12,0.14
2015,Medical equipment and supplies manufacturing,Nova Scotia,12,0.04
2015,Other miscellaneous manufacturing,Nova Scotia,12,0.1
2015,Total manufacturing,New Brunswick,13,9.52
2015,Non-durable goods,New Brunswick,13,5.53
2015,Food manufacturing,New Brunswick,13,3.65
2015,Meat product manufacturing,New Brunswick,13,0.39
2015,Seafood product preparation and packaging,New Brunswick,13,1.48
2015,Bakeries and tortilla manufacturing,New Brunswick,13,0.19
2015,Other food manufacturing,New Brunswick,13,0.21
2015,Beverage and tobacco product manufacturing,New Brunswick,13,0.21
2015,Textile product mills,New Brunswick,13,0.06
2015,Paper manufacturing,New Brunswick,13,0.85
2015,"Pulp, paper and paperboard mills",New Brunswick,13,0.7
2015,Converted paper product manufacturing,New Brunswick,13,0.15
2015,Printing and related support activities,New Brunswick,13,0.08
2015,Chemical manufacturing,New Brunswick,13,0.1
2015,"Pesticide, fertilizer and other agricultural chemical manufacturing",New Brunswick,13,0.05
2015,Plastics and rubber products manufacturing,New Brunswick,13,0.4
2015,Durable goods,New Brunswick,13,3.99
2015,Wood product manufacturing,New Brunswick,13,1.42
2015,Sawmills and wood preservation,New Brunswick,13,0.82
2015,"Veneer, plywood and engineered wood product manufacturing",New Brunswick,13,0.17
2015,Other wood product manufacturing,New Brunswick,13,0.43
2015,Non-metallic mineral product manufacturing,New Brunswick,13,0.3
2015,Cement and concrete product manufacturing,New Brunswick,13,0.13
2015,Lime and gypsum product manufacturing,New Brunswick,13,0.04
2015,Other non-metallic mineral product manufacturing,New Brunswick,13,0.11
2015,Fabricated metal product manufacturing,New Brunswick,13,0.75
2015,Architectural and structural metals manufacturing,New Brunswick,13,0.48
2015,"Boiler, tank and shipping container manufacturing",New Brunswick,13,0.05
2015,"Machine shops, turned product, and screw, nut and bolt manufacturing",New Brunswick,13,0.12
2015,Machinery manufacturing,New Brunswick,13,0.31
2015,"Agricultural, construction and mining machinery manufacturing",New Brunswick,13,0.05
2015,Industrial machinery manufacturing,New Brunswick,13,0.02
2015,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",New Brunswick,13,0.15
2015,Other general-purpose machinery manufacturing,New Brunswick,13,0.06
2015,Motor vehicle body and trailer manufacturing,New Brunswick,13,0.08
2015,Furniture and related product manufacturing,New Brunswick,13,0.24
2015,Household and institutional furniture and kitchen cabinet manufacturing,New Brunswick,13,0.22
2015,Miscellaneous manufacturing,New Brunswick,13,0.5
2015,Medical equipment and supplies manufacturing,New Brunswick,13,0.04
2015,Other miscellaneous manufacturing,New Brunswick,13,0.46
2015,Total manufacturing,Quebec,24,11.63
2015,Non-durable goods,Quebec,24,4.88
2015,Food manufacturing,Quebec,24,1.59
2015,Animal food manufacturing,Quebec,24,0.07
2015,Grain and oilseed milling,Quebec,24,0.03
2015,Sugar and confectionery product manufacturing,Quebec,24,0.09
2015,Fruit and vegetable preserving and specialty food manufacturing,Quebec,24,0.13
2015,Dairy product manufacturing,Quebec,24,0.25
2015,Meat product manufacturing,Quebec,24,0.47
2015,Seafood product preparation and packaging,Quebec,24,0.04
2015,Bakeries and tortilla manufacturing,Quebec,24,0.32
2015,Other food manufacturing,Quebec,24,0.18
2015,Beverage and tobacco product manufacturing,Quebec,24,0.22
2015,Textile mills,Quebec,24,0.11
2015,"Fibre, yarn and thread mills",Quebec,24,0.01
2015,Fabric mills,Quebec,24,0.08
2015,Textile and fabric finishing and fabric coating,Quebec,24,0.01
2015,Textile product mills,Quebec,24,0.09
2015,Textile furnishings mills,Quebec,24,0.04
2015,Other textile product mills,Quebec,24,0.05
2015,Apparel manufacturing,Quebec,24,0.31
2015,Apparel knitting mills,Quebec,24,0.03
2015,Cut and sew clothing manufacturing,Quebec,24,0.26
2015,Clothing accessories and other clothing manufacturing,Quebec,24,0.02
2015,Leather and allied product manufacturing,Quebec,24,0.04
2015,Leather and hide tanning and finishing,Quebec,24,0.0
2015,Footwear manufacturing,Quebec,24,0.03
2015,Other leather and allied product manufacturing,Quebec,24,0.01
2015,Paper manufacturing,Quebec,24,0.62
2015,"Pulp, paper and paperboard mills",Quebec,24,0.25
2015,Converted paper product manufacturing,Quebec,24,0.37
2015,Printing and related support activities,Quebec,24,0.35
2015,Petroleum and coal product manufacturing,Quebec,24,0.1
2015,Chemical manufacturing,Quebec,24,0.65
2015,Basic chemical manufacturing,Quebec,24,0.08
2015,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing",Quebec,24,0.03
2015,"Pesticide, fertilizer and other agricultural chemical manufacturing",Quebec,24,0.06
2015,Pharmaceutical and medicine manufacturing,Quebec,24,0.22
2015,"Paint, coating and adhesive manufacturing",Quebec,24,0.07
2015,"Soap, cleaning compound and toilet preparation manufacturing",Quebec,24,0.11
2015,Other chemical product manufacturing,Quebec,24,0.09
2015,Plastics and rubber products manufacturing,Quebec,24,0.81
2015,Plastic product manufacturing,Quebec,24,0.62
2015,Rubber product manufacturing,Quebec,24,0.2
2015,Durable goods,Quebec,24,6.75
2015,Wood product manufacturing,Quebec,24,0.84
2015,Sawmills and wood preservation,Quebec,24,0.31
2015,"Veneer, plywood and engineered wood product manufacturing",Quebec,24,0.14
2015,Other wood product manufacturing,Quebec,24,0.38
2015,Non-metallic mineral product manufacturing,Quebec,24,0.42
2015,Clay product and refractory manufacturing,Quebec,24,0.02
2015,Glass and glass product manufacturing,Quebec,24,0.07
2015,Cement and concrete product manufacturing,Quebec,24,0.24
2015,Lime and gypsum product manufacturing,Quebec,24,0.02
2015,Other non-metallic mineral product manufacturing,Quebec,24,0.07
2015,Primary metal manufacturing,Quebec,24,0.46
2015,Alumina and aluminum production and processing,Quebec,24,0.17
2015,Non-ferrous metal (except aluminum) production and processing,Quebec,24,0.12
2015,Foundries,Quebec,24,0.09
2015,Fabricated metal product manufacturing,Quebec,24,1.16
2015,Forging and stamping,Quebec,24,0.07
2015,Cutlery and hand tool manufacturing,Quebec,24,0.03
2015,Architectural and structural metals manufacturing,Quebec,24,0.47
2015,"Boiler, tank and shipping container manufacturing",Quebec,24,0.07
2015,Hardware manufacturing,Quebec,24,0.01
2015,Spring and wire product manufacturing,Quebec,24,0.04
2015,"Machine shops, turned product, and screw, nut and bolt manufacturing",Quebec,24,0.26
2015,"Coating, engraving, cold and heat treating and allied activities",Quebec,24,0.07
2015,Other fabricated metal product manufacturing,Quebec,24,0.15
2015,Machinery manufacturing,Quebec,24,0.83
2015,"Agricultural, construction and mining machinery manufacturing",Quebec,24,0.11
2015,Industrial machinery manufacturing,Quebec,24,0.13
2015,Commercial and service industry machinery manufacturing,Quebec,24,0.16
2015,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",Quebec,24,0.13
2015,Metalworking machinery manufacturing,Quebec,24,0.06
2015,"Engine, turbine and power transmission equipment manufacturing",Quebec,24,0.07
2015,Other general-purpose machinery manufacturing,Quebec,24,0.17
2015,Computer and electronic product manufacturing,Quebec,24,0.4
2015,Computer and peripheral equipment manufacturing,Quebec,24,0.02
2015,Communications equipment manufacturing,Quebec,24,0.09
2015,Audio and video equipment manufacturing,Quebec,24,0.01
2015,Semiconductor and other electronic component manufacturing,Quebec,24,0.12
2015,"Navigational, measuring, medical and control instruments manufacturing",Quebec,24,0.15
2015,Manufacturing and reproducing magnetic and optical media,Quebec,24,0.01
2015,"Electrical equipment, appliance and component manufacturing",Quebec,24,0.3
2015,Electric lighting equipment manufacturing,Quebec,24,0.06
2015,Household appliance manufacturing,Quebec,24,0.02
2015,Electrical equipment manufacturing,Quebec,24,0.13
2015,Other electrical equipment and component manufacturing,Quebec,24,0.08
2015,Transportation equipment manufacturing,Quebec,24,1.27
2015,Motor vehicle manufacturing,Quebec,24,0.1
2015,Motor vehicle body and trailer manufacturing,Quebec,24,0.11
2015,Motor vehicle parts manufacturing,Quebec,24,0.1
2015,Aerospace product and parts manufacturing,Quebec,24,0.76
2015,Other transportation equipment manufacturing,Quebec,24,0.11
2015,Furniture and related product manufacturing,Quebec,24,0.6
2015,Household and institutional furniture and kitchen cabinet manufacturing,Quebec,24,0.41
2015,Office furniture (including fixtures) manufacturing,Quebec,24,0.15
2015,Other furniture-related product manufacturing,Quebec,24,0.03
2015,Miscellaneous manufacturing,Quebec,24,0.47
2015,Medical equipment and supplies manufacturing,Quebec,24,0.13
2015,Other miscellaneous manufacturing,Quebec,24,0.34
2015,Total manufacturing,Ontario,35,10.91
2015,Non-durable goods,Ontario,35,4.11
2015,Food manufacturing,Ontario,35,1.35
2015,Animal food manufacturing,Ontario,35,0.06
2015,Grain and oilseed milling,Ontario,35,0.07
2015,Sugar and confectionery product manufacturing,Ontario,35,0.08
2015,Fruit and vegetable preserving and specialty food manufacturing,Ontario,35,0.11
2015,Dairy product manufacturing,Ontario,35,0.14
2015,Meat product manufacturing,Ontario,35,0.29
2015,Seafood product preparation and packaging,Ontario,35,0.01
2015,Bakeries and tortilla manufacturing,Ontario,35,0.35
2015,Other food manufacturing,Ontario,35,0.24
2015,Beverage and tobacco product manufacturing,Ontario,35,0.26
2015,Textile mills,Ontario,35,0.05
2015,"Fibre, yarn and thread mills",Ontario,35,0.01
2015,Fabric mills,Ontario,35,0.02
2015,Textile and fabric finishing and fabric coating,Ontario,35,0.02
2015,Textile product mills,Ontario,35,0.07
2015,Textile furnishings mills,Ontario,35,0.02
2015,Other textile product mills,Ontario,35,0.05
2015,Apparel manufacturing,Ontario,35,0.08
2015,Apparel knitting mills,Ontario,35,0.01
2015,Cut and sew clothing manufacturing,Ontario,35,0.06
2015,Clothing accessories and other clothing manufacturing,Ontario,35,0.02
2015,Leather and allied product manufacturing,Ontario,35,0.02
2015,Leather and hide tanning and finishing,Ontario,35,0.01
2015,Footwear manufacturing,Ontario,35,0.0
2015,Other leather and allied product manufacturing,Ontario,35,0.01
2015,Paper manufacturing,Ontario,35,0.27
2015,"Pulp, paper and paperboard mills",Ontario,35,0.08
2015,Converted paper product manufacturing,Ontario,35,0.19
2015,Printing and related support activities,Ontario,35,0.38
2015,Petroleum and coal product manufacturing,Ontario,35,0.1
2015,Chemical manufacturing,Ontario,35,0.73
2015,Basic chemical manufacturing,Ontario,35,0.08
2015,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing",Ontario,35,0.07
2015,"Pesticide, fertilizer and other agricultural chemical manufacturing",Ontario,35,0.02
2015,Pharmaceutical and medicine manufacturing,Ontario,35,0.25
2015,"Paint, coating and adhesive manufacturing",Ontario,35,0.07
2015,"Soap, cleaning compound and toilet preparation manufacturing",Ontario,35,0.17
2015,Other chemical product manufacturing,Ontario,35,0.09
2015,Plastics and rubber products manufacturing,Ontario,35,0.79
2015,Plastic product manufacturing,Ontario,35,0.69
2015,Rubber product manufacturing,Ontario,35,0.09
2015,Durable goods,Ontario,35,6.8
2015,Wood product manufacturing,Ontario,35,0.27
2015,Sawmills and wood preservation,Ontario,35,0.05
2015,"Veneer, plywood and engineered wood product manufacturing",Ontario,35,0.05
2015,Other wood product manufacturing,Ontario,35,0.17
2015,Non-metallic mineral product manufacturing,Ontario,35,0.34
2015,Clay product and refractory manufacturing,Ontario,35,0.02
2015,Glass and glass product manufacturing,Ontario,35,0.06
2015,Cement and concrete product manufacturing,Ontario,35,0.19
2015,Lime and gypsum product manufacturing,Ontario,35,0.01
2015,Other non-metallic mineral product manufacturing,Ontario,35,0.06
2015,Primary metal manufacturing,Ontario,35,0.47
2015,Iron and steel mills and ferro-alloy manufacturing,Ontario,35,0.22
2015,Steel product manufacturing from purchased steel,Ontario,35,0.06
2015,Alumina and aluminum production and processing,Ontario,35,0.05
2015,Non-ferrous metal (except aluminum) production and processing,Ontario,35,0.08
2015,Foundries,Ontario,35,0.07
2015,Fabricated metal product manufacturing,Ontario,35,1.09
2015,Forging and stamping,Ontario,35,0.06
2015,Cutlery and hand tool manufacturing,Ontario,35,0.03
2015,Architectural and structural metals manufacturing,Ontario,35,0.36
2015,"Boiler, tank and shipping container manufacturing",Ontario,35,0.07
2015,Hardware manufacturing,Ontario,35,0.06
2015,Spring and wire product manufacturing,Ontario,35,0.03
2015,"Machine shops, turned product, and screw, nut and bolt manufacturing",Ontario,35,0.24
2015,"Coating, engraving, cold and heat treating and allied activities",Ontario,35,0.09
2015,Other fabricated metal product manufacturing,Ontario,35,0.15
2015,Machinery manufacturing,Ontario,35,1.01
2015,"Agricultural, construction and mining machinery manufacturing",Ontario,35,0.13
2015,Industrial machinery manufacturing,Ontario,35,0.11
2015,Commercial and service industry machinery manufacturing,Ontario,35,0.12
2015,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",Ontario,35,0.08
2015,Metalworking machinery manufacturing,Ontario,35,0.27
2015,"Engine, turbine and power transmission equipment manufacturing",Ontario,35,0.06
2015,Other general-purpose machinery manufacturing,Ontario,35,0.25
2015,Computer and electronic product manufacturing,Ontario,35,0.5
2015,Computer and peripheral equipment manufacturing,Ontario,35,0.05
2015,Communications equipment manufacturing,Ontario,35,0.15
2015,Audio and video equipment manufacturing,Ontario,35,0.01
2015,Semiconductor and other electronic component manufacturing,Ontario,35,0.1
2015,"Navigational, measuring, medical and control instruments manufacturing",Ontario,35,0.17
2015,Manufacturing and reproducing magnetic and optical media,Ontario,35,0.02
2015,"Electrical equipment, appliance and component manufacturing",Ontario,35,0.27
2015,Electric lighting equipment manufacturing,Ontario,35,0.03
2015,Household appliance manufacturing,Ontario,35,0.02
2015,Electrical equipment manufacturing,Ontario,35,0.13
2015,Other electrical equipment and component manufacturing,Ontario,35,0.09
2015,Transportation equipment manufacturing,Ontario,35,2.0
2015,Motor vehicle manufacturing,Ontario,35,0.59
2015,Motor vehicle body and trailer manufacturing,Ontario,35,0.06
2015,Motor vehicle parts manufacturing,Ontario,35,1.07
2015,Aerospace product and parts manufacturing,Ontario,35,0.16
2015,Railroad rolling stock manufacturing,Ontario,35,0.05
2015,Ship and boat building,Ontario,35,0.01
2015,Other transportation equipment manufacturing,Ontario,35,0.05
2015,Furniture and related product manufacturing,Ontario,35,0.44
2015,Household and institutional furniture and kitchen cabinet manufacturing,Ontario,35,0.21
2015,Office furniture (including fixtures) manufacturing,Ontario,35,0.21
2015,Other furniture-related product manufacturing,Ontario,35,0.03
2015,Miscellaneous manufacturing,Ontario,35,0.4
2015,Medical equipment and supplies manufacturing,Ontario,35,0.14
2015,Other miscellaneous manufacturing,Ontario,35,0.26
2015,Total manufacturing,Manitoba,46,9.36
2015,Non-durable goods,Manitoba,46,3.83
2015,Food manufacturing,Manitoba,46,1.7
2015,Grain and oilseed milling,Manitoba,46,0.11
2015,Dairy product manufacturing,Manitoba,46,0.07
2015,Meat product manufacturing,Manitoba,46,0.88
2015,Bakeries and tortilla manufacturing,Manitoba,46,0.19
2015,Other food manufacturing,Manitoba,46,0.17
2015,Beverage and tobacco product manufacturing,Manitoba,46,0.14
2015,Textile product mills,Manitoba,46,0.05
2015,Apparel manufacturing,Manitoba,46,0.13
2015,Cut and sew clothing manufacturing,Manitoba,46,0.12
2015,Paper manufacturing,Manitoba,46,0.18
2015,Printing and related support activities,Manitoba,46,0.54
2015,Chemical manufacturing,Manitoba,46,0.43
2015,Basic chemical manufacturing,Manitoba,46,0.06
2015,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing",Manitoba,46,0.01
2015,"Pesticide, fertilizer and other agricultural chemical manufacturing",Manitoba,46,0.1
2015,Pharmaceutical and medicine manufacturing,Manitoba,46,0.2
2015,"Paint, coating and adhesive manufacturing",Manitoba,46,0.04
2015,"Soap, cleaning compound and toilet preparation manufacturing",Manitoba,46,0.01
2015,Other chemical product manufacturing,Manitoba,46,0.02
2015,Plastics and rubber products manufacturing,Manitoba,46,0.59
2015,Durable goods,Manitoba,46,5.53
2015,Wood product manufacturing,Manitoba,46,0.39
2015,Other wood product manufacturing,Manitoba,46,0.27
2015,Non-metallic mineral product manufacturing,Manitoba,46,0.24
2015,Cement and concrete product manufacturing,Manitoba,46,0.19
2015,Other non-metallic mineral product manufacturing,Manitoba,46,0.02
2015,Primary metal manufacturing,Manitoba,46,0.59
2015,Foundries,Manitoba,46,0.12
2015,Fabricated metal product manufacturing,Manitoba,46,0.74
2015,Architectural and structural metals manufacturing,Manitoba,46,0.3
2015,"Boiler, tank and shipping container manufacturing",Manitoba,46,0.13
2015,Spring and wire product manufacturing,Manitoba,46,0.02
2015,"Machine shops, turned product, and screw, nut and bolt manufacturing",Manitoba,46,0.18
2015,"Coating, engraving, cold and heat treating and allied activities",Manitoba,46,0.05
2015,Other fabricated metal product manufacturing,Manitoba,46,0.05
2015,Machinery manufacturing,Manitoba,46,1.05
2015,"Agricultural, construction and mining machinery manufacturing",Manitoba,46,0.68
2015,Industrial machinery manufacturing,Manitoba,46,0.05
2015,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",Manitoba,46,0.08
2015,Metalworking machinery manufacturing,Manitoba,46,0.03
2015,Other general-purpose machinery manufacturing,Manitoba,46,0.16
2015,Computer and electronic product manufacturing,Manitoba,46,0.07
2015,Semiconductor and other electronic component manufacturing,Manitoba,46,0.03
2015,"Electrical equipment, appliance and component manufacturing",Manitoba,46,0.11
2015,Electrical equipment manufacturing,Manitoba,46,0.1
2015,Transportation equipment manufacturing,Manitoba,46,1.36
2015,Motor vehicle body and trailer manufacturing,Manitoba,46,0.21
2015,Motor vehicle parts manufacturing,Manitoba,46,0.07
2015,Aerospace product and parts manufacturing,Manitoba,46,0.64
2015,Furniture and related product manufacturing,Manitoba,46,0.68
2015,Household and institutional furniture and kitchen cabinet manufacturing,Manitoba,46,0.63
2015,Office furniture (including fixtures) manufacturing,Manitoba,46,0.04
2015,Other furniture-related product manufacturing,Manitoba,46,0.01
2015,Miscellaneous manufacturing,Manitoba,46,0.3
2015,Medical equipment and supplies manufacturing,Manitoba,46,0.09
2015,Other miscellaneous manufacturing,Manitoba,46,0.21
2015,Total manufacturing,Saskatchewan,47,5.11
2015,Non-durable goods,Saskatchewan,47,1.78
2015,Food manufacturing,Saskatchewan,47,0.82
2015,Animal food manufacturing,Saskatchewan,47,0.09
