Year,Industry,Size,Value
2020,"Motor vehicles, trailers and semi-trailers",1-9 employees,0.323041912425708
2020,Furniture,1-9 employees,1.28475357220297
2020,Other manufacturing,1-9 employees,4.38876882963616
2020,Total manufacturing,1-9 employees,1.26752664761964
2021,Food products,1-9 employees,0.64723128993501
2021,Beverages,1-9 employees,1.3447048605179
2021,Textiles,1-9 employees,4.07139543520528
2021,"Wood products, excluding furniture",1-9 employees,0.692217801952955
2021,Paper and paper products,1-9 employees,0.207833384275465
2021,Printing and reproduction of recorded media,1-9 employees,1.91557655457709
2021,Coke and refined petroleum products,1-9 employees,1.1985380795112
2021,Rubber and plastics products,1-9 employees,0.691710422366754
2021,Other non-metallic mineral products,1-9 employees,3.76604224680294
2021,Basic metals,1-9 employees,0.172370291455102
2021,"Fabricated metal products, except machinery",1-9 employees,1.30173817202938
2021,"Computer, electronic and optical products",1-9 employees,0.606106722645513
2021,Electrical equipment,1-9 employees,1.18185732523793
2021,Machinery and equipment n.e.c.,1-9 employees,0.638270380059115
2021,"Motor vehicles, trailers and semi-trailers",1-9 employees,0.294676127139706
2021,Furniture,1-9 employees,1.81894050338327
2021,Other manufacturing,1-9 employees,3.02075388072678
2021,Total manufacturing,1-9 employees,0.974373335448847
2022,Food products,1-9 employees,0.678203009583951
2022,Beverages,1-9 employees,0.818469581537439
2022,Textiles,1-9 employees,3.5089524623282
2022,"Wood products, excluding furniture",1-9 employees,1.00961922465893
2022,Paper and paper products,1-9 employees,0.624064865136988
2022,Printing and reproduction of recorded media,1-9 employees,1.8078645123208
2022,Coke and refined petroleum products,1-9 employees,0.943068155994021
2022,Rubber and plastics products,1-9 employees,0.813727066418687
2022,Other non-metallic mineral products,1-9 employees,6.68506529816458
2022,Basic metals,1-9 employees,0.65342116690372
2022,"Fabricated metal products, except machinery",1-9 employees,1.76740371355579
2022,"Computer, electronic and optical products",1-9 employees,0.792483455643737
2022,Electrical equipment,1-9 employees,1.55655972801747
2022,Machinery and equipment n.e.c.,1-9 employees,0.914015682918141
2022,"Motor vehicles, trailers and semi-trailers",1-9 employees,0.20567857139841
2022,Furniture,1-9 employees,2.49365451957786
2022,Other manufacturing,1-9 employees,2.76073201419
2022,Total manufacturing,1-9 employees,1.15841752790038
2023,Food products,1-9 employees,2.44030467141739
2023,Beverages,1-9 employees,0.351787465491914
2023,Textiles,1-9 employees,5.46344753348526
2023,"Wood products, excluding furniture",1-9 employees,1.48589101719815
2023,Paper and paper products,1-9 employees,2.28782947239255
2023,Printing and reproduction of recorded media,1-9 employees,3.03401766396504
2023,Coke and refined petroleum products,1-9 employees,1.48663741839881
2023,Rubber and plastics products,1-9 employees,0.67096417596778
2023,Other non-metallic mineral products,1-9 employees,4.44581008640104
2023,Basic metals,1-9 employees,1.67111920968135
2023,"Fabricated metal products, except machinery",1-9 employees,1.28279609063469
2023,"Computer, electronic and optical products",1-9 employees,0.59520496316427
2023,Electrical equipment,1-9 employees,1.13574853979711
2023,Machinery and equipment n.e.c.,1-9 employees,0.682828915853467
2023,"Motor vehicles, trailers and semi-trailers",1-9 employees,0.268958982912978
2023,Furniture,1-9 employees,1.25198841014768
2023,Other manufacturing,1-9 employees,2.34162820655952
2023,Total manufacturing,1-9 employees,1.52179804808125
2019,Food products,10-19 employees,2.16255675827448
2019,Beverages,10-19 employees,1.66590501128281
2019,"Wood products, excluding furniture",10-19 employees,1.65745387056094
2019,Printing and reproduction of recorded media,10-19 employees,2.19402674155743
2019,Coke and refined petroleum products,10-19 employees,1.44369902845096
2019,Rubber and plastics products,10-19 employees,1.57307133265451
2019,Basic metals,10-19 employees,0.622735095973618
2019,"Fabricated metal products, except machinery",10-19 employees,1.7640016833261
2019,"Computer, electronic and optical products",10-19 employees,1.22591931675068
2019,Machinery and equipment n.e.c.,10-19 employees,1.32057509602897
2019,"Motor vehicles, trailers and semi-trailers",10-19 employees,0.346096351781882
2019,Furniture,10-19 employees,2.05179464651416
2019,Other manufacturing,10-19 employees,3.61277903565616
2019,Total manufacturing,10-19 employees,1.66784981235886
2020,Food products,10-19 employees,1.97532672546868
2020,Beverages,10-19 employees,2.23269438741379
2020,"Wood products, excluding furniture",10-19 employees,1.12977656322159
2020,Coke and refined petroleum products,10-19 employees,2.60652818634726
2020,Rubber and plastics products,10-19 employees,2.91368497226019
2020,Basic metals,10-19 employees,0.505056291722629
2020,"Fabricated metal products, except machinery",10-19 employees,2.32623064957738
2020,"Computer, electronic and optical products",10-19 employees,1.37915635068055
2020,Machinery and equipment n.e.c.,10-19 employees,1.76458453795469
2020,"Motor vehicles, trailers and semi-trailers",10-19 employees,0.484709422755575
2020,Furniture,10-19 employees,2.09960307254455
2020,Other manufacturing,10-19 employees,3.84119129139137
2020,Total manufacturing,10-19 employees,2.20207011395321
2021,Food products,10-19 employees,1.16839234460641
2021,Beverages,10-19 employees,2.20990377728841
2021,"Wood products, excluding furniture",10-19 employees,1.3011560346974
2021,Coke and refined petroleum products,10-19 employees,1.74829158135779
2021,Rubber and plastics products,10-19 employees,2.10501204626353
2021,"Fabricated metal products, except machinery",10-19 employees,2.73372088513313
2021,"Computer, electronic and optical products",10-19 employees,0.995315721820566
2021,Electrical equipment,10-19 employees,1.2594926524605
2021,Machinery and equipment n.e.c.,10-19 employees,1.51660287746818
2021,"Motor vehicles, trailers and semi-trailers",10-19 employees,0.371768555575492
2021,Furniture,10-19 employees,2.17235409262703
2021,Other manufacturing,10-19 employees,4.26067432387982
2021,Total manufacturing,10-19 employees,1.70425654922336
2022,Food products,10-19 employees,1.27109131348287
2022,Beverages,10-19 employees,1.82078818982449
2022,"Wood products, excluding furniture",10-19 employees,1.37088030863062
2022,Coke and refined petroleum products,10-19 employees,1.46802497394256
2022,Rubber and plastics products,10-19 employees,1.07657429957473
2022,"Fabricated metal products, except machinery",10-19 employees,2.81613885282645
2022,Electrical equipment,10-19 employees,1.84868000068616
2022,Machinery and equipment n.e.c.,10-19 employees,2.29840149469754
2022,"Motor vehicles, trailers and semi-trailers",10-19 employees,0.488955104107395
2022,Furniture,10-19 employees,1.99387855707829
2022,Other manufacturing,10-19 employees,4.65253550979498
2022,Total manufacturing,10-19 employees,1.64529952305903
2023,Food products,10-19 employees,0.680521000139308
2023,Beverages,10-19 employees,0.616130134937478
2023,"Wood products, excluding furniture",10-19 employees,1.75969955647742
2023,Coke and refined petroleum products,10-19 employees,1.64706274738751
2023,Rubber and plastics products,10-19 employees,1.48138391177707
2023,"Fabricated metal products, except machinery",10-19 employees,2.38912366131683
2023,Electrical equipment,10-19 employees,1.44348771509745
2023,Machinery and equipment n.e.c.,10-19 employees,1.3103960608118
2023,"Motor vehicles, trailers and semi-trailers",10-19 employees,0.2316250682413
2023,Furniture,10-19 employees,1.7921006418001
2023,Other manufacturing,10-19 employees,4.35666683464107
2023,Total manufacturing,10-19 employees,1.50249337542065
2019,Food products,20-49 employees,7.87574126705405
2019,Beverages,20-49 employees,7.21744104540551
2019,Textiles,20-49 employees,16.4119957905311
2019,"Wood products, excluding furniture",20-49 employees,9.42481170053566
2019,Paper and paper products,20-49 employees,3.23675213601591
2019,Printing and reproduction of recorded media,20-49 employees,11.4882996042003
2019,Coke and refined petroleum products,20-49 employees,6.94953142365855
2019,Rubber and plastics products,20-49 employees,6.99419014447239
2019,Other non-metallic mineral products,20-49 employees,16.345061051381
2019,Basic metals,20-49 employees,3.36618315645298
2019,"Fabricated metal products, except machinery",20-49 employees,10.6398332382158
2019,"Computer, electronic and optical products",20-49 employees,5.34494556677903
2019,Electrical equipment,20-49 employees,9.98847889648385
