Year,Series,Units,Education level,Age group,Sex,Location,COMMENT_OBS,Value
2020,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,,,1.03
2021,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,,,1.14
2022,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,,,1.04
2023,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,,,1.03
2016,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,Rural,,1.32
2021,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,Rural,,1.31
2016,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,Urban,,1.12
2021,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,Urban,,1.11
2015,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.05
2016,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.07
2017,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.07
2018,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.07
2019,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.07
2020,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.08
2021,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.1
2022,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.09
2023,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.09
2016,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,Rural,,1.29
2021,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,Rural,,1.32
2016,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,Urban,,1.04
2021,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,Urban,,1.07
2015,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,0.92
2016,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,0.89
2017,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,0.92
2018,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,0.95
2019,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,0.96
2020,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,0.95
2021,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,0.97
2022,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,0.99
2023,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,1.04
2016,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,Rural,,1.05
2021,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,Rural,,1.17
2016,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,Urban,,0.86
2021,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,Urban,,0.94
2016,Educational attainment rate,Adjusted gender parity index,Completed Doctoral or equivalent education,,,,,0.56
2021,Educational attainment rate,Adjusted gender parity index,Completed Doctoral or equivalent education,,,,,0.65
2016,Educational attainment rate,Adjusted gender parity index,Completed Doctoral or equivalent education,,,Rural,,0.69
2021,Educational attainment rate,Adjusted gender parity index,Completed Doctoral or equivalent education,,,Rural,,0.76
2016,Educational attainment rate,Adjusted gender parity index,Completed Doctoral or equivalent education,,,Urban,,0.55
2021,Educational attainment rate,Adjusted gender parity index,Completed Doctoral or equivalent education,,,Urban,,0.63
2016,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,,,,0.93
2021,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,,,,0.94
2016,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,Female,,,0.95
2021,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,Female,,,0.96
2016,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,Male,,,0.9
2021,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,Male,,,0.91
2016,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,,,,0.88
2021,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,,,,0.86
2016,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,Female,,,0.89
2021,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,Female,,,0.88
2016,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,Male,,,0.86
2021,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,Male,,,0.85
2016,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,,,,0.75
2021,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,,,,0.71
2016,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,Female,,,0.84
2021,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,Female,,,0.8
2016,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,Male,,,0.65
2021,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,Male,,,0.62
2016,Educational attainment rate,Adjusted location parity index,Completed Bachelor's or equivalent education or higher,,,,,0.5
2021,Educational attainment rate,Adjusted location parity index,Completed Bachelor's or equivalent education or higher,,,,,0.5
2016,Educational attainment rate,Adjusted location parity index,Completed Bachelor's or equivalent education or higher,,Female,,,0.57
