Year,Sub-indicators,Value
2022,,55
2022,data.Sub-indicator_A,1
2022,data.Sub-indicator_B,20
2022,data.Sub-indicator_C,18
2022,data.Sub-indicator_D,11
2022,data.Sub-indicator_E,6
