Year,Units,Mesure,Value
2015,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,195.771276
2016,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,207.918127
2017,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,171.612574
2018,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,224.344484
2019,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,159.352831
2020,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,224.445177
2021,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,250.975133
2022,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,245.605284
2023,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,151.914306
2020,"Dollar américain, millions, prix constants de 2023",Autres apports du secteur public (autre que crédits à l'exportation),23.374593
2022,"Dollar américain, millions, prix constants de 2023",Autres apports du secteur public (autre que crédits à l'exportation),2.651393
2015,"Dollar américain, millions, prix constants de 2023",,195.771276
2016,"Dollar américain, millions, prix constants de 2023",,207.918127
2017,"Dollar américain, millions, prix constants de 2023",,171.612574
2018,"Dollar américain, millions, prix constants de 2023",,224.344484
2019,"Dollar américain, millions, prix constants de 2023",,159.352831
2020,"Dollar américain, millions, prix constants de 2023",,247.81977
2021,"Dollar américain, millions, prix constants de 2023",,250.975133
2022,"Dollar américain, millions, prix constants de 2023",,248.256677
2023,"Dollar américain, millions, prix constants de 2023",,151.914306
