From,To
Discrimination indicators,Geography
Geography,Gender
Gender,Age group
Gender,Immigrant status
Gender,Visible minority
Gender,Indigenous identity
Gender,Disability
Gender,LGBTQ2+
Gender,Highest level of education
Gender,Main activity
Gender,Area
