Year,Series,Species group,System,Value
2014,By species group,Fish index,,-22.69
2015,By species group,Fish index,,-23.58
2016,By species group,Fish index,,-22.8
2017,By species group,Fish index,,-26.55
2018,By species group,Fish index,,-29.81
1970,By system,,,0.0
1971,By system,,,1.45
1972,By system,,,2.66
1973,By system,,,3.52
1974,By system,,,3.98
1975,By system,,,4.53
1976,By system,,,4.85
1977,By system,,,5.03
1978,By system,,,5.59
1979,By system,,,6.34
1980,By system,,,7.25
1981,By system,,,8.03
1982,By system,,,8.01
1983,By system,,,8.11
1984,By system,,,8.97
1985,By system,,,9.7
1986,By system,,,10.02
1987,By system,,,8.85
1988,By system,,,8.06
1989,By system,,,7.23
1990,By system,,,6.96
1991,By system,,,6.58
1992,By system,,,6.3
1993,By system,,,6.5
1994,By system,,,7.07
1995,By system,,,7.15
1996,By system,,,6.95
1997,By system,,,6.52
1998,By system,,,5.27
1999,By system,,,4.17
2000,By system,,,3.31
2001,By system,,,2.77
2002,By system,,,2.07
2003,By system,,,1.59
2004,By system,,,1.07
2005,By system,,,1.17
2006,By system,,,1.32
2007,By system,,,1.17
2008,By system,,,0.43
2009,By system,,,-0.14
2010,By system,,,-0.76
2011,By system,,,-1.28
2012,By system,,,-2.59
2013,By system,,,-4.32
2014,By system,,,-5.86
2015,By system,,,-6.61
2016,By system,,,-6.44
2017,By system,,,-7.48
2018,By system,,,-7.43
1970,By system,,Terrestrial index,0.0
1971,By system,,Terrestrial index,-0.04
1972,By system,,Terrestrial index,-0.35
1973,By system,,Terrestrial index,-0.9
1974,By system,,Terrestrial index,-2.05
1975,By system,,Terrestrial index,-2.4
1976,By system,,Terrestrial index,-2.22
1977,By system,,Terrestrial index,-1.9
1978,By system,,Terrestrial index,-1.15
1979,By system,,Terrestrial index,-0.4
1980,By system,,Terrestrial index,0.65
1981,By system,,Terrestrial index,1.6
1982,By system,,Terrestrial index,1.34
1983,By system,,Terrestrial index,1.23
1984,By system,,Terrestrial index,2.44
1985,By system,,Terrestrial index,3.27
1986,By system,,Terrestrial index,4.31
1987,By system,,Terrestrial index,3.93
1988,By system,,Terrestrial index,3.72
1989,By system,,Terrestrial index,3.63
1990,By system,,Terrestrial index,3.6
1991,By system,,Terrestrial index,3.48
1992,By system,,Terrestrial index,3.25
1993,By system,,Terrestrial index,2.72
1994,By system,,Terrestrial index,1.6
1995,By system,,Terrestrial index,0.79
1996,By system,,Terrestrial index,0.59
1997,By system,,Terrestrial index,0.07
1998,By system,,Terrestrial index,-1.52
1999,By system,,Terrestrial index,-3.56
2000,By system,,Terrestrial index,-4.88
2001,By system,,Terrestrial index,-6.1
2002,By system,,Terrestrial index,-6.99
2003,By system,,Terrestrial index,-7.28
2004,By system,,Terrestrial index,-7.09
2005,By system,,Terrestrial index,-6.64
2006,By system,,Terrestrial index,-6.4
2007,By system,,Terrestrial index,-6.42
2008,By system,,Terrestrial index,-7.14
2009,By system,,Terrestrial index,-8.14
2010,By system,,Terrestrial index,-9.21
2011,By system,,Terrestrial index,-10.23
2012,By system,,Terrestrial index,-11.49
2013,By system,,Terrestrial index,-12.39
2014,By system,,Terrestrial index,-13.28
2015,By system,,Terrestrial index,-13.55
2016,By system,,Terrestrial index,-13.44
2017,By system,,Terrestrial index,-14.25
2018,By system,,Terrestrial index,-14.21
1970,By system,,Freshwater index,0.0
1971,By system,,Freshwater index,3.08
1972,By system,,Freshwater index,5.94
1973,By system,,Freshwater index,8.47
1974,By system,,Freshwater index,11.19
1975,By system,,Freshwater index,13.82
1976,By system,,Freshwater index,14.79
1977,By system,,Freshwater index,15.01
1978,By system,,Freshwater index,16.4
1979,By system,,Freshwater index,18.19
1980,By system,,Freshwater index,20.21
1981,By system,,Freshwater index,22.56
1982,By system,,Freshwater index,24.85
1983,By system,,Freshwater index,27.16
1984,By system,,Freshwater index,29.24
1985,By system,,Freshwater index,31.14
1986,By system,,Freshwater index,32.47
1987,By system,,Freshwater index,32.04
1988,By system,,Freshwater index,32.61
1989,By system,,Freshwater index,33.3
1990,By system,,Freshwater index,37.03
1991,By system,,Freshwater index,38.27
1992,By system,,Freshwater index,39.67
1993,By system,,Freshwater index,42.55
1994,By system,,Freshwater index,46.97
1995,By system,,Freshwater index,49.31
1996,By system,,Freshwater index,47.62
1997,By system,,Freshwater index,45.4
1998,By system,,Freshwater index,43.43
1999,By system,,Freshwater index,43.6
2000,By system,,Freshwater index,43.54
2001,By system,,Freshwater index,44.34
2002,By system,,Freshwater index,45.04
2003,By system,,Freshwater index,44.99
2004,By system,,Freshwater index,44.83
2005,By system,,Freshwater index,44.67
2006,By system,,Freshwater index,45.09
2007,By system,,Freshwater index,44.46
2008,By system,,Freshwater index,42.89
2009,By system,,Freshwater index,41.76
2010,By system,,Freshwater index,41.63
2011,By system,,Freshwater index,41.93
2012,By system,,Freshwater index,41.85
2013,By system,,Freshwater index,39.87
2014,By system,,Freshwater index,37.56
2015,By system,,Freshwater index,36.56
2016,By system,,Freshwater index,36.52
2017,By system,,Freshwater index,37.83
2018,By system,,Freshwater index,37.71
1970,By system,,Marine index,0.0
1971,By system,,Marine index,4.88
1972,By system,,Marine index,9.42
1973,By system,,Marine index,12.88
1974,By system,,Marine index,15.69
1975,By system,,Marine index,17.08
1976,By system,,Marine index,17.21
1977,By system,,Marine index,16.95
1978,By system,,Marine index,16.47
1979,By system,,Marine index,16.7
1980,By system,,Marine index,16.85
1981,By system,,Marine index,16.6
1982,By system,,Marine index,15.93
1983,By system,,Marine index,15.28
1984,By system,,Marine index,14.88
1985,By system,,Marine index,15.12
1986,By system,,Marine index,14.09
1987,By system,,Marine index,11.51
1988,By system,,Marine index,9.29
1989,By system,,Marine index,6.67
1990,By system,,Marine index,4.39
1991,By system,,Marine index,2.95
1992,By system,,Marine index,1.93
1993,By system,,Marine index,2.12
1994,By system,,Marine index,3.61
1995,By system,,Marine index,4.24
1996,By system,,Marine index,4.84
1997,By system,,Marine index,5.51
1998,By system,,Marine index,5.37
1999,By system,,Marine index,5.36
2000,By system,,Marine index,5.26
2001,By system,,Marine index,5.67
2002,By system,,Marine index,4.77
2003,By system,,Marine index,3.79
2004,By system,,Marine index,1.97
2005,By system,,Marine index,1.73
2006,By system,,Marine index,1.45
2007,By system,,Marine index,0.89
2008,By system,,Marine index,-0.03
2009,By system,,Marine index,-0.43
2010,By system,,Marine index,-1.22
2011,By system,,Marine index,-1.93
2012,By system,,Marine index,-4.35
2013,By system,,Marine index,-7.47
2014,By system,,Marine index,-9.77
2015,By system,,Marine index,-11.12
2016,By system,,Marine index,-10.82
2017,By system,,Marine index,-16.94
2018,By system,,Marine index,-16.49
