Year,Value
2010,4665.66
2011,4807.91
2012,4654.98
2013,4651.24
2014,4569.61
2015,4556.85
2016,4403.11
2017,4432.61
2018,4712.1
2019,4841.5
2020,5154.01
2021,5519.89
2022,5571.23
