Year,Series,Units,Value
2017-2019,Accessions de ressources phytogénétiques dans les établissements de conservation,Nombre,127505
2019-2021,Accessions de ressources phytogénétiques dans les établissements de conservation,Nombre,115000
2017-2019,Variétés et races locales conservées dans la banque de gènes,Nombre,11
2019-2021,Variétés et races locales conservées dans la banque de gènes,Nombre,14
