Year,Series,Units,Value
2016,Valeur totale des projets d’investissement soutenus,CAD (Millions),297.12
2017,Valeur totale des projets d’investissement soutenus,CAD (Millions),439.44
2018,Valeur totale des projets d’investissement soutenus,CAD (Millions),636.11
2019,Valeur totale des projets d’investissement soutenus,CAD (Millions),581.1
2020,Valeur totale des projets d’investissement soutenus,CAD (Millions),776.9
2021,Valeur totale des projets d’investissement soutenus,CAD (Millions),1097.43
2016,Nombre de projets,Nombre,173.0
2017,Nombre de projets,Nombre,342.0
2018,Nombre de projets,Nombre,254.0
2019,Nombre de projets,Nombre,239.0
2020,Nombre de projets,Nombre,244.0
2021,Nombre de projets,Nombre,248.0
