Year,Géographie,Type de matières récupérées,Sources des matières préparées en vue du recyclage,GeoCode,Value
2018,Terre-Neuve-et-Labrador,Métaux ferreux,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Métaux ferreux,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Cuivre et aluminium,Toutes les sources des matières récupérées,10,0.200604842525199
2018,Terre-Neuve-et-Labrador,Cuivre et aluminium,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Cuivre et aluminium,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Métaux mélangés,Toutes les sources des matières récupérées,10,
2018,Terre-Neuve-et-Labrador,Métaux mélangés,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Métaux mélangés,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Électroménagers,Toutes les sources des matières récupérées,10,2.3883331251585
2018,Terre-Neuve-et-Labrador,Électroménagers,Sources des matières résidentielles récupérées,10,2.3883331251585
2018,Terre-Neuve-et-Labrador,Électroménagers,Sources des matières non résidentielles récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Matériel électronique,Toutes les sources des matières récupérées,10,1.50642881745338
2018,Terre-Neuve-et-Labrador,Matériel électronique,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Matériel électronique,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Matières plastiques,Toutes les sources des matières récupérées,10,2.09688835394264
2018,Terre-Neuve-et-Labrador,Matières plastiques,Sources des matières résidentielles récupérées,10,1.86789603370161
2018,Terre-Neuve-et-Labrador,Matières plastiques,Sources des matières non résidentielles récupérées,10,0.228992320241029
2018,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,10,1.02762669331305
2018,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,10,0.86487182107562
2018,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,10,0.162754872237425
2018,Terre-Neuve-et-Labrador,Textiles,Toutes les sources des matières récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Textiles,Sources des matières résidentielles récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Textiles,Sources des matières non résidentielles récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Pneus,Toutes les sources des matières récupérées,10,11.2206236918104
2018,Terre-Neuve-et-Labrador,Pneus,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Pneus,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Toutes les matières organiques,Toutes les sources des matières récupérées,10,1.71271115552174
2018,Terre-Neuve-et-Labrador,Toutes les matières organiques,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Toutes les matières organiques,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Déchets de nourriture et matières organiques séparées à la source,Toutes les sources des matières récupérées,10,
2018,Terre-Neuve-et-Labrador,Déchets de nourriture et matières organiques séparées à la source,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Déchets de nourriture et matières organiques séparées à la source,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Feuilles et résidus de jardin,Toutes les sources des matières récupérées,10,
2018,Terre-Neuve-et-Labrador,Feuilles et résidus de jardin,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Feuilles et résidus de jardin,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Autres matières organiques,Toutes les sources des matières récupérées,10,
2018,Terre-Neuve-et-Labrador,Autres matières organiques,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Autres matières organiques,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Autres matières,Toutes les sources des matières récupérées,10,0.0
