Year,Géographie,Déchets ménagers dangereux,GeoCode,Value
2011,"Moncton, Nouveau-Brunswick","Piles déchargées, excluant les batteries de voiture",,52.0
2011,"Saint John, Nouveau-Brunswick",Des restes de médicaments ou des médicaments périmés,,30.0
2011,"Saint John, Nouveau-Brunswick",Des objets médicaux piquants ou tranchants,,
2011,"Saint John, Nouveau-Brunswick",Restes de peinture ou solvants,,34.0
2011,"Saint John, Nouveau-Brunswick",Huiles pour moteur ou de l'antigel,,19.0
2011,"Saint John, Nouveau-Brunswick","Piles déchargées, excluant les batteries de voiture",,47.0
2011,"Saguenay, Québec",Des restes de médicaments ou des médicaments périmés,,51.0
2011,"Saguenay, Québec",Des objets médicaux piquants ou tranchants,,
2011,"Saguenay, Québec",Restes de peinture ou solvants,,51.0
2011,"Saguenay, Québec",Huiles pour moteur ou de l'antigel,,22.0
2011,"Saguenay, Québec","Piles déchargées, excluant les batteries de voiture",,64.0
2011,"Québec, Québec",Des restes de médicaments ou des médicaments périmés,,45.0
2011,"Québec, Québec",Des objets médicaux piquants ou tranchants,,7.0
2011,"Québec, Québec",Restes de peinture ou solvants,,46.0
2011,"Québec, Québec",Huiles pour moteur ou de l'antigel,,15.0
2011,"Québec, Québec","Piles déchargées, excluant les batteries de voiture",,63.0
2011,"Sherbrooke, Québec",Des restes de médicaments ou des médicaments périmés,,47.0
2011,"Sherbrooke, Québec",Des objets médicaux piquants ou tranchants,,12.0
2011,"Sherbrooke, Québec",Restes de peinture ou solvants,,45.0
2011,"Sherbrooke, Québec",Huiles pour moteur ou de l'antigel,,10.0
2011,"Sherbrooke, Québec","Piles déchargées, excluant les batteries de voiture",,71.0
2011,"Trois-Rivières, Québec",Des restes de médicaments ou des médicaments périmés,,41.0
2011,"Trois-Rivières, Québec",Des objets médicaux piquants ou tranchants,,
2011,"Trois-Rivières, Québec",Restes de peinture ou solvants,,47.0
2011,"Trois-Rivières, Québec",Huiles pour moteur ou de l'antigel,,14.0
2011,"Trois-Rivières, Québec","Piles déchargées, excluant les batteries de voiture",,60.0
2011,"Montréal, Québec",Des restes de médicaments ou des médicaments périmés,,41.0
2011,"Montréal, Québec",Des objets médicaux piquants ou tranchants,,8.0
2011,"Montréal, Québec",Restes de peinture ou solvants,,42.0
2011,"Montréal, Québec",Huiles pour moteur ou de l'antigel,,11.0
2011,"Montréal, Québec","Piles déchargées, excluant les batteries de voiture",,60.0
2011,"Ottawa-Gatineau, Ontario/Québec",Des restes de médicaments ou des médicaments périmés,,30.0
2011,"Ottawa-Gatineau, Ontario/Québec",Des objets médicaux piquants ou tranchants,,9.0
2011,"Ottawa-Gatineau, Ontario/Québec",Restes de peinture ou solvants,,36.0
2011,"Ottawa-Gatineau, Ontario/Québec",Huiles pour moteur ou de l'antigel,,15.0
2011,"Ottawa-Gatineau, Ontario/Québec","Piles déchargées, excluant les batteries de voiture",,57.0
2011,Ottawa-Gatineau (Quebec part),Des restes de médicaments ou des médicaments périmés,,44.0
2011,Ottawa-Gatineau (Quebec part),Des objets médicaux piquants ou tranchants,,
2011,Ottawa-Gatineau (Quebec part),Restes de peinture ou solvants,,57.0
2011,Ottawa-Gatineau (Quebec part),Huiles pour moteur ou de l'antigel,,21.0
