Year,Géographie,GeoCode,Value
2015,,,97.8
2016,,,97.8
2017,,,97.9
2018,,,97.9
2019,,,98.0
2020,,,97.6
2021,,,97.5
2022,,,97.7
2023,,,97.8
2024,,,97.5
2015,Terre-Neuve-et-Labrador,10,99.6
2015,Île-du-Prince-Édouard,11,99.3
2015,Nouvelle-Écosse,12,99.2
2015,Nouveau-Brunswick,13,99.2
2015,Québec,24,99.2
2015,Ontario,35,97.2
2015,Manitoba,46,99.0
2015,Saskatchewan,47,98.5
2015,Alberta,48,97.5
2015,Colombie-Britannique,59,96.3
2015,Yukon,60,97.9
2015,Territoires du Nord-Ouest,61,97.7
2015,Nunavut,62,94.1
2016,Terre-Neuve-et-Labrador,10,99.8
2016,Île-du-Prince-Édouard,11,100.0
2016,Nouvelle-Écosse,12,99.2
2016,Nouveau-Brunswick,13,99.4
2016,Québec,24,99.2
2016,Ontario,35,97.2
2016,Manitoba,46,98.7
2016,Saskatchewan,47,98.5
2016,Alberta,48,97.2
2016,Colombie-Britannique,59,96.3
2016,Yukon,60,98.0
2016,Territoires du Nord-Ouest,61,97.2
2016,Nunavut,62,93.0
2017,Terre-Neuve-et-Labrador,10,99.9
2017,Île-du-Prince-Édouard,11,99.7
2017,Nouvelle-Écosse,12,99.3
2017,Nouveau-Brunswick,13,99.3
2017,Québec,24,99.3
2017,Ontario,35,97.3
2017,Manitoba,46,98.7
2017,Saskatchewan,47,98.6
2017,Alberta,48,97.2
2017,Colombie-Britannique,59,96.5
2017,Yukon,60,98.3
2017,Territoires du Nord-Ouest,61,98.4
2017,Nunavut,62,95.0
2018,Terre-Neuve-et-Labrador,10,99.9
2018,Île-du-Prince-Édouard,11,99.4
2018,Nouvelle-Écosse,12,99.3
2018,Nouveau-Brunswick,13,99.2
2018,Québec,24,99.3
2018,Ontario,35,97.4
2018,Manitoba,46,98.8
2018,Saskatchewan,47,98.4
2018,Alberta,48,97.2
2018,Colombie-Britannique,59,96.6
2018,Yukon,60,96.8
2018,Territoires du Nord-Ouest,61,98.3
2018,Nunavut,62,96.2
2019,Terre-Neuve-et-Labrador,10,99.7
2019,Île-du-Prince-Édouard,11,99.4
2019,Nouvelle-Écosse,12,99.2
2019,Nouveau-Brunswick,13,99.4
2019,Québec,24,99.3
2019,Ontario,35,97.6
2019,Manitoba,46,98.7
2019,Saskatchewan,47,98.9
2019,Alberta,48,97.2
2019,Colombie-Britannique,59,96.9
2019,Yukon,60,98.2
2019,Territoires du Nord-Ouest,61,95.6
2019,Nunavut,62,95.9
2020,Terre-Neuve-et-Labrador,10,99.7
2020,Île-du-Prince-Édouard,11,99.2
2020,Nouvelle-Écosse,12,99.2
2020,Nouveau-Brunswick,13,99.1
2020,Québec,24,99.5
2020,Ontario,35,97.0
2020,Manitoba,46,98.0
2020,Saskatchewan,47,98.6
2020,Alberta,48,96.2
2020,Colombie-Britannique,59,96.5
2020,Yukon,60,97.8
2020,Territoires du Nord-Ouest,61,97.2
2020,Nunavut,62,94.9
2021,Terre-Neuve-et-Labrador,10,99.5
2021,Île-du-Prince-Édouard,11,98.9
2021,Nouvelle-Écosse,12,98.9
2021,Nouveau-Brunswick,13,98.9
2021,Québec,24,99.3
2021,Ontario,35,97.0
2021,Manitoba,46,97.4
2021,Saskatchewan,47,98.8
2021,Alberta,48,95.7
2021,Colombie-Britannique,59,96.7
2021,Yukon,60,97.6
2021,Territoires du Nord-Ouest,61,97.3
2021,Nunavut,62,96.1
2022,Terre-Neuve-et-Labrador,10,99.7
2022,Île-du-Prince-Édouard,11,98.7
2022,Nouvelle-Écosse,12,98.9
2022,Nouveau-Brunswick,13,98.9
2022,Québec,24,99.5
2022,Ontario,35,97.2
2022,Manitoba,46,97.4
2022,Saskatchewan,47,98.8
2022,Alberta,48,95.8
2022,Colombie-Britannique,59,97.1
2022,Yukon,60,96.7
2022,Territoires du Nord-Ouest,61,95.1
2022,Nunavut,62,95.9
2023,Terre-Neuve-et-Labrador,10,99.8
2023,Île-du-Prince-Édouard,11,98.1
2023,Nouvelle-Écosse,12,98.8
2023,Nouveau-Brunswick,13,98.7
2023,Québec,24,99.4
2023,Ontario,35,97.6
2023,Manitoba,46,97.2
2023,Saskatchewan,47,98.6
2023,Alberta,48,95.9
2023,Colombie-Britannique,59,97.1
2023,Yukon,60,98.2
2023,Territoires du Nord-Ouest,61,97.4
2023,Nunavut,62,96.3
2024,Terre-Neuve-et-Labrador,10,99.5
2024,Île-du-Prince-Édouard,11,97.8
2024,Nouvelle-Écosse,12,98.8
2024,Nouveau-Brunswick,13,99.0
2024,Québec,24,99.3
2024,Ontario,35,96.8
2024,Manitoba,46,97.5
2024,Saskatchewan,47,98.6
2024,Alberta,48,96.0
2024,Colombie-Britannique,59,97.4
2024,Yukon,60,98.0
2024,Territoires du Nord-Ouest,61,95.0
2024,Nunavut,62,97.5
