Year,Distance-capacité de la zone de service de transport public,Géographie,Emplacement,Genre,Démographique et socio-économique,GeoCode,Value
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,"Total, genre",65 ans et plus,11124,11.2
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,10.2
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,Hommes+,0 to 14 years,11124,9.9
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,Hommes+,15 à 64 ans,11124,10.1
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,Hommes+,15 à 19 ans,11124,9.7
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,Hommes+,20 à 24 ans,11124,10.5
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,Hommes+,65 ans et plus,11124,10.5
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,10.6
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,Femmes+,0 to 14 years,11124,10.0
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,Femmes+,15 à 64 ans,11124,10.4
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,Femmes+,15 à 19 ans,11124,10.0
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,Femmes+,20 à 24 ans,11124,10.8
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,Femmes+,65 ans et plus,11124,11.9
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement","Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),11124,8.2
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement","Total, genre",0 to 14 years,11124,6.0
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement","Total, genre",15 à 64 ans,11124,9.0
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement","Total, genre",15 à 19 ans,11124,5.7
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement","Total, genre",20 à 24 ans,11124,10.2
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement","Total, genre",65 ans et plus,11124,7.1
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement",Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,8.2
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement",Hommes+,0 to 14 years,11124,6.0
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement",Hommes+,15 à 64 ans,11124,9.1
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement",Hommes+,15 à 19 ans,11124,5.6
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement",Hommes+,20 à 24 ans,11124,9.7
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement",Hommes+,65 ans et plus,11124,6.9
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement",Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,8.1
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement",Femmes+,0 to 14 years,11124,5.9
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement",Femmes+,15 à 64 ans,11124,8.9
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement",Femmes+,15 à 19 ans,11124,5.8
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement",Femmes+,20 à 24 ans,11124,10.7
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,"Total, emplacement",Femmes+,65 ans et plus,11124,7.3
