Year,Value
2010,0.9
2011,0.9
2012,0.9
2013,0.9
2014,0.9
2015,0.9
2016,1.0
2017,6.0
2018,6.2
2019,13.8
2020,13.9
2021,13.9
2022,14.7
2023,14.7
