Year,Type de patrimoine,Niveau de gouvernement,Géographie,GeoCode,Value
2018,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Colombie-Britannique,59,70.70334
2018,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Canada,,145.49821
2018,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Manitoba,46,145.63606
2018,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nouveau-Brunswick,13,109.02054
2018,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Terre-Neuve-et-Labrador,10,96.51742
2018,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Territoires du Nord-Ouest,61,538.88989
2018,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nouvelle-Écosse,12,97.70579
2018,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nunavut,62,861.12416
2018,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Ontario,35,155.30393
2018,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Île-du-Prince-Édouard,11,105.0841
2018,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Québec,24,156.43349
2018,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Saskatchewan,47,138.38317
2018,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Yukon,60,891.02294
2019,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Alberta,48,229.60125
2019,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Colombie-Britannique,59,75.13174
2019,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Canada,,156.51875
2019,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Manitoba,46,182.47736
2019,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nouveau-Brunswick,13,105.48157
2019,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Terre-Neuve-et-Labrador,10,83.38972
2019,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Territoires du Nord-Ouest,61,607.53341
2019,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nouvelle-Écosse,12,59.43847
2019,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nunavut,62,798.16679
2019,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Ontario,35,159.32958
2019,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Île-du-Prince-Édouard,11,83.44459
2019,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Québec,24,170.33695
2019,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Saskatchewan,47,157.18638
2019,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Yukon,60,1116.85726
2020,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Alberta,48,111.40115
