Year,État matrimonial,Groupe d'âge,Géographie,GeoCode,Value
2016,Marié ou vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,11,19.03
2016,Marié,15 à 19 ans,Île-du-Prince-Édouard,11,0.36
2016,Marié,20 à 24 ans,Île-du-Prince-Édouard,11,4.02
2016,Vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,11,1.43
2016,Vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,11,14.89
2016,Marié ou vivant en union libre,15 à 19 ans,Québec,24,2.14
2016,Marié ou vivant en union libre,20 à 24 ans,Québec,24,22.62
2016,Marié,15 à 19 ans,Québec,24,0.14
2016,Marié,20 à 24 ans,Québec,24,3.24
2016,Vivant en union libre,15 à 19 ans,Québec,24,2.0
2016,Vivant en union libre,20 à 24 ans,Québec,24,19.38
2016,Marié ou vivant en union libre,15 à 19 ans,Saskatchewan,47,2.73
2016,Marié ou vivant en union libre,20 à 24 ans,Saskatchewan,47,25.7
2016,Marié,15 à 19 ans,Saskatchewan,47,0.21
2016,Marié,20 à 24 ans,Saskatchewan,47,7.56
2016,Vivant en union libre,15 à 19 ans,Saskatchewan,47,2.5
2016,Vivant en union libre,20 à 24 ans,Saskatchewan,47,18.14
2016,Marié ou vivant en union libre,15 à 19 ans,Yukon,60,2.15
2016,Marié ou vivant en union libre,20 à 24 ans,Yukon,60,25.27
2016,Marié,15 à 19 ans,Yukon,60,0.54
2016,Marié,20 à 24 ans,Yukon,60,4.84
2016,Vivant en union libre,15 à 19 ans,Yukon,60,1.61
2016,Vivant en union libre,20 à 24 ans,Yukon,60,20.43
2021,Marié ou vivant en union libre,15 à 19 ans,Alberta,48,1.51
2021,Marié ou vivant en union libre,20 à 24 ans,Alberta,48,20.31
2021,Marié,15 à 19 ans,Alberta,48,0.25
2021,Marié,20 à 24 ans,Alberta,48,6.8
2021,Vivant en union libre,15 à 19 ans,Alberta,48,1.26
2021,Vivant en union libre,20 à 24 ans,Alberta,48,13.51
2021,Marié ou vivant en union libre,15 à 19 ans,Colombie-Britannique,59,1.2
2021,Marié ou vivant en union libre,20 à 24 ans,Colombie-Britannique,59,16.24
2021,Marié,15 à 19 ans,Colombie-Britannique,59,0.22
2021,Marié,20 à 24 ans,Colombie-Britannique,59,5.24
2021,Vivant en union libre,15 à 19 ans,Colombie-Britannique,59,0.99
2021,Vivant en union libre,20 à 24 ans,Colombie-Britannique,59,11.0
2021,Marié ou vivant en union libre,15 à 19 ans,Canada,,1.34
2021,Marié ou vivant en union libre,20 à 24 ans,Canada,,16.93
2021,Marié,15 à 19 ans,Canada,,0.17
2021,Marié,20 à 24 ans,Canada,,4.49
2021,Vivant en union libre,15 à 19 ans,Canada,,1.17
2021,Vivant en union libre,20 à 24 ans,Canada,,12.43
2021,Marié ou vivant en union libre,15 à 19 ans,Manitoba,46,1.87
2021,Marié ou vivant en union libre,20 à 24 ans,Manitoba,46,18.98
2021,Marié,15 à 19 ans,Manitoba,46,0.36
2021,Marié,20 à 24 ans,Manitoba,46,7.07
2021,Vivant en union libre,15 à 19 ans,Manitoba,46,1.51
2021,Vivant en union libre,20 à 24 ans,Manitoba,46,11.92
2021,Marié ou vivant en union libre,15 à 19 ans,Nouveau-Brunswick,13,2.21
2021,Marié ou vivant en union libre,20 à 24 ans,Nouveau-Brunswick,13,22.16
2021,Marié,15 à 19 ans,Nouveau-Brunswick,13,0.18
2021,Marié,20 à 24 ans,Nouveau-Brunswick,13,3.78
2021,Vivant en union libre,15 à 19 ans,Nouveau-Brunswick,13,2.03
2021,Vivant en union libre,20 à 24 ans,Nouveau-Brunswick,13,18.41
2021,Marié ou vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,10,1.45
2021,Marié ou vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,10,18.05
2021,Marié,15 à 19 ans,Terre-Neuve-et-Labrador,10,0.04
2021,Marié,20 à 24 ans,Terre-Neuve-et-Labrador,10,2.08
2021,Vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,10,1.41
2021,Vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,10,15.97
2021,Marié ou vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,61,2.0
2021,Marié ou vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,61,22.63
2021,Marié,20 à 24 ans,Territoires du Nord-Ouest,61,2.88
2021,Vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,61,2.0
2021,Vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,61,19.34
2021,Marié ou vivant en union libre,15 à 19 ans,Nouvelle-Écosse,12,1.41
2021,Marié ou vivant en union libre,20 à 24 ans,Nouvelle-Écosse,12,18.21
2021,Marié,15 à 19 ans,Nouvelle-Écosse,12,0.15
2021,Marié,20 à 24 ans,Nouvelle-Écosse,12,2.92
2021,Vivant en union libre,15 à 19 ans,Nouvelle-Écosse,12,1.24
2021,Vivant en union libre,20 à 24 ans,Nouvelle-Écosse,12,15.29
2021,Marié ou vivant en union libre,15 à 19 ans,Nunavut,62,9.35
2021,Marié ou vivant en union libre,20 à 24 ans,Nunavut,62,32.85
2021,Marié,20 à 24 ans,Nunavut,62,1.81
2021,Vivant en union libre,15 à 19 ans,Nunavut,62,9.35
2021,Vivant en union libre,20 à 24 ans,Nunavut,62,30.69
2021,Marié ou vivant en union libre,15 à 19 ans,Ontario,35,0.74
2021,Marié ou vivant en union libre,20 à 24 ans,Ontario,35,12.48
2021,Marié,15 à 19 ans,Ontario,35,0.16
2021,Marié,20 à 24 ans,Ontario,35,4.33
2021,Vivant en union libre,15 à 19 ans,Ontario,35,0.58
2021,Vivant en union libre,20 à 24 ans,Ontario,35,8.15
2021,Marié ou vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,11,1.07
2021,Marié ou vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,11,17.17
2021,Marié,20 à 24 ans,Île-du-Prince-Édouard,11,3.99
2021,Vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,11,1.07
2021,Vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,11,13.17
2021,Marié ou vivant en union libre,15 à 19 ans,Québec,24,2.09
2021,Marié ou vivant en union libre,20 à 24 ans,Québec,24,22.1
2021,Marié,15 à 19 ans,Québec,24,0.12
2021,Marié,20 à 24 ans,Québec,24,2.85
2021,Vivant en union libre,15 à 19 ans,Québec,24,1.97
2021,Vivant en union libre,20 à 24 ans,Québec,24,19.25
2021,Marié ou vivant en union libre,15 à 19 ans,Saskatchewan,47,1.96
2021,Marié ou vivant en union libre,20 à 24 ans,Saskatchewan,47,21.85
2021,Marié,15 à 19 ans,Saskatchewan,47,0.15
2021,Marié,20 à 24 ans,Saskatchewan,47,5.84
2021,Vivant en union libre,15 à 19 ans,Saskatchewan,47,1.8
2021,Vivant en union libre,20 à 24 ans,Saskatchewan,47,15.99
2021,Marié ou vivant en union libre,15 à 19 ans,Yukon,60,2.01
2021,Marié ou vivant en union libre,20 à 24 ans,Yukon,60,20.38
2021,Marié,20 à 24 ans,Yukon,60,4.27
2021,Vivant en union libre,15 à 19 ans,Yukon,60,2.01
2021,Vivant en union libre,20 à 24 ans,Yukon,60,16.11
