Year,État matrimonial,Groupe d'âge,Géographie,GeoCode,Value
2001,Marié ou vivant en union libre,15 à 19 ans,Alberta,48,3.96
2001,Marié ou vivant en union libre,20 à 24 ans,Alberta,48,31.14
2001,Marié,15 à 19 ans,Alberta,48,0.75
2001,Marié,20 à 24 ans,Alberta,48,14.92
2001,Vivant en union libre,15 à 19 ans,Alberta,48,3.21
2001,Vivant en union libre,20 à 24 ans,Alberta,48,16.23
2001,Marié ou vivant en union libre,15 à 19 ans,Colombie-Britannique,59,2.76
2001,Marié ou vivant en union libre,20 à 24 ans,Colombie-Britannique,59,22.99
2001,Marié,15 à 19 ans,Colombie-Britannique,59,0.65
2001,Marié,20 à 24 ans,Colombie-Britannique,59,10.83
2001,Vivant en union libre,15 à 19 ans,Colombie-Britannique,59,2.11
2001,Vivant en union libre,20 à 24 ans,Colombie-Britannique,59,12.16
2001,Marié ou vivant en union libre,15 à 19 ans,Canada,,2.96
2001,Marié ou vivant en union libre,20 à 24 ans,Canada,,25.61
2001,Marié,15 à 19 ans,Canada,,0.61
2001,Marié,20 à 24 ans,Canada,,10.19
2001,Vivant en union libre,15 à 19 ans,Canada,,2.35
2001,Vivant en union libre,20 à 24 ans,Canada,,15.42
2001,Marié ou vivant en union libre,15 à 19 ans,Manitoba,46,3.74
2001,Marié ou vivant en union libre,20 à 24 ans,Manitoba,46,28.83
2001,Marié,15 à 19 ans,Manitoba,46,0.89
2001,Marié,20 à 24 ans,Manitoba,46,14.65
2001,Vivant en union libre,15 à 19 ans,Manitoba,46,2.84
2001,Vivant en union libre,20 à 24 ans,Manitoba,46,14.18
2001,Marié ou vivant en union libre,15 à 19 ans,Nouveau-Brunswick,13,3.39
2001,Marié ou vivant en union libre,20 à 24 ans,Nouveau-Brunswick,13,30.28
2001,Marié,15 à 19 ans,Nouveau-Brunswick,13,0.46
2001,Marié,20 à 24 ans,Nouveau-Brunswick,13,10.84
2001,Vivant en union libre,15 à 19 ans,Nouveau-Brunswick,13,2.91
2001,Vivant en union libre,20 à 24 ans,Nouveau-Brunswick,13,19.43
2001,Marié ou vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,10,1.78
2001,Marié ou vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,10,20.44
2001,Marié,15 à 19 ans,Terre-Neuve-et-Labrador,10,0.28
2001,Marié,20 à 24 ans,Terre-Neuve-et-Labrador,10,7.35
2001,Vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,10,1.5
2001,Vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,10,13.12
2001,Marié ou vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,61,4.64
2001,Marié ou vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,61,34.57
2001,Marié,15 à 19 ans,Territoires du Nord-Ouest,61,0.0
2001,Marié,20 à 24 ans,Territoires du Nord-Ouest,61,6.69
2001,Vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,61,4.29
2001,Vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,61,27.88
2001,Marié ou vivant en union libre,15 à 19 ans,Nouvelle-Écosse,12,2.19
2001,Marié ou vivant en union libre,20 à 24 ans,Nouvelle-Écosse,12,23.41
2001,Marié,15 à 19 ans,Nouvelle-Écosse,12,0.31
2001,Marié,20 à 24 ans,Nouvelle-Écosse,12,8.02
2001,Vivant en union libre,15 à 19 ans,Nouvelle-Écosse,12,1.89
2001,Vivant en union libre,20 à 24 ans,Nouvelle-Écosse,12,15.39
2001,Marié ou vivant en union libre,15 à 19 ans,Nunavut,62,12.96
2001,Marié ou vivant en union libre,20 à 24 ans,Nunavut,62,51.9
2001,Marié,15 à 19 ans,Nunavut,62,0.81
2001,Marié,20 à 24 ans,Nunavut,62,8.57
2001,Vivant en union libre,15 à 19 ans,Nunavut,62,12.15
2001,Vivant en union libre,20 à 24 ans,Nunavut,62,42.86
2001,Marié ou vivant en union libre,15 à 19 ans,Ontario,35,2.14
2001,Marié ou vivant en union libre,20 à 24 ans,Ontario,35,21.47
2001,Marié,15 à 19 ans,Ontario,35,0.68
2001,Marié,20 à 24 ans,Ontario,35,11.18
2001,Vivant en union libre,15 à 19 ans,Ontario,35,1.46
2001,Vivant en union libre,20 à 24 ans,Ontario,35,10.29
2001,Marié ou vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,11,2.97
2001,Marié ou vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,11,25.93
2001,Marié,15 à 19 ans,Île-du-Prince-Édouard,11,0.4
2001,Marié,20 à 24 ans,Île-du-Prince-Édouard,11,11.1
2001,Vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,11,2.57
2001,Vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,11,14.84
2001,Marié ou vivant en union libre,15 à 19 ans,Québec,24,3.78
2001,Marié ou vivant en union libre,20 à 24 ans,Québec,24,29.53
2001,Marié,15 à 19 ans,Québec,24,0.47
2001,Marié,20 à 24 ans,Québec,24,5.51
2001,Vivant en union libre,15 à 19 ans,Québec,24,3.3
2001,Vivant en union libre,20 à 24 ans,Québec,24,24.02
2001,Marié ou vivant en union libre,15 à 19 ans,Saskatchewan,47,3.73
2001,Marié ou vivant en union libre,20 à 24 ans,Saskatchewan,47,30.51
2001,Marié,15 à 19 ans,Saskatchewan,47,0.56
2001,Marié,20 à 24 ans,Saskatchewan,47,14.36
2001,Vivant en union libre,15 à 19 ans,Saskatchewan,47,3.15
2001,Vivant en union libre,20 à 24 ans,Saskatchewan,47,16.14
2001,Marié ou vivant en union libre,15 à 19 ans,Yukon,60,4.04
2001,Marié ou vivant en union libre,20 à 24 ans,Yukon,60,29.7
2001,Marié,15 à 19 ans,Yukon,60,0.45
2001,Marié,20 à 24 ans,Yukon,60,9.09
2001,Vivant en union libre,15 à 19 ans,Yukon,60,3.59
2001,Vivant en union libre,20 à 24 ans,Yukon,60,21.21
2006,Marié ou vivant en union libre,15 à 19 ans,Alberta,48,4.32
2006,Marié ou vivant en union libre,20 à 24 ans,Alberta,48,29.89
2006,Marié,15 à 19 ans,Alberta,48,0.93
2006,Marié,20 à 24 ans,Alberta,48,12.28
2006,Vivant en union libre,15 à 19 ans,Alberta,48,3.38
2006,Vivant en union libre,20 à 24 ans,Alberta,48,17.61
2006,Marié ou vivant en union libre,15 à 19 ans,Colombie-Britannique,59,2.79
2006,Marié ou vivant en union libre,20 à 24 ans,Colombie-Britannique,59,22.26
2006,Marié,15 à 19 ans,Colombie-Britannique,59,0.71
2006,Marié,20 à 24 ans,Colombie-Britannique,59,9.15
2006,Vivant en union libre,15 à 19 ans,Colombie-Britannique,59,2.08
2006,Vivant en union libre,20 à 24 ans,Colombie-Britannique,59,13.1
2006,Marié ou vivant en union libre,15 à 19 ans,Canada,,2.91
2006,Marié ou vivant en union libre,20 à 24 ans,Canada,,23.56
2006,Marié,15 à 19 ans,Canada,,0.71
2006,Marié,20 à 24 ans,Canada,,8.24
2006,Vivant en union libre,15 à 19 ans,Canada,,2.2
2006,Vivant en union libre,20 à 24 ans,Canada,,15.32
2006,Marié ou vivant en union libre,15 à 19 ans,Manitoba,46,3.37
2006,Marié ou vivant en union libre,20 à 24 ans,Manitoba,46,25.18
2006,Marié,15 à 19 ans,Manitoba,46,0.86
2006,Marié,20 à 24 ans,Manitoba,46,11.65
2006,Vivant en union libre,15 à 19 ans,Manitoba,46,2.52
2006,Vivant en union libre,20 à 24 ans,Manitoba,46,13.55
2006,Marié ou vivant en union libre,15 à 19 ans,Nouveau-Brunswick,13,3.12
2006,Marié ou vivant en union libre,20 à 24 ans,Nouveau-Brunswick,13,26.55
2006,Marié,15 à 19 ans,Nouveau-Brunswick,13,0.49
2006,Marié,20 à 24 ans,Nouveau-Brunswick,13,7.21
2006,Vivant en union libre,15 à 19 ans,Nouveau-Brunswick,13,2.6
2006,Vivant en union libre,20 à 24 ans,Nouveau-Brunswick,13,19.33
2006,Marié ou vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,10,1.94
2006,Marié ou vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,10,16.87
2006,Marié,15 à 19 ans,Terre-Neuve-et-Labrador,10,0.42
2006,Marié,20 à 24 ans,Terre-Neuve-et-Labrador,10,4.63
2006,Vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,10,1.49
2006,Vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,10,12.24
2006,Marié ou vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,61,5.68
2006,Marié ou vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,61,33.55
2006,Marié,15 à 19 ans,Territoires du Nord-Ouest,61,0.85
2006,Marié,20 à 24 ans,Territoires du Nord-Ouest,61,4.61
2006,Vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,61,4.55
2006,Vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,61,28.95
2006,Marié ou vivant en union libre,15 à 19 ans,Nouvelle-Écosse,12,2.45
2006,Marié ou vivant en union libre,20 à 24 ans,Nouvelle-Écosse,12,21.33
2006,Marié,15 à 19 ans,Nouvelle-Écosse,12,0.45
2006,Marié,20 à 24 ans,Nouvelle-Écosse,12,5.36
2006,Vivant en union libre,15 à 19 ans,Nouvelle-Écosse,12,1.98
2006,Vivant en union libre,20 à 24 ans,Nouvelle-Écosse,12,15.98
2006,Marié ou vivant en union libre,15 à 19 ans,Nunavut,62,11.55
2006,Marié ou vivant en union libre,20 à 24 ans,Nunavut,62,42.8
2006,Marié,15 à 19 ans,Nunavut,62,0.33
2006,Marié,20 à 24 ans,Nunavut,62,5.76
2006,Vivant en union libre,15 à 19 ans,Nunavut,62,10.89
2006,Vivant en union libre,20 à 24 ans,Nunavut,62,37.04
2006,Marié ou vivant en union libre,15 à 19 ans,Ontario,35,2.1
2006,Marié ou vivant en union libre,20 à 24 ans,Ontario,35,18.79
2006,Marié,15 à 19 ans,Ontario,35,0.76
2006,Marié,20 à 24 ans,Ontario,35,8.72
2006,Vivant en union libre,15 à 19 ans,Ontario,35,1.35
2006,Vivant en union libre,20 à 24 ans,Ontario,35,10.07
2006,Marié ou vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,11,2.13
2006,Marié ou vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,11,20.57
2006,Marié,15 à 19 ans,Île-du-Prince-Édouard,11,0.51
2006,Marié,20 à 24 ans,Île-du-Prince-Édouard,11,7.16
2006,Vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,11,1.62
2006,Vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,11,13.41
2006,Marié ou vivant en union libre,15 à 19 ans,Québec,24,3.49
2006,Marié ou vivant en union libre,20 à 24 ans,Québec,24,28.45
2006,Marié,15 à 19 ans,Québec,24,0.6
2006,Marié,20 à 24 ans,Québec,24,4.62
2006,Vivant en union libre,15 à 19 ans,Québec,24,2.89
2006,Vivant en union libre,20 à 24 ans,Québec,24,23.83
2006,Marié ou vivant en union libre,15 à 19 ans,Saskatchewan,47,3.96
2006,Marié ou vivant en union libre,20 à 24 ans,Saskatchewan,47,28.17
2006,Marié,15 à 19 ans,Saskatchewan,47,0.52
2006,Marié,20 à 24 ans,Saskatchewan,47,10.75
2006,Vivant en union libre,15 à 19 ans,Saskatchewan,47,3.44
2006,Vivant en union libre,20 à 24 ans,Saskatchewan,47,17.42
2006,Marié ou vivant en union libre,15 à 19 ans,Yukon,60,5.24
2006,Marié ou vivant en union libre,20 à 24 ans,Yukon,60,25.41
2006,Marié,15 à 19 ans,Yukon,60,0.48
2006,Marié,20 à 24 ans,Yukon,60,4.86
2006,Vivant en union libre,15 à 19 ans,Yukon,60,4.76
2006,Vivant en union libre,20 à 24 ans,Yukon,60,21.08
2011,Marié ou vivant en union libre,15 à 19 ans,Alberta,48,3.09
2011,Marié ou vivant en union libre,20 à 24 ans,Alberta,48,27.99
2011,Marié,15 à 19 ans,Alberta,48,0.49
2011,Marié,20 à 24 ans,Alberta,48,10.6
2011,Vivant en union libre,15 à 19 ans,Alberta,48,2.6
2011,Vivant en union libre,20 à 24 ans,Alberta,48,17.39
2011,Marié ou vivant en union libre,15 à 19 ans,Colombie-Britannique,59,2.08
2011,Marié ou vivant en union libre,20 à 24 ans,Colombie-Britannique,59,19.96
2011,Marié,15 à 19 ans,Colombie-Britannique,59,0.31
2011,Marié,20 à 24 ans,Colombie-Britannique,59,7.19
2011,Vivant en union libre,15 à 19 ans,Colombie-Britannique,59,1.77
2011,Vivant en union libre,20 à 24 ans,Colombie-Britannique,59,12.77
2011,Marié ou vivant en union libre,15 à 19 ans,Canada,,2.22
2011,Marié ou vivant en union libre,20 à 24 ans,Canada,,21.44
2011,Marié,15 à 19 ans,Canada,,0.32
2011,Marié,20 à 24 ans,Canada,,6.66
2011,Vivant en union libre,15 à 19 ans,Canada,,1.9
2011,Vivant en union libre,20 à 24 ans,Canada,,14.78
2011,Marié ou vivant en union libre,15 à 19 ans,Manitoba,46,2.75
2011,Marié ou vivant en union libre,20 à 24 ans,Manitoba,46,24.04
2011,Marié,15 à 19 ans,Manitoba,46,0.57
2011,Marié,20 à 24 ans,Manitoba,46,9.89
2011,Vivant en union libre,15 à 19 ans,Manitoba,46,2.18
2011,Vivant en union libre,20 à 24 ans,Manitoba,46,14.15
2011,Marié ou vivant en union libre,15 à 19 ans,Nouveau-Brunswick,13,3.03
2011,Marié ou vivant en union libre,20 à 24 ans,Nouveau-Brunswick,13,25.97
2011,Marié,15 à 19 ans,Nouveau-Brunswick,13,0.22
2011,Marié,20 à 24 ans,Nouveau-Brunswick,13,6.2
2011,Vivant en union libre,15 à 19 ans,Nouveau-Brunswick,13,2.81
2011,Vivant en union libre,20 à 24 ans,Nouveau-Brunswick,13,19.79
2011,Marié ou vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,10,2.05
2011,Marié ou vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,10,19.0
2011,Marié,15 à 19 ans,Terre-Neuve-et-Labrador,10,0.1
2011,Marié,20 à 24 ans,Terre-Neuve-et-Labrador,10,3.61
2011,Vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,10,1.94
2011,Vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,10,15.39
2011,Marié ou vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,61,4.0
2011,Marié ou vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,61,30.91
2011,Marié,15 à 19 ans,Territoires du Nord-Ouest,61,0.31
2011,Marié,20 à 24 ans,Territoires du Nord-Ouest,61,5.15
2011,Vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,61,3.69
2011,Vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,61,26.06
2011,Marié ou vivant en union libre,15 à 19 ans,Nouvelle-Écosse,12,2.15
2011,Marié ou vivant en union libre,20 à 24 ans,Nouvelle-Écosse,12,20.59
