Year,Sexe,Value
2010,,1.51
2011,,1.51
2012,,1.38
2013,,1.4
2014,,1.27
2015,,1.55
2016,,1.69
2017,,1.65
2018,,1.62
2019,,1.84
2020,,0.8
2021,,0.84
2022,,1.78
2023,,2.2
2010,Homme,2.09
2011,Homme,2.03
2012,Homme,1.91
2013,Homme,1.87
2014,Homme,1.67
2015,Homme,1.94
2016,Homme,2.07
2017,Homme,2.08
2018,Homme,2.07
2019,Homme,2.36
2020,Homme,0.93
2021,Homme,1.04
2022,Homme,2.29
2023,Homme,2.84
2010,Femme,0.93
2011,Femme,0.96
2012,Femme,0.86
2013,Femme,0.93
2014,Femme,0.86
2015,Femme,1.16
2016,Femme,1.32
2017,Femme,1.22
2018,Femme,1.15
2019,Femme,1.31
2020,Femme,0.66
2021,Femme,0.65
2022,Femme,1.26
2023,Femme,1.49
