Year,Pays d'origine,Value
2011 to 2015,Kazakhstan,0.470022152973521
2016 to 2021,Kazakhstan,1.11427254995145
1980 to 1990,Koweït,6.82519517832603
1991 to 2000,Koweït,59.5641641537236
2001 to 2010,Koweït,13.5880111618718
2011 to 2015,Koweït,5.86750546786315
2016 to 2021,Koweït,20.8636568052262
1980 to 1990,Kirghizistan,0.448474385441535
1991 to 2000,Kirghizistan,0.696492394651297
2001 to 2010,Kirghizistan,6.55484525512505
2011 to 2015,Kirghizistan,0.0
2016 to 2021,Kirghizistan,1.17292447531973
1980 to 1990,Liban,17.3813918156449
1991 to 2000,Liban,118.584019142321
2001 to 2010,Liban,26.1769306676228
2011 to 2015,Liban,13.5941998492589
2016 to 2021,Liban,64.4027371425441
1980 to 1990,Oman,0.0
1991 to 2000,Oman,0.657275946132293
2001 to 2010,Oman,1.45059666667392
2011 to 2015,Oman,0.358430647254063
2016 to 2021,Oman,2.11086765770792
1980 to 1990,Qatar,0.0
1991 to 2000,Qatar,16.2766976595659
2001 to 2010,Qatar,2.92520913051376
2011 to 2015,Qatar,1.44189245500935
2016 to 2021,Qatar,16.3384647952258
1980 to 1990,Arabie saoudite,1.31568677839573
1991 to 2000,Arabie saoudite,3.43052600718853
2001 to 2010,Arabie saoudite,2.62344204062293
2011 to 2015,Arabie saoudite,2.15175131039153
2016 to 2021,Arabie saoudite,15.765966923161
1980 to 1990,Tadjikistan,0.185227101392204
1991 to 2000,Tadjikistan,0.477344779212526
2001 to 2010,Tadjikistan,3.92031796914984
2011 to 2015,Tadjikistan,0.520599244436963
2016 to 2021,Tadjikistan,1.60528644906975
1980 to 1990,Turkménistan,0.0
1991 to 2000,Turkménistan,0.218212590124527
2001 to 2010,Turkménistan,2.33624453363707
2011 to 2015,Turkménistan,0.402201166544263
2016 to 2021,Turkménistan,0.775510943622681
1980 to 1990,Émirats arabes unis,2.1071929029743
1991 to 2000,Émirats arabes unis,10.7328366558141
2001 to 2010,Émirats arabes unis,6.12498897501985
2011 to 2015,Émirats arabes unis,4.32276258419589
2016 to 2021,Émirats arabes unis,30.5860584966794
1980 to 1990,Ouzbékistan,0.415342436890305
1991 to 2000,Ouzbékistan,0.544636171841911
2001 to 2010,Ouzbékistan,2.69496471207922
2011 to 2015,Ouzbékistan,0.373990289228317
2016 to 2021,Ouzbékistan,0.598646757544457
1980 to 1990,Yémen,0.144010445365623
1991 to 2000,Yémen,1.55418404051213
2001 to 2010,Yémen,1.42030764087761
2011 to 2015,Yémen,0.706042462228092
2016 to 2021,Yémen,3.78281672598935
1980 to 1990,Chine,0.118326874738994
1991 to 2000,Chine,0.387527873493662
2001 to 2010,Chine,1.09168830042546
2011 to 2015,Chine,0.323033811159694
2016 to 2021,Chine,0.31336716278374
1980 to 1990,Japon,0.0162074837334906
1991 to 2000,Japon,0.0314891628983126
2001 to 2010,Japon,0.0546084265716958
2011 to 2015,Japon,0.0117854216494857
2016 to 2021,Japon,0.0437621464323909
1980 to 1990,Mongolie,0.0
1991 to 2000,Mongolie,0.0
2001 to 2010,Mongolie,4.62644766173783
2011 to 2015,Mongolie,1.00787638597701
2016 to 2021,Mongolie,2.84450810819551
1980 to 1990,Brunéi Darussalam,9.7917299049223
1991 to 2000,Brunéi Darussalam,3.06340638536427
2001 to 2010,Brunéi Darussalam,3.82314634749342
2011 to 2015,Brunéi Darussalam,0.0
2016 to 2021,Brunéi Darussalam,0.0
1980 to 1990,Cambodge,169.480695986286
1991 to 2000,Cambodge,5.85730646626976
2001 to 2010,Cambodge,0.999939934642547
2011 to 2015,Cambodge,0.416044852963508
2016 to 2021,Cambodge,0.324018097765745
1980 to 1990,Indonésie,0.141688325112254
1991 to 2000,Indonésie,0.0879312181648496
2001 to 2010,Indonésie,0.194879696743806
2011 to 2015,Indonésie,0.0248281781212001
2016 to 2021,Indonésie,0.0541989355235118
1980 to 1990,Malaisie,2.4111787630552
1991 to 2000,Malaisie,1.45854143853373
2001 to 2010,Malaisie,1.0643464983166
2011 to 2015,Malaisie,0.688374200215237
2016 to 2021,Malaisie,0.568801773996474
1980 to 1990,Myanmar,0.163245556741625
1991 to 2000,Myanmar,1.29163519823818
2001 to 2010,Myanmar,7.28156052694186
2011 to 2015,Myanmar,2.08455174812124
2016 to 2021,Myanmar,0.721142765157686
1980 to 1990,Philippines,0.429560532608286
1991 to 2000,Philippines,0.452115010975657
2001 to 2010,Philippines,0.352926039729196
2011 to 2015,Philippines,0.12818914838693
2016 to 2021,Philippines,0.0928373302972284
1980 to 1990,Singapour,0.986965151247475
1991 to 2000,Singapour,0.619537230470328
2001 to 2010,Singapour,0.492412998994099
2011 to 2015,Singapour,0.271475793996566
2016 to 2021,Singapour,0.180300380433803
1980 to 1990,Thaïlande,6.4941133556894
1991 to 2000,Thaïlande,0.730062836984507
2001 to 2010,Thaïlande,3.06933850761107
2011 to 2015,Thaïlande,0.439460081895087
2016 to 2021,Thaïlande,0.418248855615365
1980 to 1990,Viêt Nam,81.0507539638277
1991 to 2000,Viêt Nam,8.96826924605322
2001 to 2010,Viêt Nam,0.497395326483803
2011 to 2015,Viêt Nam,0.258555231717522
2016 to 2021,Viêt Nam,0.0909686445889776
1980 to 1990,Bangladesh,0.143325668067588
1991 to 2000,Bangladesh,3.28877129976913
2001 to 2010,Bangladesh,1.45528181938137
2011 to 2015,Bangladesh,0.147443196316525
2016 to 2021,Bangladesh,0.599427914944662
1980 to 1990,Bhoutan,0.0
1991 to 2000,Bhoutan,0.0
2001 to 2010,Bhoutan,165.766216987267
2011 to 2015,Bhoutan,341.114144731973
2016 to 2021,Bhoutan,8.3816189806275
1980 to 1990,Inde,0.041041763593993
1991 to 2000,Inde,0.591249513998571
2001 to 2010,Inde,0.59711023303641
2011 to 2015,Inde,0.13215100198776
2016 to 2021,Inde,0.155564313166417
1980 to 1990,Népal,0.0
1991 to 2000,Népal,0.264802737848467
2001 to 2010,Népal,7.77133549303318
2011 to 2015,Népal,9.54133868539543
2016 to 2021,Népal,2.06950693488381
1980 to 1990,Pakistan,0.348669088335623
1991 to 2000,Pakistan,4.0384702154735
2001 to 2010,Pakistan,7.26963274106479
2011 to 2015,Pakistan,2.02029245712191
2016 to 2021,Pakistan,3.26115626892748
1980 to 1990,Sri Lanka,14.0326183474803
1991 to 2000,Sri Lanka,176.719778233882
2001 to 2010,Sri Lanka,72.6754133692322
2011 to 2015,Sri Lanka,12.4236912153207
2016 to 2021,Sri Lanka,7.9948244633876
1980 to 1990,Australie,0.0875845256360782
1991 to 2000,Australie,0.313602000697137
2001 to 2010,Australie,0.158073379966335
2011 to 2015,Australie,0.0417571195471257
2016 to 2021,Australie,0.115578220016433
1980 to 1990,Fidji,6.46524414054923
1991 to 2000,Fidji,81.393165825802
2001 to 2010,Fidji,64.7633557956069
2011 to 2015,Fidji,2.17723095412792
2016 to 2021,Fidji,1.09084443358448
1980 to 1990,Nouvelle-Calédonie,5.66681400383077
1991 to 2000,Nouvelle-Calédonie,0.0
2001 to 2010,Nouvelle-Calédonie,0.0
2011 to 2015,Nouvelle-Calédonie,0.0
2016 to 2021,Nouvelle-Calédonie,0.0
1980 to 1990,Nouvelle-Zélande,0.0
1991 to 2000,Nouvelle-Zélande,0.25922961107263
2001 to 2010,Nouvelle-Zélande,0.0
2011 to 2015,Nouvelle-Zélande,0.0
2016 to 2021,Nouvelle-Zélande,0.0
1980 to 1990,Papouasie-Nouvelle-Guinée,0.0
1991 to 2000,Papouasie-Nouvelle-Guinée,0.0
2001 to 2010,Papouasie-Nouvelle-Guinée,0.0
2011 to 2015,Papouasie-Nouvelle-Guinée,0.0
2016 to 2021,Papouasie-Nouvelle-Guinée,0.0998711063501445
