Year,Pays d'origine,Value
2011 to 2015,Trinité-et-Tobago,8.74545717227186
2016 to 2021,Trinité-et-Tobago,5.37707584533513
1980 to 1990,Argentine,0.686894414803509
1991 to 2000,Argentine,2.01533080956591
2001 to 2010,Argentine,0.653927774185952
2011 to 2015,Argentine,0.0805022475422491
2016 to 2021,Argentine,0.0662071719735595
1980 to 1990,Brésil,0.01676240817821
1991 to 2000,Brésil,0.0603384516497629
2001 to 2010,Brésil,0.141970506071344
2011 to 2015,Brésil,0.0396676619481388
2016 to 2021,Brésil,0.0620375743071749
1980 to 1990,Chili,18.1924773027454
1991 to 2000,Chili,10.0933880246627
2001 to 2010,Chili,1.74603725205398
2011 to 2015,Chili,0.637198878164278
2016 to 2021,Chili,0.462572156116664
1980 to 1990,Colombie,0.184956110762632
1991 to 2000,Colombie,2.91626676719089
2001 to 2010,Colombie,57.8418066874369
2011 to 2015,Colombie,10.6652587105973
2016 to 2021,Colombie,6.46591927737355
1980 to 1990,Équateur,0.286431646954282
1991 to 2000,Équateur,2.12774751801207
2001 to 2010,Équateur,2.98464994533116
2011 to 2015,Équateur,1.35247744667012
2016 to 2021,Équateur,0.282765374101842
1980 to 1990,Guyana,60.6384899816552
1991 to 2000,Guyana,43.1281218879139
2001 to 2010,Guyana,76.0175854014229
2011 to 2015,Guyana,17.7885299558844
2016 to 2021,Guyana,11.0351998352077
1980 to 1990,Paraguay,0.619460090973909
1991 to 2000,Paraguay,2.15644921424872
2001 to 2010,Paraguay,1.6556099515403
2011 to 2015,Paraguay,0.324721555325328
2016 to 2021,Paraguay,0.0
1980 to 1990,Pérou,0.681356052075861
1991 to 2000,Pérou,9.36061334347538
2001 to 2010,Pérou,7.16787853949026
2011 to 2015,Pérou,0.738726419237093
2016 to 2021,Pérou,0.452406367565335
1980 to 1990,Suriname,0.0
1991 to 2000,Suriname,3.14691036340521
2001 to 2010,Suriname,2.72758019994981
2011 to 2015,Suriname,0.0
2016 to 2021,Suriname,0.0
1980 to 1990,Uruguay,2.89902409185654
1991 to 2000,Uruguay,9.49023217853025
2001 to 2010,Uruguay,3.61587368547925
2011 to 2015,Uruguay,0.29690973379964
2016 to 2021,Uruguay,0.0
1980 to 1990,Autriche,4.62240817179265
1991 to 2000,Autriche,1.43516015076919
2001 to 2010,Autriche,0.239088265589765
2011 to 2015,Autriche,0.0
2016 to 2021,Autriche,0.0
1980 to 1990,Belgique,0.250978993760963
1991 to 2000,Belgique,1.26806418394656
2001 to 2010,Belgique,0.731481706259714
2011 to 2015,Belgique,0.221722420469166
2016 to 2021,Belgique,0.259271696298469
1980 to 1990,France,0.219335326752215
1991 to 2000,France,0.420281320681599
2001 to 2010,France,0.181338023102543
2011 to 2015,France,0.146341994679282
2016 to 2021,France,0.219418731784699
1980 to 1990,Allemagne,0.80292466312198
1991 to 2000,Allemagne,1.69318211248821
2001 to 2010,Allemagne,0.45774350711248
2011 to 2015,Allemagne,0.079193333778075
2016 to 2021,Allemagne,0.179217395270507
1980 to 1990,Pays-Bas,0.698557107010233
1991 to 2000,Pays-Bas,0.560438654089136
2001 to 2010,Pays-Bas,0.447192258684623
2011 to 2015,Pays-Bas,0.233815946984105
2016 to 2021,Pays-Bas,0.338397575246014
1980 to 1990,Suisse,0.372400754454136
1991 to 2000,Suisse,1.53115557076503
2001 to 2010,Suisse,0.575021194322854
2011 to 2015,Suisse,0.362145465624911
2016 to 2021,Suisse,0.287123702136264
1980 to 1990,Bélarus,5.79178029558792
1991 to 2000,Bélarus,2.85239658360955
2001 to 2010,Bélarus,2.8974737347957
2011 to 2015,Bélarus,0.527017943801547
2016 to 2021,Bélarus,0.378321118965778
1980 to 1990,Bulgarie,4.76040161921661
1991 to 2000,Bulgarie,17.370853794335
2001 to 2010,Bulgarie,11.2926926800564
2011 to 2015,Bulgarie,1.39322006175587
2016 to 2021,Bulgarie,0.145407264299732
1980 to 1990,Tchéquie,45.746925775055
1991 to 2000,Tchéquie,6.78876745189426
2001 to 2010,Tchéquie,2.53241962995998
2011 to 2015,Tchéquie,1.09268521833965
2016 to 2021,Tchéquie,1.37690983923153
1980 to 1990,Estonie,1.59202357977964
1991 to 2000,Estonie,11.8096541417531
2001 to 2010,Estonie,2.25313439158049
2011 to 2015,Estonie,0.0
2016 to 2021,Estonie,0.0
1980 to 1990,Hongrie,40.5854472429627
1991 to 2000,Hongrie,6.18178601512212
2001 to 2010,Hongrie,7.66541246156585
2011 to 2015,Hongrie,5.89443413991212
2016 to 2021,Hongrie,10.3513756437487
1980 to 1990,Lettonie,8.08165402514297
1991 to 2000,Lettonie,6.12212800947452
2001 to 2010,Lettonie,2.14502668413195
2011 to 2015,Lettonie,0.505592612685218
2016 to 2021,Lettonie,1.85615144498738
1980 to 1990,Lituanie,4.05936139479657
1991 to 2000,Lituanie,2.57106715284594
2001 to 2010,Lituanie,3.06667813711893
2011 to 2015,Lituanie,0.516212692018216
2016 to 2021,Lituanie,0.0
1980 to 1990,Pologne,108.670387621235
1991 to 2000,Pologne,31.9438340384951
2001 to 2010,Pologne,0.997487080672017
2011 to 2015,Pologne,0.0783978735987948
2016 to 2021,Pologne,0.170871119235931
1980 to 1990,Roumanie,18.2838662858799
1991 to 2000,Roumanie,8.79890362032477
2001 to 2010,Roumanie,3.76835039825102
2011 to 2015,Roumanie,0.402594733119826
2016 to 2021,Roumanie,0.36366978347257
1980 to 1990,Fédération de Russie,0.718214267218351
1991 to 2000,Fédération de Russie,2.16737945676985
2001 to 2010,Fédération de Russie,1.84802912435541
2011 to 2015,Fédération de Russie,0.326891639939347
2016 to 2021,Fédération de Russie,0.428561241058498
1980 to 1990,Slovaquie,44.0361567216448
1991 to 2000,Slovaquie,5.76175085854734
2001 to 2010,Slovaquie,0.927316729294548
2011 to 2015,Slovaquie,0.461228827982495
2016 to 2021,Slovaquie,9.82860745717575
1980 to 1990,Ukraine,2.9199541163789
1991 to 2000,Ukraine,4.16677386272548
2001 to 2010,Ukraine,3.80991146314645
2011 to 2015,Ukraine,0.939165530895204
2016 to 2021,Ukraine,2.52823040124822
1980 to 1990,Danemark,0.0
1991 to 2000,Danemark,0.655468333528881
2001 to 2010,Danemark,0.0
2011 to 2015,Danemark,0.0
2016 to 2021,Danemark,0.341483607975794
1980 to 1990,Finlande,0.401075282833276
1991 to 2000,Finlande,0.0
2001 to 2010,Finlande,0.186450267514183
