Year,Value,Units,Series,GeoCode
2016,84.3,Percentage (%),Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,
2017,84.1,Percentage (%),Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,
2018,85.5,Percentage (%),Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,
2019,87.4,Percentage (%),Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,
2020,89.7,Percentage (%),Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,
2021,91.4,Percentage (%),Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,
2022,93.1,Percentage (%),Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,
2023,95.8,Percentage (%),Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,
2014,9917750.0,Number,Number of fixed Internet broadband subscriptions,
2015,10068750.0,Number,Number of fixed Internet broadband subscriptions,
2016,10322500.0,Number,Number of fixed Internet broadband subscriptions,
2017,10651500.0,Number,Number of fixed Internet broadband subscriptions,
2018,10947250.0,Number,Number of fixed Internet broadband subscriptions,
2019,11183750.0,Number,Number of fixed Internet broadband subscriptions,
2020,11519500.0,Number,Number of fixed Internet broadband subscriptions,
2021,11896000.0,Number,Number of fixed Internet broadband subscriptions,
2022,12245000.0,Number,Number of fixed Internet broadband subscriptions,
