Year,Value,Units
2015,0.562069,"US dollar, Millions, 2023 constant prices"
2016,1.807802,"US dollar, Millions, 2023 constant prices"
2017,0.03098,"US dollar, Millions, 2023 constant prices"
2018,0.641803,"US dollar, Millions, 2023 constant prices"
2019,1.937241,"US dollar, Millions, 2023 constant prices"
2020,3.964335,"US dollar, Millions, 2023 constant prices"
2021,5.818148,"US dollar, Millions, 2023 constant prices"
2022,5.987949,"US dollar, Millions, 2023 constant prices"
2023,34.848917,"US dollar, Millions, 2023 constant prices"
