Year,Value,Units
2015,7.481718,"US dollar, Millions, 2023 constant prices"
2016,4.898662,"US dollar, Millions, 2023 constant prices"
2017,6.780004,"US dollar, Millions, 2023 constant prices"
2018,9.224624,"US dollar, Millions, 2023 constant prices"
2019,6.45239,"US dollar, Millions, 2023 constant prices"
2020,3.023236,"US dollar, Millions, 2023 constant prices"
2021,5.38804,"US dollar, Millions, 2023 constant prices"
2022,2.837132,"US dollar, Millions, 2023 constant prices"
2023,3.175712,"US dollar, Millions, 2023 constant prices"
