Year,Value,Units
2015,0.576365,"US dollar, Millions, 2023 constant prices"
2016,2.232448,"US dollar, Millions, 2023 constant prices"
2017,139.29995,"US dollar, Millions, 2023 constant prices"
2018,180.345843,"US dollar, Millions, 2023 constant prices"
2019,88.26073,"US dollar, Millions, 2023 constant prices"
2020,215.278144,"US dollar, Millions, 2023 constant prices"
2021,286.894883,"US dollar, Millions, 2023 constant prices"
2022,286.864369,"US dollar, Millions, 2023 constant prices"
2023,285.590987,"US dollar, Millions, 2023 constant prices"
