Year,Value,GeoCode
1990,606.392,
1991,601.582,
1992,619.374,
1993,624.159,
1994,646.09,
1995,664.741,
1996,685.815,
1997,701.481,
1998,708.025,
1999,718.311,
2000,746.119,
2001,738.771,
2002,745.74,
2003,763.671,
2004,763.555,
2005,758.718,
2006,754.852,
2007,774.342,
2008,757.77,
2009,714.218,
2010,728.027,
2011,737.732,
2012,741.163,
2013,750.044,
2014,747.495,
2015,742.044,
2016,724.909,
2017,737.607,
2018,747.052,
2019,747.308,
2020,682.283,
2021,693.574,
2022,699.899,
2023,693.912,
