Year,Value,GeoCode
2014/2015,8.0,
2015/2016,8.1,
2016/2017,8.2,
2017/2018,8.2,
2018/2019,8.0,
2019/2020,8.1,
2020/2021,8.3,
2021/2022,8.1,
2022/2023,7.8,
2023/2024,7.3,
