Year,Value,Units,Series
2017-2019,127505,Number,Accessions of plant genetic resources secured in conservation facilities
2019-2021,115000,Number,Accessions of plant genetic resources secured in conservation facilities
2017-2019,11,Number,Local breeds stored in genebank
2019-2021,14,Number,Local breeds stored in genebank
