Year,Value,Units,Series
2007,2.026,Percent change (%),Percent change in water-use efficiency over time (%)
2008,4.522,Percent change (%),Percent change in water-use efficiency over time (%)
2009,0.073,Percent change (%),Percent change in water-use efficiency over time (%)
2010,-1.264,Percent change (%),Percent change in water-use efficiency over time (%)
2011,6.177,Percent change (%),Percent change in water-use efficiency over time (%)
2012,4.432,Percent change (%),Percent change in water-use efficiency over time (%)
2013,5.246,Percent change (%),Percent change in water-use efficiency over time (%)
2014,6.079,Percent change (%),Percent change in water-use efficiency over time (%)
2015,2.916,Percent change (%),Percent change in water-use efficiency over time (%)
2016,-0.717,Percent change (%),Percent change in water-use efficiency over time (%)
2017,1.366,Percent change (%),Percent change in water-use efficiency over time (%)
2018,5.45,Percent change (%),Percent change in water-use efficiency over time (%)
2019,3.968,Percent change (%),Percent change in water-use efficiency over time (%)
2020,-2.535,Percent change (%),Percent change in water-use efficiency over time (%)
2021,4.634,Percent change (%),Percent change in water-use efficiency over time (%)
2006,30.159,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2007,30.77,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2008,32.162,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2009,32.185,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2010,31.778,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2011,33.742,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2012,35.237,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2013,37.086,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2014,39.34,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2015,40.487,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2016,40.197,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2017,40.746,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2018,42.967,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2019,44.672,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2020,43.54,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2021,45.557,USD per cubic metre,Water-use efficiency (USD per cubic metre)
