Year,Value,Series
1999,80,Physical violence
2004,75,Physical violence
2009,80,Physical violence
2014,48,Physical violence
2019,46,Physical violence
1999,21,Sexual violence
2004,21,Sexual violence
2009,24,Sexual violence
2014,22,Sexual violence
2019,30,Sexual violence
