Year,Value,GeoCode
2015,9.49,
2016,9.28,
2017,9.26,
2018,9.32,
2019,9.3,
2020,9.33,
2021,9.21,
2022,8.89,
2023,8.68,
2024,8.57,
2025,8.44,
