Year,Value,GeoCode
2015,81.4444166666667,
2016,78.76575,
2017,79.9753333333333,
2018,79.5969166666667,
2019,79.3599166666667,
2020,82.3359166666667,
2021,81.64925,
2022,82.0549166666667,
2023,80.7290833333333,
2024,79.3978333333333,
